name,offset,size,shape,dtype
model.decoder.embed_tokens.weight,31819161600,514785280,50272x2560,torch.float32
model.decoder.embed_positions.weight,32333946880,20992000,2050x2560,torch.float32
model.decoder.final_layer_norm.weight,32354938880,10240,2560,torch.float32
model.decoder.final_layer_norm.bias,32354949120,10240,2560,torch.float32
model.decoder.layers.0.self_attn.k_proj.weight,32354959360,26214400,2560x2560,torch.float32
model.decoder.layers.0.self_attn.k_proj.bias,32381173760,10240,2560,torch.float32
model.decoder.layers.0.self_attn.v_proj.weight,32381184000,26214400,2560x2560,torch.float32
model.decoder.layers.0.self_attn.v_proj.bias,32407398400,10240,2560,torch.float32
model.decoder.layers.0.self_attn.q_proj.weight,32407408640,26214400,2560x2560,torch.float32
model.decoder.layers.0.self_attn.q_proj.bias,32433623040,10240,2560,torch.float32
model.decoder.layers.0.self_attn.out_proj.weight,32433633280,26214400,2560x2560,torch.float32
model.decoder.layers.0.self_attn.out_proj.bias,32459847680,10240,2560,torch.float32
model.decoder.layers.0.self_attn_layer_norm.weight,32459857920,10240,2560,torch.float32
model.decoder.layers.0.self_attn_layer_norm.bias,32459868160,10240,2560,torch.float32
model.decoder.layers.0.fc1.weight,32459878400,104857600,10240x2560,torch.float32
model.decoder.layers.0.fc1.bias,32564736000,40960,10240,torch.float32
model.decoder.layers.0.fc2.weight,32564776960,104857600,2560x10240,torch.float32
model.decoder.layers.0.fc2.bias,32669634560,10240,2560,torch.float32
model.decoder.layers.0.final_layer_norm.weight,32669644800,10240,2560,torch.float32
model.decoder.layers.0.final_layer_norm.bias,32669655040,10240,2560,torch.float32
model.decoder.layers.1.self_attn.k_proj.weight,32669665280,26214400,2560x2560,torch.float32
model.decoder.layers.1.self_attn.k_proj.bias,32695879680,10240,2560,torch.float32
model.decoder.layers.1.self_attn.v_proj.weight,32695889920,26214400,2560x2560,torch.float32
model.decoder.layers.1.self_attn.v_proj.bias,32722104320,10240,2560,torch.float32
model.decoder.layers.1.self_attn.q_proj.weight,32722114560,26214400,2560x2560,torch.float32
model.decoder.layers.1.self_attn.q_proj.bias,32748328960,10240,2560,torch.float32
model.decoder.layers.1.self_attn.out_proj.weight,32748339200,26214400,2560x2560,torch.float32
model.decoder.layers.1.self_attn.out_proj.bias,32774553600,10240,2560,torch.float32
model.decoder.layers.1.self_attn_layer_norm.weight,32774563840,10240,2560,torch.float32
model.decoder.layers.1.self_attn_layer_norm.bias,32774574080,10240,2560,torch.float32
model.decoder.layers.1.fc1.weight,32774584320,104857600,10240x2560,torch.float32
model.decoder.layers.1.fc1.bias,32879441920,40960,10240,torch.float32
model.decoder.layers.1.fc2.weight,32879482880,104857600,2560x10240,torch.float32
model.decoder.layers.1.fc2.bias,32984340480,10240,2560,torch.float32
model.decoder.layers.1.final_layer_norm.weight,32984350720,10240,2560,torch.float32
model.decoder.layers.1.final_layer_norm.bias,32984360960,10240,2560,torch.float32
model.decoder.layers.2.self_attn.k_proj.weight,32984371200,26214400,2560x2560,torch.float32
model.decoder.layers.2.self_attn.k_proj.bias,33010585600,10240,2560,torch.float32
model.decoder.layers.2.self_attn.v_proj.weight,33010595840,26214400,2560x2560,torch.float32
model.decoder.layers.2.self_attn.v_proj.bias,33036810240,10240,2560,torch.float32
model.decoder.layers.2.self_attn.q_proj.weight,33036820480,26214400,2560x2560,torch.float32
model.decoder.layers.2.self_attn.q_proj.bias,33063034880,10240,2560,torch.float32
model.decoder.layers.2.self_attn.out_proj.weight,33063045120,26214400,2560x2560,torch.float32
model.decoder.layers.2.self_attn.out_proj.bias,33089259520,10240,2560,torch.float32
model.decoder.layers.2.self_attn_layer_norm.weight,33089269760,10240,2560,torch.float32
model.decoder.layers.2.self_attn_layer_norm.bias,33089280000,10240,2560,torch.float32
model.decoder.layers.2.fc1.weight,33089290240,104857600,10240x2560,torch.float32
model.decoder.layers.2.fc1.bias,33194147840,40960,10240,torch.float32
model.decoder.layers.2.fc2.weight,33194188800,104857600,2560x10240,torch.float32
model.decoder.layers.2.fc2.bias,33299046400,10240,2560,torch.float32
model.decoder.layers.2.final_layer_norm.weight,33299056640,10240,2560,torch.float32
model.decoder.layers.2.final_layer_norm.bias,33299066880,10240,2560,torch.float32
model.decoder.layers.3.self_attn.k_proj.weight,33299077120,26214400,2560x2560,torch.float32
model.decoder.layers.3.self_attn.k_proj.bias,33325291520,10240,2560,torch.float32
model.decoder.layers.3.self_attn.v_proj.weight,33325301760,26214400,2560x2560,torch.float32
model.decoder.layers.3.self_attn.v_proj.bias,33351516160,10240,2560,torch.float32
model.decoder.layers.3.self_attn.q_proj.weight,33351526400,26214400,2560x2560,torch.float32
model.decoder.layers.3.self_attn.q_proj.bias,33377740800,10240,2560,torch.float32
model.decoder.layers.3.self_attn.out_proj.weight,33377751040,26214400,2560x2560,torch.float32
model.decoder.layers.3.self_attn.out_proj.bias,33403965440,10240,2560,torch.float32
