% time     seconds  usecs/call     calls    errors syscall
------ ----------- ----------- --------- --------- -----------------------
 56.19   28.609284         122    234222         8 clock_nanosleep
 20.49   10.433850        1104      9445      2670 ioctl
 10.60    5.395227     1798409         3           epoll_pwait
 10.25    5.218628       53800        97         7 futex
  0.97    0.495191       14148        35         5 wait4
  0.43    0.220721         259       849           munmap
  0.27    0.139433       15492         9         1 restart_syscall
  0.17    0.085821           7     12066       601 newfstatat
  0.11    0.053734         271       198           ppoll
  0.10    0.051810           7      7179      2376 openat
  0.06    0.031698           4      7636           read
  0.06    0.029410           5      5087        12 close
  0.06    0.029333           8      3534      2010 faccessat
  0.04    0.017953           4      3636           write
  0.04    0.017866           9      1870           mmap
  0.03    0.017192         131       131       100 execve
  0.03    0.014863           6      2164           getdents64
  0.03    0.014746         589        25           clone
  0.03    0.013699           4      3372           getpid
  0.01    0.005117           7       698       464 readlinkat
  0.01    0.003727           5       731           brk
  0.01    0.003441           4       722           mprotect
  0.00    0.002139           1      1488        35 lseek
  0.00    0.002041           5       402           fcntl
  0.00    0.001765           1      1272           fstat
  0.00    0.001347          40        33           clone3
  0.00    0.001057          70        15        14 connect
  0.00    0.001009           2       444           rt_sigaction
  0.00    0.000913           3       300           rt_sigprocmask
  0.00    0.000649           6        94           madvise
  0.00    0.000519           4       123           get_mempolicy
  0.00    0.000474           8        56           unlinkat
  0.00    0.000414           4        83           set_robust_list
  0.00    0.000317           2       107           gettid
  0.00    0.000312           6        52           ftruncate
  0.00    0.000307          13        22           sendto
  0.00    0.000305           3        77           flock
  0.00    0.000271          16        16           socket
  0.00    0.000258           5        48           pipe2
  0.00    0.000171           2        80           getuid
  0.00    0.000170           2        58           rseq
  0.00    0.000153           4        37           getcwd
  0.00    0.000144           1        77           geteuid
  0.00    0.000139          12        11         1 statfs
  0.00    0.000131           3        38           getrandom
  0.00    0.000120           6        18           chdir
  0.00    0.000120           2        41           prlimit64
  0.00    0.000101           1        66           getgid
  0.00    0.000099           4        20         8 prctl
  0.00    0.000096           1        66           getegid
  0.00    0.000075           2        31           set_tid_address
  0.00    0.000071           3        20         2 set_mempolicy
  0.00    0.000066           1        62           getrusage
  0.00    0.000059           7         8           fchmodat
  0.00    0.000050          10         5         2 mkdirat
  0.00    0.000045          15         3           pread64
  0.00    0.000045          22         2           sched_setaffinity
  0.00    0.000037          18         2           pwrite64
  0.00    0.000033           4         7           sysinfo
  0.00    0.000031           1        16           getppid
  0.00    0.000026           4         6           fchown
  0.00    0.000026           2        10           uname
  0.00    0.000025           3         7           dup
  0.00    0.000021          10         2           mremap
  0.00    0.000020           4         5           rt_sigreturn
  0.00    0.000019           3         6           sched_getaffinity
  0.00    0.000015           2         6           sigaltstack
  0.00    0.000015           2         6           getpgid
  0.00    0.000014          14         1           timerfd_create
  0.00    0.000013           6         2           fstatfs
  0.00    0.000013          13         1         1 sched_setscheduler
  0.00    0.000013          13         1         1 recvfrom
  0.00    0.000012           3         4           epoll_create1
  0.00    0.000012          12         1           bind
  0.00    0.000007           1         4           epoll_ctl
  0.00    0.000006           6         1         1 utimensat
  0.00    0.000006           6         1           sched_get_priority_max
  0.00    0.000006           6         1           setsockopt
  0.00    0.000005           0        51           dup3
  0.00    0.000005           5         1           sched_get_priority_min
  0.00    0.000005           5         1           faccessat2
  0.00    0.000003           3         1           timerfd_settime
  0.00    0.000001           0         3           kill
  0.00    0.000000           0         2           sched_yield
------ ----------- ----------- --------- --------- -----------------------
100.00   50.919085         170    299133      8319 total
