% time     seconds  usecs/call     calls    errors syscall
------ ----------- ----------- --------- --------- -----------------------
 56.41   18.338999          83    220945         2 clock_nanosleep
 19.53    6.350839         674      9416      2661 ioctl
 10.23    3.325190     1108396         3           epoll_pwait
  9.63    3.130328       37714        83         4 futex
  1.53    0.498857       14253        35         5 wait4
  0.76    0.246285         289       851           munmap
  0.74    0.241935      120967         2           restart_syscall
  0.23    0.073262           6     12067       601 newfstatat
  0.16    0.051139           7      7181      2376 openat
  0.15    0.050281         253       198           ppoll
  0.11    0.035406           4      7631           read
  0.08    0.027038           5      5089        12 close
  0.07    0.022844           6      3465      2010 faccessat
  0.06    0.019874         151       131       100 execve
  0.06    0.018275           9      1870           mmap
  0.05    0.014792           6      2164           getdents64
  0.04    0.013686           4      3181           getpid
  0.04    0.013158           3      3637           write
  0.04    0.012652         506        25           clone
  0.02    0.005376           7       704       470 readlinkat
  0.01    0.002857           3       722           mprotect
  0.01    0.001925           4       402           fcntl
  0.01    0.001802           1      1488        35 lseek
  0.01    0.001786           2       733           brk
  0.01    0.001773          53        33           clone3
  0.00    0.001402           1      1272           fstat
  0.00    0.001282           4       300           rt_sigprocmask
  0.00    0.001158           2       444           rt_sigaction
  0.00    0.000980          44        22           sendto
  0.00    0.000628          11        56           unlinkat
  0.00    0.000608           4       123           get_mempolicy
  0.00    0.000571           5       107           gettid
  0.00    0.000398           5        77           flock
  0.00    0.000374           3        94           madvise
  0.00    0.000350           6        52           ftruncate
  0.00    0.000343           5        58           rseq
  0.00    0.000326           6        48           pipe2
  0.00    0.000294          18        16           socket
  0.00    0.000293          58         5         2 mkdirat
  0.00    0.000248           2        83           set_robust_list
  0.00    0.000221          14        15        14 connect
  0.00    0.000157           7        20         8 prctl
  0.00    0.000156           4        37           getcwd
  0.00    0.000144          13        11         1 statfs
  0.00    0.000128           1        80           getuid
  0.00    0.000112           1        77           geteuid
  0.00    0.000107           2        38           getrandom
  0.00    0.000105          11         9           fchmodat
  0.00    0.000104           5        18           chdir
  0.00    0.000095           2        41           prlimit64
  0.00    0.000094           4        20         2 set_mempolicy
  0.00    0.000078           2        31           set_tid_address
  0.00    0.000074           1        66           getegid
  0.00    0.000072          10         7           fchown
  0.00    0.000062           0        66           getgid
  0.00    0.000045           0        62           getrusage
  0.00    0.000035           5         7           dup
  0.00    0.000035          17         2           sched_setaffinity
  0.00    0.000033           0        51           dup3
  0.00    0.000029           9         3           pread64
  0.00    0.000029          29         1           timerfd_settime
  0.00    0.000026           4         6           sched_getaffinity
  0.00    0.000022           5         4           epoll_create1
  0.00    0.000020           1        16           getppid
  0.00    0.000019           2         7           sysinfo
  0.00    0.000019          19         1           bind
  0.00    0.000018           9         2           pwrite64
  0.00    0.000016           8         2           mremap
  0.00    0.000014          14         1         1 utimensat
  0.00    0.000014           2         5           rt_sigreturn
  0.00    0.000013          13         1         1 sched_setscheduler
  0.00    0.000010           2         4           epoll_ctl
  0.00    0.000010           1        10           uname
  0.00    0.000009           3         3           kill
  0.00    0.000009           1         6           getpgid
  0.00    0.000009           9         1         1 recvfrom
  0.00    0.000009           9         1           setsockopt
  0.00    0.000008           4         2           fstatfs
  0.00    0.000006           1         6           sigaltstack
  0.00    0.000006           6         1           faccessat2
  0.00    0.000005           2         2           sched_yield
  0.00    0.000005           5         1           sched_get_priority_max
  0.00    0.000004           4         1           sched_get_priority_min
  0.00    0.000000           0         1           timerfd_create
------ ----------- ----------- --------- --------- -----------------------
100.00   32.511800         113    285559      8306 total
