item,buf_idx,queue_depth,ts_slot_wait_us,ts_slot_acquire_us,ts_dma_submit_us,ts_dma_done_us,ts_nvme_submit_us,ts_nvme_done_us,ts_slot_release_us,slot_wait_us,dma_us,nvme_us,total_e2e_us
0,0,1,2911183259220,2911183259220,2911183259220,2911183259398,2911183259421,2911183259626,2911183259626,0,178,205,406
0,0,1,2911183260398,2911183260398,2911183260398,2911183260498,2911183260508,2911183260733,2911183260733,0,100,225,335
0,0,1,2911183261504,2911183261504,2911183261504,2911183261598,2911183261608,2911183261814,2911183261814,0,94,206,310
0,0,1,2911183262586,2911183262586,2911183262586,2911183262678,2911183262687,2911183262894,2911183262894,0,92,207,308
0,0,1,2911183263663,2911183263663,2911183263663,2911183263755,2911183263764,2911183263985,2911183263985,0,92,221,322
0,0,1,2911183264781,2911183264781,2911183264781,2911183264875,2911183264886,2911183265092,2911183265093,0,94,206,311
0,0,1,2911183265852,2911183265852,2911183265852,2911183265944,2911183265953,2911183266160,2911183266160,0,92,207,308
0,0,1,2911183266929,2911183266929,2911183266929,2911183267022,2911183267031,2911183267250,2911183267250,0,93,219,321
0,0,1,2911183268020,2911183268020,2911183268020,2911183268112,2911183268120,2911183268326,2911183268326,0,92,206,306
0,0,1,2911183269097,2911183269097,2911183269097,2911183269189,2911183269198,2911183269405,2911183269405,0,92,207,308
0,0,1,2911183270174,2911183270174,2911183270174,2911183270263,2911183270272,2911183270490,2911183270491,0,89,218,316
0,0,1,2911183271259,2911183271260,2911183271260,2911183271349,2911183271358,2911183271565,2911183271565,1,89,207,305
0,0,1,2911183272335,2911183272335,2911183272335,2911183272424,2911183272433,2911183272639,2911183272639,0,89,206,304
0,0,1,2911183273412,2911183273412,2911183273412,2911183273504,2911183273514,2911183273740,2911183273740,0,92,226,328
0,0,1,2911183274511,2911183274511,2911183274511,2911183274602,2911183274611,2911183274816,2911183274816,0,91,205,305
0,0,1,2911183275585,2911183275585,2911183275585,2911183275676,2911183275685,2911183275891,2911183275891,0,91,206,306
0,0,1,2911183276660,2911183276660,2911183276660,2911183276751,2911183276759,2911183276986,2911183276986,0,91,227,326
0,0,1,2911183277755,2911183277755,2911183277755,2911183277845,2911183277854,2911183278060,2911183278060,0,90,206,305
0,0,1,2911183278831,2911183278831,2911183278831,2911183278921,2911183278929,2911183279136,2911183279136,0,90,207,305
0,0,1,2911183279905,2911183279906,2911183279906,2911183279995,2911183280003,2911183280227,2911183280227,1,89,224,321
0,0,1,2911183280996,2911183280996,2911183280996,2911183281086,2911183281095,2911183281301,2911183281302,0,90,206,305
0,0,1,2911183282072,2911183282072,2911183282072,2911183282161,2911183282169,2911183282381,2911183282381,0,89,212,309
0,0,1,2911183283149,2911183283149,2911183283149,2911183283239,2911183283248,2911183283473,2911183283473,0,90,225,324
0,0,1,2911183284242,2911183284242,2911183284242,2911183284331,2911183284340,2911183284547,2911183284547,0,89,207,305
0,0,1,2911183285325,2911183285325,2911183285325,2911183285415,2911183285424,2911183285637,2911183285637,0,90,213,312
0,0,1,2911183286406,2911183286406,2911183286406,2911183286496,2911183286504,2911183286729,2911183286729,0,90,225,323
0,0,1,2911183287497,2911183287497,2911183287497,2911183287587,2911183287595,2911183287802,2911183287802,0,90,207,305
0,0,1,2911183288572,2911183288572,2911183288572,2911183288662,2911183288670,2911183288885,2911183288885,0,90,215,313
0,0,1,2911183289656,2911183289656,2911183289656,2911183289750,2911183289759,2911183289983,2911183289983,0,94,224,327
0,0,1,2911183290751,2911183290752,2911183290752,2911183290842,2911183290850,2911183291057,2911183291057,1,90,207,305
0,0,1,2911183291825,2911183291825,2911183291825,2911183291913,2911183291922,2911183292135,2911183292135,0,88,213,310
0,0,1,2911183292864,2911183292864,2911183292864,2911183292954,2911183292963,2911183293194,2911183293194,0,90,231,330
0,0,1,2911183293961,2911183293961,2911183293961,2911183294051,2911183294060,2911183294266,2911183294266,0,90,206,305
0,0,1,2911183295035,2911183295035,2911183295035,2911183295122,2911183295130,2911183295348,2911183295348,0,87,218,313
0,0,1,2911183296117,2911183296117,2911183296117,2911183296207,2911183296216,2911183296430,2911183296430,0,90,214,313
0,0,1,2911183297307,2911183297307,2911183297307,2911183297397,2911183297407,2911183297613,2911183297613,0,90,206,306
0,0,1,2911183298383,2911183298383,2911183298383,2911183298474,2911183298483,2911183298697,2911183298697,0,91,214,314
0,0,1,2911183299467,2911183299467,2911183299467,2911183299553,2911183299562,2911183299782,2911183299782,0,86,220,315
0,0,1,2911183300552,2911183300552,2911183300552,2911183300640,2911183300649,2911183300855,2911183300856,0,88,206,303
0,0,1,2911183301625,2911183301625,2911183301625,2911183301715,2911183301723,2911183301933,2911183301933,0,90,210,308
0,0,1,2911183302702,2911183302702,2911183302702,2911183302791,2911183302800,2911183303019,2911183303019,0,89,219,317
0,0,1,2911183303789,2911183303789,2911183303789,2911183303876,2911183303885,2911183304092,2911183304092,0,87,207,303
0,0,1,2911183304884,2911183304884,2911183304884,2911183304975,2911183304984,2911183305192,2911183305192,0,91,208,308
0,0,1,2911183305961,2911183305961,2911183305961,2911183306051,2911183306060,2911183306285,2911183306285,0,90,225,324
0,0,1,2911183307055,2911183307055,2911183307055,2911183307145,2911183307154,2911183307360,2911183307361,0,90,206,305
0,0,1,2911183308129,2911183308129,2911183308129,2911183308220,2911183308228,2911183308442,2911183308442,0,91,214,313
0,0,1,2911183309166,2911183309166,2911183309166,2911183309256,2911183309265,2911183309489,2911183309489,0,90,224,323
0,0,1,2911183310257,2911183310257,2911183310257,2911183310344,2911183310353,2911183310559,2911183310559,0,87,206,302
0,0,1,2911183311328,2911183311328,2911183311328,2911183311418,2911183311426,2911183311643,2911183311643,0,90,217,315
0,0,1,2911183312411,2911183312411,2911183312411,2911183312500,2911183312509,2911183312733,2911183312733,0,89,224,322
0,0,1,2911183313502,2911183313502,2911183313502,2911183313592,2911183313600,2911183313807,2911183313807,0,90,207,305
0,0,1,2911183314683,2911183314683,2911183314683,2911183314773,2911183314782,2911183314995,2911183314995,0,90,213,312
0,0,1,2911183315764,2911183315764,2911183315764,2911183315852,2911183315861,2911183316085,2911183316085,0,88,224,321
0,0,1,2911183316854,2911183316854,2911183316854,2911183316945,2911183316954,2911183317161,2911183317161,0,91,207,307
0,0,1,2911183317819,2911183317819,2911183317819,2911183317908,2911183317916,2911183318132,2911183318132,0,89,216,313
0,0,1,2911183318910,2911183318910,2911183318910,2911183319000,2911183319008,2911183319236,2911183319236,0,90,228,326
0,0,1,2911183320007,2911183320007,2911183320007,2911183320096,2911183320105,2911183320311,2911183320311,0,89,206,304
0,0,1,2911183321100,2911183321100,2911183321100,2911183321190,2911183321200,2911183321412,2911183321412,0,90,212,312
0,0,1,2911183322191,2911183322191,2911183322191,2911183322280,2911183322289,2911183322512,2911183322512,0,89,223,321
0,0,1,2911183323283,2911183323283,2911183323283,2911183323372,2911183323381,2911183323587,2911183323587,0,89,206,304
0,0,1,2911183324375,2911183324375,2911183324375,2911183324466,2911183324474,2911183324687,2911183324687,0,91,213,312
0,0,1,2911183325471,2911183325471,2911183325471,2911183325561,2911183325569,2911183325791,2911183325791,0,90,222,320
0,0,1,2911183326563,2911183326563,2911183326563,2911183326654,2911183326663,2911183326869,2911183326869,0,91,206,306
0,0,1,2911183327659,2911183327659,2911183327659,2911183327746,2911183327754,2911183327969,2911183327969,0,87,215,310
0,0,1,2911183328760,2911183328760,2911183328760,2911183328850,2911183328858,2911183329079,2911183329079,0,90,221,319
0,0,1,2911183329851,2911183329851,2911183329851,2911183329941,2911183329949,2911183330155,2911183330155,0,90,206,304
0,0,1,2911183330943,2911183330943,2911183330943,2911183331033,2911183331042,2911183331255,2911183331255,0,90,213,312
0,0,1,2911183332034,2911183332034,2911183332034,2911183332126,2911183332134,2911183332356,2911183332356,0,92,222,322
0,0,1,2911183333129,2911183333129,2911183333129,2911183333220,2911183333229,2911183333435,2911183333435,0,91,206,306
