item,buf_idx,queue_depth,ts_slot_wait_us,ts_slot_acquire_us,ts_dma_submit_us,ts_dma_done_us,ts_nvme_submit_us,ts_nvme_done_us,ts_slot_release_us,slot_wait_us,dma_us,nvme_us,total_e2e_us
0,0,1,3136309443231,3136309443232,3136309443232,3136309443234,3136309443398,3136309443555,3136309443556,1,2,157,323
0,2,1,3136309446353,3136309446354,3136309446354,3136309446355,3136309446515,3136309446671,3136309446672,1,1,156,317
0,0,1,3136309461319,3136309461320,3136309461320,3136309461330,3136309461490,3136309461647,3136309461647,1,10,157,327
0,2,1,3136309666736,3136309666737,3136309666737,3136309666862,3136309667038,3136309667354,3136309667354,1,125,316,617
0,0,1,3136310480751,3136310480751,3136310480751,3136310481296,3136310481490,3136310482432,3136310482432,0,545,942,1681
0,2,1,3136314388673,3136314388674,3136314388674,3136314389209,3136314389407,3136314390358,3136314390358,1,535,951,1684
0,0,1,3136314395075,3136314395076,3136314395076,3136314395604,3136314395795,3136314396736,3136314396736,1,528,941,1660
0,2,1,3136314401357,3136314401358,3136314401358,3136314401848,3136314402036,3136314402974,3136314402975,1,490,938,1616
0,0,1,3136314407073,3136314407074,3136314407074,3136314407614,3136314407808,3136314408749,3136314408750,1,540,941,1675
0,2,1,3136319455151,3136319455153,3136319455153,3136319455684,3136319455884,3136319456763,3136319456763,2,531,879,1610
0,0,1,3136319461030,3136319461030,3136319461030,3136319461558,3136319461747,3136319462697,3136319462697,0,528,950,1667
0,2,1,3136319467406,3136319467406,3136319467406,3136319467898,3136319468085,3136319469024,3136319469024,0,492,939,1618
0,0,1,3136319473777,3136319473777,3136319473777,3136319474290,3136319474481,3136319475419,3136319475419,0,513,938,1642
0,2,1,3136319479643,3136319479644,3136319479644,3136319480158,3136319480353,3136319481293,3136319481293,1,514,940,1649
0,0,1,3136319485990,3136319485991,3136319485991,3136319485992,3136319486153,3136319486309,3136319486309,1,1,156,318
0,2,1,3136319514881,3136319514883,3136319514883,3136319514907,3136319515072,3136319515229,3136319515229,2,24,157,346
0,0,1,3136319518017,3136319518018,3136319518018,3136319518039,3136319518201,3136319518359,3136319518359,1,21,158,341
0,2,1,3136319534230,3136319534231,3136319534231,3136319534252,3136319534414,3136319534570,3136319534571,1,21,156,339
0,0,1,3136319758213,3136319758213,3136319758213,3136319758324,3136319758494,3136319758809,3136319758810,0,111,315,596
0,2,1,3136320648558,3136320648559,3136320648559,3136320648856,3136320649039,3136320649980,3136320649980,1,297,941,1421
0,0,1,3136324851152,3136324851153,3136324851153,3136324851438,3136324851629,3136324852574,3136324852574,1,285,945,1421
0,2,1,3136324856778,3136324856778,3136324856778,3136324857057,3136324857236,3136324858175,3136324858175,0,279,939,1397
0,0,1,3136324863125,3136324863126,3136324863126,3136324863392,3136324863569,3136324864508,3136324864508,1,266,939,1382
0,2,1,3136324868353,3136324868353,3136324868353,3136324868618,3136324868795,3136324869736,3136324869737,0,265,941,1383
0,0,1,3136330273824,3136330273825,3136330273825,3136330274107,3136330274297,3136330275215,3136330275215,1,282,918,1390
0,2,1,3136330279402,3136330279402,3136330279402,3136330279680,3136330279859,3136330280798,3136330280798,0,278,939,1396
0,0,1,3136330285745,3136330285745,3136330285745,3136330286013,3136330286192,3136330287129,3136330287130,0,268,937,1384
0,2,1,3136330290977,3136330290977,3136330290977,3136330291243,3136330291421,3136330292356,3136330292357,0,266,935,1379
0,0,1,3136330296458,3136330296458,3136330296458,3136330296723,3136330296901,3136330297838,3136330297838,0,265,937,1380
0,2,1,3136330302769,3136330302770,3136330302770,3136330302798,3136330302960,3136330303116,3136330303116,1,28,156,346
