item,buf_idx,queue_depth,ts_slot_wait_us,ts_slot_acquire_us,ts_dma_submit_us,ts_dma_done_us,ts_nvme_submit_us,ts_nvme_done_us,ts_slot_release_us,slot_wait_us,dma_us,nvme_us,total_e2e_us
0,0,1,3227052190790,3227052190792,3227052190792,3227052191161,3227052291232,3227052291399,3227052291400,2,369,167,100607
0,1,2,3227052291665,3227052291666,3227052291666,3227052291861,3227052391924,3227052392092,3227052392092,1,195,168,100426
0,0,3,3227052392292,3227052392293,3227052392293,3227052392486,3227052492550,3227052492719,3227052492720,1,193,169,100426
0,1,4,3227052492918,3227052492919,3227052492919,3227052493111,3227052593176,3227052593348,3227052593348,1,192,172,100429
0,0,5,3227052593548,3227052593548,3227052593548,3227052593742,3227052693805,3227052693967,3227052693967,0,194,162,100419
0,1,6,3227052694160,3227052694161,3227052694161,3227052694348,3227052794411,3227052794577,3227052794577,1,187,166,100416
0,0,7,3227052794773,3227052794773,3227052794773,3227052794963,3227052895026,3227052895190,3227052895191,0,190,164,100417
0,1,8,3227052895383,3227052895384,3227052895384,3227052895572,3227052995634,3227052995798,3227052995798,1,188,164,100414
0,0,9,3227052995991,3227052995991,3227052995991,3227052996180,3227053096241,3227053096408,3227053096408,0,189,167,100417
0,1,10,3227053096604,3227053096604,3227053096604,3227053096794,3227053196857,3227053197024,3227053197024,0,190,167,100420
0,0,11,3227053197219,3227053197219,3227053197219,3227053197433,3227053297460,3227053297626,3227053297626,0,214,166,100407
0,1,12,3227053297821,3227053297821,3227053297821,3227053298010,3227053398073,3227053398240,3227053398240,0,189,167,100419
0,0,13,3227053398435,3227053398435,3227053398435,3227053398628,3227053498691,3227053498856,3227053498856,0,193,165,100421
0,1,14,3227053499066,3227053499066,3227053499066,3227053499256,3227053599319,3227053599484,3227053599484,0,190,165,100418
0,0,15,3227053599677,3227053599678,3227053599678,3227053599867,3227053699929,3227053700095,3227053700095,1,189,166,100417
0,1,15,3227053700288,3227053700288,3227053700288,3227053700477,3227053800538,3227053800702,3227053800702,0,189,164,100414
0,0,16,3227053800896,3227053800896,3227053800896,3227053801085,3227053901148,3227053901315,3227053901315,0,189,167,100419
