Device_id,Level,API Name,Time(us),Count,Avg(us),Min(us),Max(us),Variance
2,runtime,CallbackLaunch,429.15,30,14.305,11.62,21.91,6.005
2,runtime,ContextDestroy,514.86,1,514.86,514.86,514.86,0.0
2,runtime,ContextGetCurrent,1292.09,3782,0.342,0.16,4.11,0.03
2,runtime,ContextSetCurrent,134.71,125,1.078,0.41,5.32,0.544
2,runtime,CpuKernelLaunch,1976.06,1,1976.06,1976.06,1976.06,0.0
2,runtime,CpuKernelLaunchExWithArgs,376.7,60,6.278,5.13,8.86,0.676
2,runtime,CtxGetOverflowAddr,12363.16,32130,0.385,0.09,10.13,0.014
2,runtime,DevFree,2606.26,41,63.567,1.41,2510.77,149730.454
2,runtime,DevMalloc,149.29,3,49.763,4.45,139.25,4004.148
2,runtime,DeviceReset,3.44,2,1.72,0.87,2.57,0.722
2,runtime,FftsPlusTaskLaunch,661.9,180,3.677,2.29,33.11,5.365
2,acl,GeluGrad_Tiling,3546.67,360,9.852,7.83,39.88,15.07
2,runtime,KernelLaunch,65966.41,12390,5.324,2.65,123.59,7.75
2,runtime,KernelLaunchWithHandle,137940.88,34470,4.002,1.58,69.34,1.996
2,runtime,KernelLaunchWithHandle_Big,18040.0,2880,6.264,4.33,49.32,4.308
2,runtime,MemCopySync,5060.24,63,80.321,13.24,2410.89,87752.673
2,runtime,MemcpyAsync,11223.48,2581,4.349,2.57,54.59,7.697
2,runtime,MemcpyAsync_Huge,4334.73,1200,3.612,2.94,18.24,1.157
2,runtime,ProcessReport,4497116.41,1611,2791.506,0.08,511991.31,731526497.367
2,runtime,StarsTaskLaunch,2588.47,1110,2.332,1.86,22.37,0.778
2,runtime,StreamCreate,4743.11,1,4743.11,4743.11,4743.11,0.0
2,runtime,StreamDestroy,9350.81,3,3116.937,380.67,7255.4,8860063.175
2,runtime,StreamSyncTaskFinish,0.0,365,0.0,0.0,0.0,0.0
2,runtime,StreamSynchronize,10210.44,365,27.974,1.37,346.64,4652.236
2,acl,aclCreateDataBuffer,14087.35,115110,0.122,0.09,8.25,0.002
2,acl,aclCreateTensorDesc,30751.46,115110,0.267,0.12,9.77,0.034
2,acl,aclDestroyTensorDesc,59243.54,117877,0.503,0.17,55.81,0.082
2,acl,aclnnAdd,43758.74,3300,13.26,9.22,34.06,6.939
2,acl,aclnnAmax,679.78,30,22.659,20.36,25.8,1.652
2,acl,aclnnCast,164256.65,13350,12.304,8.38,61.9,4.581
2,acl,aclnnExp,886.91,60,14.782,10.14,23.69,5.588
2,acl,aclnnGelu,4184.5,360,11.624,9.39,22.6,1.081
2,acl,aclnnGeluBackward,16675.57,360,46.321,41.19,116.82,73.522
2,acl,aclnnGeluBackwardGetWorkspaceSize,9543.3,360,26.509,22.88,77.17,43.744
2,acl,aclnnLog,502.75,30,16.758,14.78,19.51,1.43
2,acl,aclnnMatmul,28120.15,2190,12.84,8.97,93.35,6.166
2,acl,aclnnMm,77312.79,6570,11.768,8.54,48.3,3.225
2,acl,aclnnMul,2316.53,180,12.87,9.31,23.83,3.726
2,acl,aclnnNeTensor,488.02,30,16.267,15.21,18.96,0.426
2,acl,aclnnNeg,352.5,30,11.75,9.86,15.59,1.235
2,acl,aclnnPermute,44901.63,2880,15.591,11.53,59.24,5.934
2,acl,aclnnReduceSum,40690.81,2190,18.58,12.48,1158.34,604.067
2,acl,aclnnRepeat,434.04,30,14.468,12.6,17.35,0.843
2,acl,aclnnSoftmax,4455.64,360,12.377,9.66,22.0,1.409
2,acl,aclnnSoftmaxBackward,4489.63,360,12.471,10.42,15.85,0.603
2,acl,aclnnSub,2512.35,180,13.957,9.84,22.52,3.92
2,acl,aclopCompileAndExecute,768261.9,13830,55.55,26.63,2336.32,1933.837
2,acl,aclrtDestroyStream,39616.17,2,19808.085,1726.85,37889.32,326931059.125
2,acl,aclrtLaunchCallback,648.14,30,21.605,18.52,29.98,8.042
2,acl,aclrtMemcpy,2842.63,60,47.377,33.32,84.32,136.501
2,acl,aclrtMemcpyAsync,1497.32,91,16.454,11.17,45.07,36.481
2,acl,aclrtProcessReport,4499148.18,1611,2792.767,0.9,511995.05,731588513.339
2,acl,aclrtResetDevice,8.55,1,8.55,8.55,8.55,0.0
2,acl,aclrtSetCurrentContext,515.21,125,4.122,1.55,20.01,7.244
2,acl,aclrtSynchronizeStreamWithTimeout,10777.59,364,29.609,2.24,358.92,4870.676
2,node,launch,566774.83,52200,10.858,3.4,1150.93,44.429
2,acl,opCompile,96421.85,13830,6.972,3.79,512.59,25.824
