Device_id,OP Type,Core Type,Count,Total Time(us),Min Time(us),Avg Time(us),Max Time(us),Ratio(%)
2,MatMulV2,AI_CORE,6510,148298.04,9.38,22.78,500.74,14.155
2,Cast,AI_VECTOR_CORE,15510,126985.86,1.02,8.187,308.98,12.12
2,AdamApplyOneWithDecayAssign,AI_VECTOR_CORE,5880,112029.88,1.66,19.052,934.2,10.693
2,BatchMatMulV2,AI_CORE,2160,95529.78,17.9,44.226,92.98,9.118
2,Transpose,AI_VECTOR_CORE,2880,62959.8,14.82,21.861,31.56,6.009
2,DSAGenBitMask,DSA_SQE,1110,41526.5,7.24,37.411,100.3,3.964
2,Add,AI_VECTOR_CORE,3300,40128.4,1.4,12.16,53.74,3.83
2,SoftmaxGrad,AI_VECTOR_CORE,360,38538.7,95.62,107.051,132.76,3.678
2,ReduceSum,MIX_AIV,2310,37708.58,1.28,16.324,225.4,3.599
2,SoftmaxV2,AI_VECTOR_CORE,360,37659.78,102.26,104.61,107.48,3.594
2,Sub,AI_VECTOR_CORE,1290,37449.02,1.22,29.03,563.66,3.574
2,DropOutDoMask,AI_VECTOR_CORE,2220,29319.86,7.12,13.207,31.56,2.798
2,LayerNormXBackpropV3,AI_VECTOR_CORE,750,26019.72,31.48,34.692,43.28,2.483
2,Mul,AI_VECTOR_CORE,210,24840.88,1.5,118.289,532.08,2.371
2,AddN,AI_VECTOR_CORE,1110,24470.28,9.24,22.045,449.82,2.336
2,Exp,AI_VECTOR_CORE,60,22033.96,325.34,367.232,408.62,2.103
2,LayerNormV3,AI_VECTOR_CORE,750,19133.42,23.4,25.511,30.38,1.826
2,GeluGrad,AI_VECTOR_CORE,360,17784.08,48.4,49.4,52.32,1.697
2,MatMulV3,MIX_AIC,30,17228.24,569.06,574.274,580.4,1.644
2,LayerNormBetaGammaBackpropV2,AI_VECTOR_CORE,750,16586.46,19.64,22.115,26.96,1.583
2,MatMulV2,MIX_AIC,30,15783.24,519.8,526.108,536.04,1.506
2,RealDiv,AI_VECTOR_CORE,1500,10845.1,1.26,7.23,13.42,1.035
2,MemSet,AI_VECTOR_CORE,750,9373.2,11.08,12.497,21.04,0.895
2,Neg,AI_VECTOR_CORE,30,9087.76,301.56,302.925,304.36,0.867
2,Gelu,AI_VECTOR_CORE,360,6838.54,18.56,18.995,20.14,0.653
2,CheckNumerics,AI_CPU,60,6337.54,91.02,105.625,148.22,0.605
2,ReduceMax,MIX_AIV,30,5261.74,165.86,175.391,188.96,0.502
2,UnsortedSegmentSum,MIX_AIV,60,2966.48,10.66,49.441,90.76,0.283
2,OneHot,AI_VECTOR_CORE,30,2689.0,88.62,89.633,91.82,0.257
2,GatherV2,AI_VECTOR_CORE,60,1060.74,10.34,17.679,31.6,0.101
2,StridedSlice,AI_VECTOR_CORE,120,997.56,5.0,8.313,15.0,0.095
2,AssignAdd,AI_VECTOR_CORE,60,78.96,1.14,1.316,1.72,0.008
2,NotEqual,AI_VECTOR_CORE,30,67.76,2.14,2.258,2.48,0.006
2,Tile,AI_VECTOR_CORE,30,48.66,1.46,1.622,1.88,0.005
2,Log,AI_VECTOR_CORE,30,41.5,1.3,1.383,1.48,0.004
