Device_id,Model ID,Task ID,Stream ID,Op Name,OP Type,OP State,Task Type,Task Start Time(us),Task Duration(us),Task Wait Time(us),Block Dim,Mix Block Dim,HF32 Eligible,Input Shapes,Input Data Types,Input Formats,Output Shapes,Output Data Types,Output Formats,Context ID,aicore_time(us),aic_total_cycles,aic_mac_fp16_ratio,aic_mac_int8_ratio,aic_cube_fops,aic_vector_fops,aiv_time(us),aiv_total_cycles,aiv_vec_fp32_ratio,aiv_vec_fp16_ratio,aiv_vec_int32_ratio,aiv_vec_misc_ratio,aiv_cube_fops,aiv_vector_fops
2,4294967295,20730,2,StridedSlice1,StridedSlice,dynamic,AI_VECTOR_CORE,1788521717554773.890	,8.92,0,40,0,NO,"""1,1025;2;2;2""",INT32;INT64;INT64;INT64,FORMAT_ND;FORMAT_ND;FORMAT_ND;FORMAT_ND,"""1,1024""",INT32,FORMAT_ND,N/A,0.0,0,0.0,0.0,0.0,0.0,5.115,368248,0.0,0.0,0.0,0.0,0.0,5120.0
2,4294967295,20731,2,GatherV22,GatherV2,dynamic,AI_VECTOR_CORE,1788521717555257.030	,22.72,474.22,40,0,NO,"""50257,768;1,1024;""",FLOAT;INT32;INT64,FORMAT_ND;FORMAT_ND;FORMAT_ND,"""1,1024,768""",FLOAT,FORMAT_ND,N/A,0.0,0,0.0,0.0,0.0,0.0,17.76,1278696,0.0,0.0,0.0,0.0,0.0,2560.0
2,4294967295,20732,2,GatherV22,GatherV2,dynamic,AI_VECTOR_CORE,1788521717555371.790	,10.8,92.04,40,0,NO,"""1024,768;1,1024;""",FLOAT;INT32;INT64,FORMAT_ND;FORMAT_ND;FORMAT_ND,"""1,1024,768""",FLOAT,FORMAT_ND,N/A,0.0,0,0.0,0.0,0.0,0.0,7.984,574859,0.0,0.0,0.0,0.0,0.0,2560.0
2,4294967295,20733,2,aclnnAdd_AddAiCore_Add,Add,dynamic,AI_VECTOR_CORE,1788521717555457.210	,8.76,74.62,40,0,NO,"""1,1024,768;1,1024,768""",FLOAT;FLOAT,FORMAT_NCL;FORMAT_NCL,"""1,1024,768""",FLOAT,FORMAT_ND,N/A,0.0,0,0.0,0.0,0.0,0.0,7.464,537421,0.023,0.0,0.0,0.001,0.0,801792.0
2,4294967295,20735,2,DropOutGenMask3/Sub,Sub,dynamic,AI_VECTOR_CORE,1788521717555609.770	,1.62,143.8,1,0,NO,"""1;""",FLOAT;FLOAT,FORMAT_ND;FORMAT_ND,"""1""",FLOAT,FORMAT_ND,N/A,0.0,0,0.0,0.0,0.0,0.0,1.037,1867,0.001,0.0,0.0,0.002,0.0,192.0
2,4294967295,20737,2,DropOutGenMask3/DSAGENBITMASK,DSAGenBitMask,dynamic,DSA_SQE,1788521717555697.790	,7.34,86.4,1,0,NO,"""1;;1""",INT64;UINT64;FLOAT,FORMAT_ND;FORMAT_ND;FORMAT_ND,"""98304""",UINT8,FORMAT_ND,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
2,4294967295,20739,2,DropOutDoMask4,DropOutDoMask,dynamic,AI_VECTOR_CORE,1788521717556047.490	,11.14,342.36,40,0,NO,"""1,1024,768;98304;""",FLOAT;UINT8;FLOAT,FORMAT_ND;FORMAT_ND;FORMAT_ND,"""1,1024,768""",FLOAT,FORMAT_ND,N/A,0.0,0,0.0,0.0,0.0,0.0,9.051,651654,0.038,0.0,0.0,0.001,0.0,1589504.0
2,4294967295,20740,2,aclnnCast_CastAiCore_Cast,Cast,dynamic,AI_VECTOR_CORE,1788521717556106.130	,7.8,47.5,40,0,NO,"""1,1024,768""",FLOAT,FORMAT_NCL,"""1,1024,768""",FLOAT16,FORMAT_NCL,N/A,0.0,0,0.0,0.0,0.0,0.0,6.281,452250,0.0,0.0,0.0,0.001,0.0,10240.0
2,4294967295,20741,2,aclnnCast_CastAiCore_Cast,Cast,dynamic,AI_VECTOR_CORE,1788521717556141.710	,7.44,27.78,40,0,NO,"""1024,768""",FLOAT16,FORMAT_ND,"""1024,768""",FLOAT,FORMAT_ND,N/A,0.0,0,0.0,0.0,0.0,0.0,6.01,432730,0.028,0.0,0.0,0.001,0.0,796672.0
2,4294967295,20742,2,aclnnCast_CastAiCore_Cast,Cast,dynamic,AI_VECTOR_CORE,1788521717556166.330	,1.84,17.18,2,0,NO,"""1,1025""",INT32,FORMAT_ND,"""1,1025""",FLOAT,FORMAT_ND,N/A,0.0,0,0.0,0.0,0.0,0.0,1.212,4365,0.004,0.0,0.0,0.003,0.0,1472.0
