Device_id,kernel_name,kernel_type,stream_id,task_id,task_time(us),task_start(us),task_stop(us)
2,N/A,PLACE_HOLDER_SQE,0,8,0.0,1788521715640385.430	,1788521715640385.430	
2,N/A,MEMCPY_ASYNC,2,20728,2.7,1788521717553895.730	,1788521717553898.430	
2,N/A,MEMCPY_ASYNC,2,20729,2.62,1788521717554009.030	,1788521717554011.650	
2,StridedSlice1,KERNEL_AIVEC,2,20730,8.92,1788521717554773.890	,1788521717554782.810	
2,GatherV22,KERNEL_AIVEC,2,20731,22.72,1788521717555257.030	,1788521717555279.750	
2,GatherV22,KERNEL_AIVEC,2,20732,10.8,1788521717555371.790	,1788521717555382.590	
2,aclnnAdd_AddAiCore_Add,KERNEL_AIVEC,2,20733,8.76,1788521717555457.210	,1788521717555465.970	
2,N/A,MEMCPY_ASYNC,2,20734,2.12,1788521717555584.850	,1788521717555586.970	
2,DropOutGenMask3/Sub,KERNEL_AIVEC,2,20735,1.62,1788521717555609.770	,1788521717555611.390	
2,N/A,MEMCPY_ASYNC,2,20736,2.12,1788521717555695.510	,1788521717555697.630	
2,DropOutGenMask3/DSAGENBITMASK,STARS_COMMON,2,20737,7.34,1788521717555697.790	,1788521717555705.130	
2,N/A,MEMCPY_ASYNC,2,20738,0.92,1788521717555744.250	,1788521717555745.170	
2,DropOutDoMask4,KERNEL_AIVEC,2,20739,11.14,1788521717556047.490	,1788521717556058.630	
2,aclnnCast_CastAiCore_Cast,KERNEL_AIVEC,2,20740,7.8,1788521717556106.130	,1788521717556113.930	
2,aclnnCast_CastAiCore_Cast,KERNEL_AIVEC,2,20741,7.44,1788521717556141.710	,1788521717556149.150	
2,aclnnCast_CastAiCore_Cast,KERNEL_AIVEC,2,20742,1.84,1788521717556166.330	,1788521717556168.170	
2,StridedSlice5,KERNEL_AIVEC,2,20743,5.82,1788521717556604.310	,1788521717556610.130	
2,StridedSlice5,KERNEL_AIVEC,2,20744,5.08,1788521717556728.550	,1788521717556733.630	
2,aclnnNeTensor_NotEqualAiCore_NotEqual,KERNEL_AIVEC,2,20745,2.3,1788521717556787.110	,1788521717556789.410	
2,LayerNorm6,KERNEL_AIVEC,2,20746,24.8,1788521717557119.130	,1788521717557143.930	
2,aclnnCast_CastAiCore_Cast,KERNEL_AIVEC,2,20747,7.7,1788521717557166.350	,1788521717557174.050	
2,N/A,MEMCPY_ASYNC,2,20748,2.18,1788521717557544.170	,1788521717557546.350	
2,N/A,MEMCPY_ASYNC,2,20749,2.22,1788521717557601.650	,1788521717557603.870	
2,ReduceSum7,AI_CORE,2,20750,5.76,1788521717557604.030	,1788521717557609.790	
2,aclnnAdd_AddAiCore_Add,KERNEL_AIVEC,2,20751,1.4,1788521717557649.710	,1788521717557651.110	
2,aclnnCast_CastAiCore_Cast,KERNEL_AIVEC,2,20752,1.44,1788521717557691.410	,1788521717557692.850	
2,aclnnMatmul_MulAiCore_Mul,KERNEL_AIVEC,2,20753,10.78,1788521717557738.790	,1788521717557749.570	
2,aclnnCast_CastAiCore_Cast,KERNEL_AIVEC,2,20754,10.76,1788521717557763.150	,1788521717557773.910	
2,aclnnMm_MatMulCommon_MatMulV2,KERNEL_AICORE,2,20755,14.56,1788521717557787.610	,1788521717557802.170	
2,aclnnCast_CastAiCore_Cast,KERNEL_AIVEC,2,20756,5.66,1788521717557812.450	,1788521717557818.110	
2,aclnnMm_MatMulCommon_MatMulV2,KERNEL_AICORE,2,20757,13.74,1788521717557836.730	,1788521717557850.470	
2,aclnnCast_CastAiCore_Cast,KERNEL_AIVEC,2,20758,7.92,1788521717557861.370	,1788521717557869.290	
2,N/A,MEMCPY_ASYNC,2,20759,7.2,1788521717557897.170	,1788521717557904.370	
2,aclnnMul_MulAiCore_Mul,KERNEL_AIVEC,2,20760,14.12,1788521717557921.830	,1788521717557935.950	
2,aclnnSub_SubAiCore_Sub,KERNEL_AIVEC,2,20761,7.88,1788521717557957.010	,1788521717557964.890	
2,aclnnMul_MulAiCore_Mul,KERNEL_AIVEC,2,20762,8.36,1788521717557993.470	,1788521717558001.830	
2,aclnnCast_CastAiCore_Cast,KERNEL_AIVEC,2,20763,1.2,1788521717558017.710	,1788521717558018.910	
2,aclnnAdd_AddAiCore_Add,KERNEL_AIVEC,2,20764,9.14,1788521717558042.150	,1788521717558051.290	
2,aclnnPermute_TransposeAiCore_Transpose,KERNEL_AIVEC,2,20765,18.36,1788521717558100.390	,1788521717558118.750	
2,RealDiv8,KERNEL_AIVEC,2,20766,7.98,1788521717558380.570	,1788521717558388.550	
2,aclnnCast_CastAiCore_Cast,KERNEL_AIVEC,2,20767,1.12,1788521717558427.690	,1788521717558428.810	
2,aclnnAdd_AddAiCore_Add,KERNEL_AIVEC,2,20768,5.34,1788521717558463.770	,1788521717558469.110	
2,aclnnPermute_TransposeAiCore_Transpose,KERNEL_AIVEC,2,20769,24.54,1788521717558499.530	,1788521717558524.070	
2,RealDiv8,KERNEL_AIVEC,2,20770,7.82,1788521717558572.430	,1788521717558580.250	
2,aclnnMatmul_BatchMatMulNd_BatchMatMulV2,KERNEL_AICORE,2,20771,82.28,1788521717558609.990	,1788521717558692.270	
2,aclnnCast_CastAiCore_Cast,KERNEL_AIVEC,2,20772,31.06,1788521717558692.310	,1788521717558723.370	
2,aclnnAdd_AddAiCore_Add,KERNEL_AIVEC,2,20773,39.98,1788521717558723.390	,1788521717558763.370	
2,aclnnSoftmax_SoftmaxAiCore_SoftmaxV2,KERNEL_AIVEC,2,20774,103.6,1788521717558763.390	,1788521717558866.990	
2,aclnnCast_CastAiCore_Cast,KERNEL_AIVEC,2,20775,10.04,1788521717558867.010	,1788521717558877.050	
2,aclnnMm_MatMulCommon_MatMulV2,KERNEL_AICORE,2,20776,12.36,1788521717558877.090	,1788521717558889.450	
2,aclnnCast_CastAiCore_Cast,KERNEL_AIVEC,2,20777,17.7,1788521717558889.490	,1788521717558907.190	
2,N/A,MEMCPY_ASYNC,2,20778,2.14,1788521717558907.210	,1788521717558909.350	
2,trans_Cast_0,KERNEL_AIVEC,2,20779,1.32,1788521717558909.510	,1788521717558910.830	
2,DropOutGenMask9/Sub,KERNEL_AIVEC,2,20780,1.48,1788521717558918.890	,1788521717558920.370	
2,trans_Cast_1,KERNEL_AIVEC,2,20781,1.24,1788521717558942.890	,1788521717558944.130	
2,N/A,MEMCPY_ASYNC,2,20782,2.14,1788521717558962.030	,1788521717558964.170	
2,DropOutGenMask9/DSAGENBITMASK,STARS_COMMON,2,20783,100.02,1788521717558964.330	,1788521717559064.350	
2,N/A,MEMCPY_ASYNC,2,20784,3.2,1788521717559064.390	,1788521717559067.590	
2,aclnnCast_CastAiCore_Cast,KERNEL_AIVEC,2,20785,1.38,1788521717559067.610	,1788521717559068.990	
2,aclnnAdd_AddAiCore_Add,KERNEL_AIVEC,2,20786,7.72,1788521717559069.030	,1788521717559076.750	
2,aclnnPermute_TransposeAiCore_Transpose,KERNEL_AIVEC,2,20787,24.26,1788521717559097.870	,1788521717559122.130	
2,DropOutDoMask10,KERNEL_AIVEC,2,20788,22.88,1788521717559375.070	,1788521717559397.950	
2,aclnnMatmul_BatchMatMulNd_BatchMatMulV2,KERNEL_AICORE,2,20789,20.6,1788521717559422.170	,1788521717559442.770	
2,aclnnPermute_TransposeAiCore_Transpose,KERNEL_AIVEC,2,20790,21.22,1788521717559459.390	,1788521717559480.610	
2,aclnnCast_CastAiCore_Cast,KERNEL_AIVEC,2,20791,10.46,1788521717559495.530	,1788521717559505.990	
2,aclnnMm_MatMulCommon_MatMulV2,KERNEL_AICORE,2,20792,12.9,1788521717559520.150	,1788521717559533.050	
2,aclnnCast_CastAiCore_Cast,KERNEL_AIVEC,2,20793,1.28,1788521717559544.530	,1788521717559545.810	
2,aclnnAdd_AddAiCore_Add,KERNEL_AIVEC,2,20794,7.54,1788521717559569.210	,1788521717559576.750	
2,N/A,MEMCPY_ASYNC,2,20795,2.2,1788521717559638.390	,1788521717559640.590	
2,N/A,MEMCPY_ASYNC,2,20796,2.12,1788521717559662.530	,1788521717559664.650	
2,trans_Cast_2,KERNEL_AIVEC,2,20797,1.28,1788521717559676.590	,1788521717559677.870	
2,DropOutGenMask11/Sub,KERNEL_AIVEC,2,20798,1.48,1788521717559701.130	,1788521717559702.610	
2,trans_Cast_3,KERNEL_AIVEC,2,20799,1.22,1788521717559725.790	,1788521717559727.010	
2,N/A,MEMCPY_ASYNC,2,20800,2.12,1788521717559745.250	,1788521717559747.370	
2,DropOutGenMask11/DSAGENBITMASK,STARS_COMMON,2,20801,7.38,1788521717559747.530	,1788521717559754.910	
2,N/A,MEMCPY_ASYNC,2,20802,0.84,1788521717559770.810	,1788521717559771.650	
2,DropOutDoMask12,KERNEL_AIVEC,2,20803,8.8,1788521717560043.050	,1788521717560051.850	
2,aclnnAdd_AddAiCore_Add,KERNEL_AIVEC,2,20804,8.74,1788521717560090.410	,1788521717560099.150	
2,aclnnCast_CastAiCore_Cast,KERNEL_AIVEC,2,20805,7.42,1788521717560126.490	,1788521717560133.910	
2,LayerNorm6,KERNEL_AIVEC,2,20806,25.64,1788521717560217.930	,1788521717560243.570	
2,aclnnCast_CastAiCore_Cast,KERNEL_AIVEC,2,20807,7.62,1788521717560253.550	,1788521717560261.170	
2,aclnnCast_CastAiCore_Cast,KERNEL_AIVEC,2,20808,15.78,1788521717560277.770	,1788521717560293.550	
2,aclnnMm_MatMulCommon_MatMulV2,KERNEL_AICORE,2,20809,28.66,1788521717560314.590	,1788521717560343.250	
2,aclnnCast_CastAiCore_Cast,KERNEL_AIVEC,2,20810,1.62,1788521717560343.290	,1788521717560344.910	
2,aclnnAdd_AddAiCore_Add,KERNEL_AIVEC,2,20811,11.5,1788521717560353.510	,1788521717560365.010	
2,aclnnGelu_Gelu_Gelu,KERNEL_AIVEC,2,20812,19.32,1788521717560388.610	,1788521717560407.930	
2,aclnnCast_CastAiCore_Cast,KERNEL_AIVEC,2,20813,15.7,1788521717560413.090	,1788521717560428.790	
2,aclnnMm_MatMulCommon_MatMulV2,KERNEL_AICORE,2,20814,53.76,1788521717560437.770	,1788521717560491.530	
2,aclnnCast_CastAiCore_Cast,KERNEL_AIVEC,2,20815,1.2,1788521717560491.570	,1788521717560492.770	
