Device_id,Level,API Name,Time(us),Count,Avg(us),Min(us),Max(us),Variance
2,runtime,CallbackLaunch,387.99,30,12.933,10.24,18.16,5.086
2,runtime,ContextDestroy,559.03,1,559.03,559.03,559.03,0.0
2,runtime,ContextGetCurrent,1305.56,3782,0.345,0.16,2.46,0.024
2,runtime,ContextSetCurrent,144.03,126,1.143,0.41,10.02,1.326
2,runtime,CpuKernelLaunch,243.3,1,243.3,243.3,243.3,0.0
2,runtime,CpuKernelLaunchExWithArgs,402.79,60,6.713,5.07,10.69,1.946
2,runtime,CtxGetOverflowAddr,12168.11,32130,0.379,0.09,10.78,0.026
2,runtime,DevFree,2530.43,41,61.718,1.47,2436.05,140945.827
2,runtime,DevMalloc,261.9,3,87.3,4.58,250.99,13397.718
2,runtime,DeviceReset,3.1,2,1.55,0.97,2.13,0.336
2,runtime,FftsPlusTaskLaunch,670.28,180,3.724,2.22,23.59,3.256
2,acl,GeluGrad_Tiling,3587.37,360,9.965,7.88,38.53,13.8
2,runtime,KernelLaunch,66449.82,12390,5.363,2.46,229.56,10.162
2,runtime,KernelLaunchWithHandle,138386.41,34470,4.015,1.68,63.22,2.027
2,runtime,KernelLaunchWithHandle_Big,18161.92,2880,6.306,4.4,72.74,5.801
2,runtime,MemCopySync,5165.71,63,81.995,14.03,2330.26,81916.804
2,runtime,MemcpyAsync,11451.56,2581,4.437,2.44,96.43,11.438
2,runtime,MemcpyAsync_Huge,4286.19,1200,3.572,2.82,19.8,1.098
2,runtime,ProcessReport,4398537.99,1661,2648.126,0.08,512011.72,681246248.178
2,runtime,StarsTaskLaunch,2681.51,1110,2.416,1.89,71.76,5.044
2,runtime,StreamCreate,6340.25,1,6340.25,6340.25,6340.25,0.0
2,runtime,StreamDestroy,9736.49,3,3245.497,396.31,7061.06,7870090.691
2,runtime,StreamSyncTaskFinish,0.0,365,0.0,0.0,0.0,0.0
2,runtime,StreamSynchronize,9667.05,365,26.485,1.35,518.86,4159.306
2,acl,aclCreateDataBuffer,14353.65,115110,0.125,0.09,14.68,0.008
2,acl,aclCreateTensorDesc,30057.99,115110,0.261,0.13,13.04,0.041
2,acl,aclDestroyTensorDesc,53299.59,117877,0.452,0.15,17.34,0.05
2,acl,aclnnAdd,42510.34,3300,12.882,8.49,41.29,8.724
2,acl,aclnnAmax,696.01,30,23.2,20.82,35.16,8.121
2,acl,aclnnCast,159428.6,13350,11.942,7.71,151.46,6.788
2,acl,aclnnExp,897.68,60,14.961,9.5,29.85,11.221
2,acl,aclnnGelu,4013.61,360,11.149,8.65,22.01,1.723
2,acl,aclnnGeluBackward,16525.1,360,45.903,40.17,116.11,88.91
2,acl,aclnnGeluBackwardGetWorkspaceSize,9873.65,360,27.427,23.09,76.76,57.643
2,acl,aclnnLog,513.8,30,17.127,14.67,24.11,4.557
2,acl,aclnnMatmul,27143.27,2190,12.394,8.17,52.75,5.556
2,acl,aclnnMm,73521.74,6570,11.191,8.06,70.7,4.086
2,acl,aclnnMul,2460.82,180,13.671,9.59,137.12,95.947
2,acl,aclnnNeTensor,525.35,30,17.512,15.6,21.95,1.755
2,acl,aclnnNeg,347.88,30,11.596,9.83,18.74,2.835
2,acl,aclnnPermute,43831.0,2880,15.219,10.87,119.16,13.698
2,acl,aclnnReduceSum,39008.2,2190,17.812,12.17,46.19,8.532
2,acl,aclnnRepeat,437.38,30,14.579,11.82,21.81,5.333
2,acl,aclnnSoftmax,4303.5,360,11.954,9.62,22.98,1.405
2,acl,aclnnSoftmaxBackward,4373.45,360,12.148,9.82,19.62,1.203
2,acl,aclnnSub,2493.19,180,13.851,9.95,23.64,4.759
2,acl,aclopCompileAndExecute,772800.41,13830,55.879,26.89,5146.66,3501.689
2,acl,aclrtDestroyStream,38974.38,2,19487.19,2289.56,36684.82,295758477.617
2,acl,aclrtLaunchCallback,618.93,30,20.631,16.24,28.43,15.099
2,acl,aclrtMemcpy,3013.75,60,50.229,33.75,154.11,399.516
2,acl,aclrtMemcpyAsync,1457.67,91,16.018,10.91,42.2,25.952
2,acl,aclrtProcessReport,4400588.1,1661,2649.361,0.9,512018.98,681322130.831
2,acl,aclrtResetDevice,7.98,1,7.98,7.98,7.98,0.0
2,acl,aclrtSetCurrentContext,538.51,126,4.274,1.48,31.1,13.496
2,acl,aclrtSynchronizeStreamWithTimeout,10168.06,364,27.934,2.19,523.32,4271.19
2,node,launch,565669.89,52200,10.837,3.58,737.76,31.388
2,acl,opCompile,94995.67,13830,6.869,3.62,65.21,8.18
