Device_id,Component,Timestamp(us),Total Reserved(KB),Device
2,SLOG,1788521817449834.360	,0,NPU:2
2,SLOG,1788521817549656.350	,0,NPU:2
2,SLOG,1788521817649645.590	,0,NPU:2
2,SLOG,1788521817749647.080	,0,NPU:2
2,SLOG,1788521817849642.630	,0,NPU:2
2,SLOG,1788521817949662.080	,0,NPU:2
2,SLOG,1788521818049639.980	,0,NPU:2
2,SLOG,1788521818149638.650	,0,NPU:2
2,SLOG,1788521818249659.260	,0,NPU:2
2,SLOG,1788521818349662.080	,0,NPU:2
2,SLOG,1788521818449657.480	,0,NPU:2
2,SLOG,1788521818549637.990	,0,NPU:2
2,SLOG,1788521818649644.760	,0,NPU:2
2,SLOG,1788521818749644.410	,0,NPU:2
2,SLOG,1788521818849632.540	,0,NPU:2
2,SLOG,1788521818949665.770	,0,NPU:2
2,SLOG,1788521819049635.370	,0,NPU:2
2,SLOG,1788521819149660.550	,0,NPU:2
2,SLOG,1788521819249634.550	,0,NPU:2
2,SLOG,1788521819349720.460	,0,NPU:2
2,SLOG,1788521819449719.400	,0,NPU:2
2,SLOG,1788521819549723.740	,0,NPU:2
2,SLOG,1788521819649723.370	,0,NPU:2
2,SLOG,1788521819749726.200	,0,NPU:2
2,SLOG,1788521819849736.420	,0,NPU:2
2,SLOG,1788521819949755.860	,0,NPU:2
2,SLOG,1788521820049727.140	,0,NPU:2
2,SLOG,1788521820149716.360	,0,NPU:2
2,SLOG,1788521820249716.370	,0,NPU:2
2,SLOG,1788521820349711.840	,0,NPU:2
2,SLOG,1788521820449726.890	,0,NPU:2
2,SLOG,1788521820549712.730	,0,NPU:2
2,SLOG,1788521820649702.030	,0,NPU:2
2,SLOG,1788521820749710.230	,0,NPU:2
2,SLOG,1788521820849694.750	,0,NPU:2
2,SLOG,1788521820949698.940	,0,NPU:2
2,SLOG,1788521821049704.330	,0,NPU:2
2,SLOG,1788521821149676.820	,0,NPU:2
2,SLOG,1788521821249718.890	,0,NPU:2
2,SLOG,1788521821349696.880	,0,NPU:2
2,SLOG,1788521821449692.650	,0,NPU:2
2,SLOG,1788521821549728.440	,0,NPU:2
2,SLOG,1788521821649696.680	,0,NPU:2
2,SLOG,1788521821749682.240	,0,NPU:2
2,SLOG,1788521821849664.100	,0,NPU:2
2,SLOG,1788521821949669.250	,0,NPU:2
2,SLOG,1788521822049680.230	,0,NPU:2
2,SLOG,1788521822149683.530	,0,NPU:2
2,SLOG,1788521822176183.290	,0,NPU:2
2,IDEDD,1788521817449834.360	,0,NPU:2
2,IDEDD,1788521817549656.350	,0,NPU:2
2,IDEDD,1788521817649645.590	,0,NPU:2
2,IDEDD,1788521817749647.080	,0,NPU:2
2,IDEDD,1788521817849642.630	,0,NPU:2
2,IDEDD,1788521817949662.080	,0,NPU:2
2,IDEDD,1788521818049639.980	,0,NPU:2
2,IDEDD,1788521818149638.650	,0,NPU:2
2,IDEDD,1788521818249659.260	,0,NPU:2
2,IDEDD,1788521818349662.080	,0,NPU:2
2,IDEDD,1788521818449657.480	,0,NPU:2
2,IDEDD,1788521818549637.990	,0,NPU:2
2,IDEDD,1788521818649644.760	,0,NPU:2
2,IDEDD,1788521818749644.410	,0,NPU:2
2,IDEDD,1788521818849632.540	,0,NPU:2
2,IDEDD,1788521818949665.770	,0,NPU:2
2,IDEDD,1788521819049635.370	,0,NPU:2
2,IDEDD,1788521819149660.550	,0,NPU:2
2,IDEDD,1788521819249634.550	,0,NPU:2
2,IDEDD,1788521819349720.460	,0,NPU:2
2,IDEDD,1788521819449719.400	,0,NPU:2
2,IDEDD,1788521819549723.740	,0,NPU:2
2,IDEDD,1788521819649723.370	,0,NPU:2
2,IDEDD,1788521819749726.200	,0,NPU:2
2,IDEDD,1788521819849736.420	,0,NPU:2
2,IDEDD,1788521819949755.860	,0,NPU:2
2,IDEDD,1788521820049727.140	,0,NPU:2
2,IDEDD,1788521820149716.360	,0,NPU:2
2,IDEDD,1788521820249716.370	,0,NPU:2
2,IDEDD,1788521820349711.840	,0,NPU:2
2,IDEDD,1788521820449726.890	,0,NPU:2
2,IDEDD,1788521820549712.730	,0,NPU:2
2,IDEDD,1788521820649702.030	,0,NPU:2
2,IDEDD,1788521820749710.230	,0,NPU:2
2,IDEDD,1788521820849694.750	,0,NPU:2
2,IDEDD,1788521820949698.940	,0,NPU:2
2,IDEDD,1788521821049704.330	,0,NPU:2
2,IDEDD,1788521821149676.820	,0,NPU:2
2,IDEDD,1788521821249718.890	,0,NPU:2
2,IDEDD,1788521821349696.880	,0,NPU:2
2,IDEDD,1788521821449692.650	,0,NPU:2
2,IDEDD,1788521821549728.440	,0,NPU:2
2,IDEDD,1788521821649696.680	,0,NPU:2
2,IDEDD,1788521821749682.240	,0,NPU:2
2,IDEDD,1788521821849664.100	,0,NPU:2
2,IDEDD,1788521821949669.250	,0,NPU:2
2,IDEDD,1788521822049680.230	,0,NPU:2
2,IDEDD,1788521822149683.530	,0,NPU:2
2,IDEDD,1788521822176183.290	,0,NPU:2
2,IDEDH,1788521817449834.360	,0,NPU:2
2,IDEDH,1788521817549656.350	,0,NPU:2
2,IDEDH,1788521817649645.590	,0,NPU:2
2,IDEDH,1788521817749647.080	,0,NPU:2
2,IDEDH,1788521817849642.630	,0,NPU:2
2,IDEDH,1788521817949662.080	,0,NPU:2
