Device_id,OP Type,Core Type,Count,Total Time(us),Min Time(us),Avg Time(us),Max Time(us),Ratio(%)
2,MatMulV2,AI_CORE,6510,148041.96,9.3,22.74,502.3,14.19
2,Cast,AI_VECTOR_CORE,15510,122568.74,1.0,7.902,309.48,11.749
2,AdamApplyOneWithDecayAssign,AI_VECTOR_CORE,5880,112104.26,1.66,19.065,929.8,10.746
2,BatchMatMulV2,AI_CORE,2160,94837.1,17.86,43.906,92.7,9.09
2,Transpose,AI_VECTOR_CORE,2880,59862.46,13.68,20.785,28.48,5.738
2,DSAGenBitMask,DSA_SQE,1110,41523.64,7.26,37.408,100.34,3.98
2,Add,AI_VECTOR_CORE,3300,40355.46,1.5,12.228,55.38,3.868
2,ReduceSum,MIX_AIV,2310,38468.62,1.3,16.653,222.62,3.687
2,SoftmaxGrad,AI_VECTOR_CORE,360,38197.78,95.66,106.104,133.46,3.661
2,Sub,AI_VECTOR_CORE,1290,37962.22,1.24,29.428,565.7,3.639
2,SoftmaxV2,AI_VECTOR_CORE,360,36936.82,100.68,102.602,104.9,3.541
2,DropOutDoMask,AI_VECTOR_CORE,2220,32689.1,7.6,14.724,36.84,3.133
2,LayerNormXBackpropV3,AI_VECTOR_CORE,750,27215.64,31.14,36.287,46.82,2.609
2,Mul,AI_VECTOR_CORE,210,25090.42,1.5,119.478,537.0,2.405
2,AddN,AI_VECTOR_CORE,1110,24452.86,8.28,22.029,459.16,2.344
2,Exp,AI_VECTOR_CORE,60,21906.46,318.28,365.107,412.76,2.1
2,LayerNormV3,AI_VECTOR_CORE,750,18290.14,22.02,24.386,27.66,1.753
2,GeluGrad,AI_VECTOR_CORE,360,17660.4,47.88,49.056,51.78,1.693
2,MatMulV3,MIX_AIC,30,17118.26,566.52,570.608,576.52,1.641
2,MatMulV2,MIX_AIC,30,15855.46,524.12,528.515,537.6,1.52
2,LayerNormBetaGammaBackpropV2,AI_VECTOR_CORE,750,14904.9,17.36,19.873,25.2,1.429
2,RealDiv,AI_VECTOR_CORE,1500,11931.78,1.24,7.954,15.84,1.144
2,MemSet,AI_VECTOR_CORE,750,9300.72,10.56,12.4,23.88,0.892
2,Neg,AI_VECTOR_CORE,30,9127.5,302.86,304.25,305.84,0.875
2,Gelu,AI_VECTOR_CORE,360,7453.9,20.34,20.705,22.42,0.714
2,CheckNumerics,AI_CPU,60,6149.7,89.38,102.495,149.6,0.589
2,ReduceMax,MIX_AIV,30,5020.14,164.0,167.338,171.18,0.481
2,UnsortedSegmentSum,MIX_AIV,60,3033.84,10.6,50.564,93.06,0.291
2,OneHot,AI_VECTOR_CORE,30,2894.42,95.22,96.48,98.98,0.277
2,GatherV2,AI_VECTOR_CORE,60,1056.52,9.82,17.608,31.54,0.101
2,StridedSlice,AI_VECTOR_CORE,120,1013.54,4.96,8.446,14.86,0.097
2,AssignAdd,AI_VECTOR_CORE,60,79.24,1.16,1.32,1.76,0.008
2,NotEqual,AI_VECTOR_CORE,30,69.5,2.12,2.316,2.6,0.007
2,Tile,AI_VECTOR_CORE,30,49.54,1.42,1.651,1.98,0.005
2,Log,AI_VECTOR_CORE,30,41.48,1.28,1.382,1.5,0.004
