Device_id,Level,API Name,Time(us),Count,Avg(us),Min(us),Max(us),Variance
2,runtime,CallbackLaunch,543.16,30,18.105,14.84,28.12,14.86
2,runtime,ContextDestroy,573.27,1,573.27,573.27,573.27,0.0
2,runtime,ContextGetCurrent,4139.96,13502,0.307,0.16,5.76,0.022
2,runtime,ContextSetCurrent,161.8,126,1.284,0.49,8.39,1.413
2,runtime,CpuKernelLaunch,2521.33,1,2521.33,2521.33,2521.33,0.0
2,runtime,CpuKernelLaunchExWithArgs,468.62,60,7.81,5.0,33.07,14.333
2,runtime,CtxGetOverflowAddr,83438.81,204240,0.409,0.09,122.15,0.097
2,runtime,DevFree,2843.52,149,19.084,1.48,2417.16,38931.871
2,runtime,DevMalloc,281.81,3,93.937,6.87,265.22,14670.344
2,runtime,DeviceReset,4.14,2,2.07,1.08,3.06,0.98
2,runtime,FftsPlusTaskLaunch,904.57,180,5.025,2.36,29.57,14.388
2,runtime,KernelLaunch,246724.56,48030,5.137,2.38,50.27,5.668
2,runtime,KernelLaunchWithHandle,1110423.44,266340,4.169,1.63,970.94,13.178
2,runtime,KernelLaunchWithHandle_Big,74268.07,11520,6.447,3.75,964.5,89.444
2,runtime,MemCopySync,5313.87,63,84.347,15.44,2104.24,66131.358
2,runtime,MemcpyAsync,50455.08,9061,5.568,2.26,686.15,686.996
2,runtime,MemcpyAsync_Huge,15758.28,4440,3.549,2.73,46.32,5.471
2,runtime,ProcessReport,19143138.31,1726,11091.042,0.08,531153.15,5287627542.938
2,runtime,StarsTaskLaunch,10776.59,4350,2.477,1.92,46.69,4.716
2,runtime,StreamCreate,6104.27,1,6104.27,6104.27,6104.27,0.0
2,runtime,StreamDestroy,19370.55,3,6456.85,487.12,15684.05,43796668.971
2,runtime,StreamSyncTaskFinish,0.0,365,0.0,0.0,0.0,0.0
2,runtime,StreamSynchronize,4223.68,365,11.572,1.3,196.27,617.25
2,acl,aclCreateDataBuffer,80675.53,609390,0.132,0.09,19.73,0.006
2,acl,aclCreateTensorDesc,197759.83,609390,0.325,0.13,18.88,0.071
2,acl,aclDestroyTensorDesc,391102.6,625405,0.625,0.14,4557.54,69.573
2,acl,aclnnAdd,188923.66,13020,14.51,9.1,63.12,13.316
2,acl,aclnnAmax,555.96,30,18.532,16.29,26.85,5.158
2,acl,aclnnCast,1895939.04,132900,14.266,8.25,732.0,14.888
2,acl,aclnnExp,1009.12,60,16.819,10.81,46.34,36.254
2,acl,aclnnLog,731.8,30,24.393,21.43,27.62,1.942
2,acl,aclnnMatmul,129492.84,8670,14.936,9.78,988.81,125.109
2,acl,aclnnMm,400811.16,26010,15.41,9.01,138.78,21.468
2,acl,aclnnMul,2559.83,180,14.221,10.37,26.21,6.303
2,acl,aclnnNeTensor,582.8,30,19.427,17.48,24.43,2.256
2,acl,aclnnNeg,409.77,30,13.659,9.97,36.28,20.614
2,acl,aclnnPermute,199891.85,11520,17.352,11.65,984.04,96.611
2,acl,aclnnReduceSum,158346.74,8670,18.264,13.04,55.36,12.828
2,acl,aclnnRepeat,459.33,30,15.311,13.4,18.01,1.618
2,acl,aclnnSoftmax,19185.22,1440,13.323,9.78,57.14,7.568
2,acl,aclnnSoftmaxBackward,23691.5,1440,16.452,13.39,67.2,14.201
2,acl,aclnnSub,2871.71,180,15.954,10.7,43.71,20.477
2,acl,aclopCompileAndExecute,5224950.17,107430,48.636,26.95,2328.71,1069.222
2,acl,aclrtDestroyStream,84710.74,2,42355.37,3213.55,81497.19,1532082072.912
2,acl,aclrtLaunchCallback,844.77,30,28.159,22.95,42.25,26.713
2,acl,aclrtMemcpy,3442.08,60,57.368,34.25,99.56,326.817
2,acl,aclrtMemcpyAsync,2079.88,91,22.856,11.81,52.75,158.324
2,acl,aclrtProcessReport,19146115.94,1726,11092.767,0.91,531173.1,5287825177.607
2,acl,aclrtResetDevice,10.01,1,10.01,10.01,10.01,0.0
2,acl,aclrtSetCurrentContext,610.88,126,4.848,1.54,28.44,16.638
2,acl,aclrtSynchronizeStreamWithTimeout,4850.92,364,13.327,2.37,134.24,599.602
2,node,launch,3749157.24,334830,11.197,3.52,979.94,36.603
2,acl,opCompile,726583.47,107430,6.763,4.39,888.66,10.835
