Device_id,OP Type,Core Type,Count,Total Time(us),Min Time(us),Avg Time(us),Max Time(us),Ratio(%)
2,Cast,AI_VECTOR_CORE,141540,1384033.02,1.02,9.778,452.84,18.019
2,MatMulV2,AI_CORE,18720,1187006.3,37.28,63.408,125.6,15.454
2,MatMulV2,MIX_AIC,7230,1113843.84,126.22,154.058,1204.1,14.501
2,AdamApplyOneWithDecay,AI_VECTOR_CORE,17280,740488.92,1.6,42.852,216.2,9.641
2,BatchMatMulV2,AI_CORE,8640,415667.78,38.0,48.109,97.16,5.412
2,DSAGenBitMask,DSA_SQE,4350,339510.34,13.88,78.048,208.1,4.42
2,Transpose,AI_VECTOR_CORE,11520,316133.74,16.52,27.442,40.24,4.116
2,Assign,AI_VECTOR_CORE,51840,312636.8,3.42,6.03,15.4,4.07
2,SoftmaxV2,AI_VECTOR_CORE,1440,277837.44,190.9,192.942,195.22,3.617
2,SoftmaxGrad,AI_VECTOR_CORE,1440,244478.1,167.58,169.776,177.54,3.183
2,LayerNormXBackpropV3,AI_VECTOR_CORE,2910,182907.38,57.84,62.854,71.7,2.381
2,Add,AI_VECTOR_CORE,13020,176099.48,1.4,13.525,50.76,2.293
2,DropOutDoMask,AI_VECTOR_CORE,8700,173424.14,7.98,19.933,50.54,2.258
2,ReduceSum,MIX_AIV,8790,153526.3,1.4,17.466,223.18,1.999
2,LayerNormV3,AI_VECTOR_CORE,2910,93906.62,30.38,32.27,36.64,1.223
2,AddN,AI_VECTOR_CORE,4350,84845.98,11.18,19.504,930.24,1.105
2,AdamApplyOneWithDecayAssign,AI_VECTOR_CORE,5880,73782.98,1.76,12.548,1995.56,0.961
2,MatMulV3,MIX_AIC,60,66655.6,932.56,1110.926,1285.02,0.868
2,LayerNormBetaGammaBackpropV2,AI_VECTOR_CORE,2910,65327.74,20.3,22.449,27.04,0.851
2,RealDiv,AI_VECTOR_CORE,5820,47891.42,1.24,8.228,15.94,0.624
2,FastGeluGrad,AI_VECTOR_CORE,1440,43134.0,26.8,29.954,35.08,0.562
2,Sub,AI_VECTOR_CORE,4530,42928.9,1.36,9.476,561.54,0.559
2,MemSet,AI_VECTOR_CORE,2910,39565.36,11.64,13.596,21.12,0.515
2,Mul,AI_VECTOR_CORE,210,25202.86,1.5,120.013,545.48,0.328
2,FastGelu,AI_VECTOR_CORE,1440,25119.74,17.08,17.444,19.74,0.327
2,Exp,AI_VECTOR_CORE,60,21899.16,320.38,364.986,410.84,0.285
2,Neg,AI_VECTOR_CORE,30,8972.98,297.9,299.099,299.94,0.117
2,CheckNumerics,AI_CPU,60,7250.36,95.44,120.839,159.66,0.094
2,UnsortedSegmentSum,MIX_AIV,60,6108.12,12.04,101.802,193.3,0.08
2,ReduceMax,MIX_AIV,30,5377.2,174.16,179.24,182.78,0.07
2,OneHot,AI_VECTOR_CORE,30,2734.34,89.72,91.144,93.88,0.036
2,GatherV2,AI_VECTOR_CORE,60,1419.36,15.12,23.656,33.98,0.018
2,StridedSlice,AI_VECTOR_CORE,120,972.78,5.06,8.106,12.78,0.013
2,AssignAdd,AI_VECTOR_CORE,60,94.5,1.28,1.575,2.1,0.001
2,NotEqual,AI_VECTOR_CORE,30,68.3,2.14,2.276,2.42,0.001
2,Tile,AI_VECTOR_CORE,30,46.9,1.42,1.563,1.76,0.001
2,Log,AI_VECTOR_CORE,30,42.18,1.28,1.406,1.58,0.001
