Device_id,Level,API Name,Time(us),Count,Avg(us),Min(us),Max(us),Variance
2,runtime,CallbackLaunch,760.79,30,25.36,15.57,31.17,15.008
2,runtime,ContextDestroy,583.53,1,583.53,583.53,583.53,0.0
2,runtime,ContextGetCurrent,4766.39,13502,0.353,0.15,9.43,0.037
2,runtime,ContextSetCurrent,170.81,125,1.366,0.44,7.5,1.161
2,runtime,CpuKernelLaunch,2392.58,1,2392.58,2392.58,2392.58,0.0
2,runtime,CpuKernelLaunchExWithArgs,429.82,60,7.164,5.12,32.17,17.68
2,runtime,CtxGetOverflowAddr,83748.31,204240,0.41,0.08,13.83,0.022
2,runtime,DevFree,2774.32,149,18.62,1.44,2436.11,39499.536
2,runtime,DevMalloc,197.1,3,65.7,6.47,181.65,6723.251
2,runtime,DeviceReset,4.51,2,2.255,1.05,3.46,1.452
2,runtime,FftsPlusTaskLaunch,770.22,180,4.279,2.41,31.43,13.439
2,runtime,KernelLaunch,250602.78,48030,5.218,2.42,76.97,5.808
2,runtime,KernelLaunchWithHandle,1154305.84,266340,4.334,1.56,807.67,7.967
2,runtime,KernelLaunchWithHandle_Big,74651.91,11520,6.48,3.92,87.69,11.243
2,runtime,MemCopySync,5710.97,63,90.65,14.63,2067.81,63529.334
2,runtime,MemcpyAsync,53168.68,9061,5.868,2.24,1262.22,909.963
2,runtime,MemcpyAsync_Huge,16269.71,4440,3.664,2.78,47.84,4.968
2,runtime,ProcessReport,18421614.43,1477,12472.319,0.08,526425.91,6057745231.021
2,runtime,StarsTaskLaunch,10569.74,4350,2.43,1.81,35.68,4.3
2,runtime,StreamCreate,4969.43,1,4969.43,4969.43,4969.43,0.0
2,runtime,StreamDestroy,15278.92,3,5092.973,443.34,12685.31,29307389.701
2,runtime,StreamSyncTaskFinish,0.0,365,0.0,0.0,0.0,0.0
2,runtime,StreamSynchronize,4644.2,365,12.724,1.34,222.39,718.134
2,acl,aclCreateDataBuffer,78573.4,609390,0.129,0.09,115.7,0.027
2,acl,aclCreateTensorDesc,186729.49,609390,0.306,0.12,45.15,0.057
2,acl,aclDestroyTensorDesc,372607.29,625405,0.596,0.14,6649.99,70.884
2,acl,aclnnAdd,179776.86,13020,13.808,8.82,64.82,11.49
2,acl,aclnnAmax,536.29,30,17.876,15.28,23.71,3.557
2,acl,aclnnCast,1798908.18,132900,13.536,7.77,85.08,8.022
2,acl,aclnnExp,934.19,60,15.57,10.96,42.04,25.573
2,acl,aclnnLog,723.82,30,24.127,20.44,27.66,1.736
2,acl,aclnnMatmul,122219.71,8670,14.097,8.78,115.03,16.134
2,acl,aclnnMm,379923.89,26010,14.607,8.65,156.37,20.278
2,acl,aclnnMul,2416.6,180,13.426,9.56,23.74,4.007
2,acl,aclnnNeTensor,554.68,30,18.489,16.99,23.35,1.954
2,acl,aclnnNeg,392.43,30,13.081,10.18,37.51,21.807
2,acl,aclnnPermute,189076.85,11520,16.413,11.3,98.79,14.611
2,acl,aclnnReduceSum,152497.19,8670,17.589,13.15,872.29,220.27
2,acl,aclnnRepeat,436.84,30,14.561,12.49,17.6,1.237
2,acl,aclnnSoftmax,18366.87,1440,12.755,9.78,45.62,6.477
2,acl,aclnnSoftmaxBackward,22186.65,1440,15.407,13.03,42.82,9.768
2,acl,aclnnSub,2720.85,180,15.116,11.13,40.87,15.273
2,acl,aclopCompileAndExecute,5051498.76,107430,47.021,26.93,1694.19,944.143
2,acl,aclrtDestroyStream,78776.93,2,39388.465,2164.14,76612.79,1385650371.706
2,acl,aclrtLaunchCallback,1123.09,30,37.436,24.09,43.84,24.489
2,acl,aclrtMemcpy,3865.08,60,64.418,36.05,127.08,472.786
2,acl,aclrtMemcpyAsync,1889.74,91,20.766,11.66,46.12,116.272
2,acl,aclrtProcessReport,18424168.09,1477,12474.047,0.9,526436.7,6058134962.556
2,acl,aclrtResetDevice,10.32,1,10.32,10.32,10.32,0.0
2,acl,aclrtSetCurrentContext,608.08,125,4.865,1.56,24.35,11.871
2,acl,aclrtSynchronizeStreamWithTimeout,5322.36,364,14.622,2.32,121.63,690.697
2,node,launch,3721206.11,334830,11.114,3.45,1419.86,35.306
2,acl,opCompile,705013.24,107430,6.563,4.32,507.0,5.691
