Device_id,OP Type,Core Type,Count,Total Time(us),Min Time(us),Avg Time(us),Max Time(us),Ratio(%)
2,Cast,AI_VECTOR_CORE,141540,1402901.7,1.0,9.911,460.74,18.233
2,MatMulV2,AI_CORE,18720,1186697.3,37.12,63.391,125.22,15.423
2,MatMulV2,MIX_AIC,7230,1115893.96,125.9,154.342,1214.16,14.503
2,AdamApplyOneWithDecay,AI_VECTOR_CORE,17280,738790.78,1.62,42.754,210.88,9.602
2,BatchMatMulV2,AI_CORE,8640,415079.86,37.98,48.041,96.9,5.395
2,DSAGenBitMask,DSA_SQE,4350,339506.96,13.9,78.047,208.2,4.412
2,Transpose,AI_VECTOR_CORE,11520,328200.08,17.78,28.489,41.66,4.265
2,Assign,AI_VECTOR_CORE,51840,313030.38,3.42,6.038,15.76,4.068
2,SoftmaxV2,AI_VECTOR_CORE,1440,276974.12,190.48,192.343,195.08,3.6
2,SoftmaxGrad,AI_VECTOR_CORE,1440,243352.32,166.92,168.994,175.84,3.163
2,DropOutDoMask,AI_VECTOR_CORE,8700,175338.3,8.14,20.153,52.44,2.279
2,Add,AI_VECTOR_CORE,13020,175146.72,1.38,13.452,49.28,2.276
2,LayerNormXBackpropV3,AI_VECTOR_CORE,2910,164202.16,52.28,56.426,65.34,2.134
2,ReduceSum,MIX_AIV,8790,157729.74,1.36,17.944,223.78,2.05
2,LayerNormV3,AI_VECTOR_CORE,2910,95115.34,30.4,32.685,38.54,1.236
2,AddN,AI_VECTOR_CORE,4350,89407.66,11.82,20.553,928.86,1.162
2,AdamApplyOneWithDecayAssign,AI_VECTOR_CORE,5880,73731.82,1.78,12.539,2003.54,0.958
2,MatMulV3,MIX_AIC,60,66475.3,938.6,1107.921,1272.5,0.864
2,LayerNormBetaGammaBackpropV2,AI_VECTOR_CORE,2910,59114.5,18.62,20.314,24.84,0.768
2,RealDiv,AI_VECTOR_CORE,5820,47697.7,1.24,8.195,15.94,0.62
2,FastGeluGrad,AI_VECTOR_CORE,1440,44680.1,28.1,31.027,36.22,0.581
2,Sub,AI_VECTOR_CORE,4530,42816.64,1.28,9.451,564.24,0.556
2,MemSet,AI_VECTOR_CORE,2910,37118.02,10.7,12.755,21.82,0.482
2,FastGelu,AI_VECTOR_CORE,1440,25333.08,17.08,17.592,20.56,0.329
2,Mul,AI_VECTOR_CORE,210,24927.78,1.5,118.703,537.34,0.324
2,Exp,AI_VECTOR_CORE,60,21849.38,321.58,364.156,406.6,0.284
2,Neg,AI_VECTOR_CORE,30,9146.76,303.72,304.892,306.3,0.119
2,CheckNumerics,AI_CPU,60,7190.46,101.62,119.841,160.98,0.093
2,UnsortedSegmentSum,MIX_AIV,60,6138.94,12.86,102.315,194.64,0.08
2,ReduceMax,MIX_AIV,30,5311.4,169.2,177.046,182.12,0.069
2,OneHot,AI_VECTOR_CORE,30,2832.52,93.06,94.417,95.64,0.037
2,GatherV2,AI_VECTOR_CORE,60,1535.52,15.24,25.592,37.36,0.02
2,StridedSlice,AI_VECTOR_CORE,120,957.82,5.12,7.981,13.12,0.012
2,AssignAdd,AI_VECTOR_CORE,60,92.8,1.28,1.546,1.8,0.001
2,NotEqual,AI_VECTOR_CORE,30,69.32,2.18,2.31,2.48,0.001
2,Tile,AI_VECTOR_CORE,30,48.0,1.4,1.6,1.8,0.001
2,Log,AI_VECTOR_CORE,30,42.04,1.28,1.401,1.54,0.001
