item,buf_idx,queue_depth,ts_slot_wait_us,ts_slot_acquire_us,ts_dma_submit_us,ts_dma_done_us,ts_nvme_submit_us,ts_nvme_done_us,ts_slot_release_us,slot_wait_us,dma_us,nvme_us,total_e2e_us
0,0,1,2445406618802,2445406618803,2445406618803,2445406619107,2445406619300,2445406620248,2445406620249,1,304,948,1445
0,1,1,2445406621037,2445406621038,2445406621038,2445406621329,2445406621507,2445406622438,2445406622438,1,291,931,1400
0,2,1,2445406623185,2445406623185,2445406623185,2445406623470,2445406623647,2445406624593,2445406624593,0,285,946,1408
0,3,1,2445406625339,2445406625339,2445406625339,2445406625625,2445406625801,2445406626745,2445406626745,0,286,944,1406
0,0,1,2445406627490,2445406627490,2445406627490,2445406627763,2445406627941,2445406628885,2445406628885,0,273,944,1395
0,1,1,2445406629631,2445406629631,2445406629631,2445406629896,2445406630073,2445406631015,2445406631015,0,265,942,1384
0,2,1,2445406631760,2445406631760,2445406631760,2445406632027,2445406632205,2445406633148,2445406633148,0,267,943,1388
0,3,1,2445406633894,2445406633894,2445406633894,2445406634158,2445406634334,2445406635277,2445406635278,0,264,943,1383
0,0,1,2445406636024,2445406636024,2445406636024,2445406636289,2445406636466,2445406637411,2445406637411,0,265,945,1387
0,1,1,2445406638155,2445406638155,2445406638155,2445406638419,2445406638596,2445406639540,2445406639540,0,264,944,1385
0,2,1,2445406640287,2445406640287,2445406640287,2445406640557,2445406640735,2445406641679,2445406641679,0,270,944,1392
0,3,1,2445406642423,2445406642423,2445406642423,2445406642687,2445406642863,2445406643808,2445406643808,0,264,945,1385
0,0,1,2445406644553,2445406644553,2445406644553,2445406644819,2445406644995,2445406645937,2445406645937,0,266,942,1384
0,1,1,2445406646683,2445406646683,2445406646683,2445406646948,2445406647124,2445406648070,2445406648070,0,265,946,1387
0,2,1,2445406648812,2445406648812,2445406648812,2445406649078,2445406649255,2445406650199,2445406650199,0,266,944,1387
0,3,1,2445406650943,2445406650944,2445406650944,2445406651208,2445406651384,2445406652341,2445406652341,1,264,957,1397
0,0,1,2445406653088,2445406653088,2445406653088,2445406653352,2445406653527,2445406654470,2445406654470,0,264,943,1382
