item,buf_idx,queue_depth,ts_slot_wait_us,ts_slot_acquire_us,ts_dma_submit_us,ts_dma_done_us,ts_nvme_submit_us,ts_nvme_done_us,ts_slot_release_us,slot_wait_us,dma_us,nvme_us,total_e2e_us
0,0,1,3308403730850,3308403730850,3308403730850,3308403731231,3308403831300,3308403831467,3308403831467,0,381,167,100617
0,1,2,3308403831858,3308403831858,3308403831858,3308403832054,3308403932118,3308403932287,3308403932287,0,196,169,100429
0,0,3,3308403932525,3308403932525,3308403932525,3308403932718,3308404032781,3308404032948,3308404032948,0,193,167,100423
0,1,4,3308404033164,3308404033164,3308404033164,3308404033356,3308404133420,3308404133583,3308404133583,0,192,163,100419
0,0,5,3308404133792,3308404133792,3308404133792,3308404133982,3308404234044,3308404234207,3308404234207,0,190,163,100415
0,1,6,3308404234422,3308404234422,3308404234422,3308404234613,3308404334675,3308404334842,3308404334842,0,191,167,100420
0,0,7,3308404335055,3308404335055,3308404335055,3308404335250,3308404435305,3308404435473,3308404435473,0,195,168,100418
0,1,8,3308404435682,3308404435682,3308404435682,3308404435872,3308404535935,3308404536100,3308404536101,0,190,165,100418
0,0,9,3308404536310,3308404536310,3308404536310,3308404536502,3308404636564,3308404636730,3308404636730,0,192,166,100420
0,1,10,3308404636939,3308404636940,3308404636940,3308404637130,3308404737192,3308404737358,3308404737358,1,190,166,100418
0,0,11,3308404737599,3308404737599,3308404737599,3308404737793,3308404837855,3308404838017,3308404838017,0,194,162,100418
0,1,12,3308404838222,3308404838222,3308404838222,3308404838408,3308404938470,3308404938634,3308404938634,0,186,164,100412
0,0,13,3308404938842,3308404938842,3308404938842,3308404939032,3308405039095,3308405039258,3308405039259,0,190,163,100416
0,1,14,3308405039466,3308405039466,3308405039466,3308405039606,3308405139639,3308405139806,3308405139806,0,140,167,100340
0,0,15,3308405140032,3308405140032,3308405140032,3308405140223,3308405240284,3308405240449,3308405240449,0,191,165,100417
0,1,16,3308405240658,3308405240658,3308405240658,3308405240855,3308405340919,3308405341080,3308405341081,0,197,161,100422
