item,buf_idx,queue_depth,ts_slot_wait_us,ts_slot_acquire_us,ts_dma_submit_us,ts_dma_done_us,ts_nvme_submit_us,ts_nvme_done_us,ts_slot_release_us,slot_wait_us,dma_us,nvme_us,total_e2e_us
0,0,1,3308418853749,3308418853750,3308418853750,3308418853751,3308418853911,3308418854068,3308418854068,1,1,157,318
0,0,1,3308418977617,3308418977617,3308418977617,3308418977618,3308418977779,3308418977936,3308418977936,0,1,157,319
0,0,1,3308419096519,3308419096519,3308419096519,3308419096520,3308419096680,3308419096836,3308419096837,0,1,156,317
0,0,1,3308419215135,3308419215135,3308419215135,3308419215135,3308419215294,3308419215451,3308419215451,0,0,157,316
0,0,1,3308419336285,3308419336285,3308419336285,3308419336285,3308419336445,3308419336602,3308419336602,0,0,157,317
0,0,1,3308419454870,3308419454870,3308419454870,3308419454871,3308419455030,3308419455186,3308419455186,0,1,156,316
0,0,1,3308419577677,3308419577677,3308419577677,3308419577678,3308419577838,3308419577995,3308419577996,0,1,157,318
0,0,1,3308419700936,3308419700936,3308419700936,3308419700937,3308419701096,3308419701253,3308419701253,0,1,157,317
0,0,1,3308419821743,3308419821743,3308419821743,3308419821744,3308419821904,3308419822061,3308419822061,0,1,157,318
0,0,1,3308419943874,3308419943874,3308419943874,3308419943875,3308419944034,3308419944191,3308419944191,0,1,157,317
0,0,1,3308420622410,3308420622410,3308420622410,3308420622411,3308420622571,3308420622728,3308420622728,0,1,157,318
0,0,1,3308420741511,3308420741511,3308420741511,3308420741512,3308420741671,3308420741828,3308420741828,0,1,157,317
0,0,1,3308420860498,3308420860498,3308420860498,3308420860499,3308420860659,3308420860816,3308420860817,0,1,157,318
0,0,1,3308420984170,3308420984171,3308420984171,3308420984171,3308420984331,3308420984487,3308420984487,1,0,156,316
0,0,1,3308421107800,3308421107800,3308421107800,3308421107801,3308421107962,3308421108120,3308421108120,0,1,158,320
0,0,1,3308421226828,3308421226828,3308421226828,3308421226829,3308421226989,3308421227145,3308421227145,0,1,156,317
0,0,1,3308421347091,3308421347091,3308421347091,3308421347092,3308421347251,3308421347408,3308421347409,0,1,157,317
0,0,1,3308421466738,3308421466738,3308421466738,3308421466739,3308421466899,3308421467055,3308421467055,0,1,156,317
0,0,1,3308421585830,3308421585830,3308421585830,3308421585831,3308421585990,3308421586147,3308421586147,0,1,157,317
0,0,1,3308421709904,3308421709904,3308421709904,3308421709905,3308421710065,3308421710222,3308421710222,0,1,157,318
0,0,1,3308421833569,3308421833569,3308421833569,3308421833570,3308421833729,3308421833886,3308421833886,0,1,157,317
0,0,1,3308421953239,3308421953239,3308421953239,3308421953240,3308421953409,3308421953567,3308421953567,0,1,158,328
0,0,1,3308422073031,3308422073031,3308422073031,3308422073032,3308422073191,3308422073348,3308422073348,0,1,157,317
0,0,1,3308422192626,3308422192626,3308422192626,3308422192627,3308422192787,3308422192944,3308422192944,0,1,157,318
0,0,1,3308422312165,3308422312165,3308422312165,3308422312166,3308422312325,3308422312482,3308422312482,0,1,157,317
0,0,1,3308422432923,3308422432924,3308422432924,3308422432924,3308422433083,3308422433239,3308422433239,1,0,156,315
0,0,1,3308423117035,3308423117035,3308423117035,3308423117035,3308423117195,3308423117331,3308423117331,0,0,136,296
0,0,1,3308423239828,3308423239828,3308423239828,3308423239828,3308423239988,3308423240144,3308423240144,0,0,156,316
0,0,1,3308423360093,3308423360093,3308423360093,3308423360094,3308423360253,3308423360410,3308423360410,0,1,157,317
0,0,1,3308423480240,3308423480240,3308423480240,3308423480240,3308423480400,3308423480557,3308423480558,0,0,157,317
0,0,1,3308423600316,3308423600316,3308423600316,3308423600317,3308423600476,3308423600632,3308423600633,0,1,156,316
0,0,1,3308423723824,3308423723824,3308423723824,3308423723825,3308423723985,3308423724141,3308423724141,0,1,156,317
0,0,1,3308423848756,3308423848757,3308423848757,3308423848757,3308423848916,3308423849073,3308423849073,1,0,157,316
0,0,1,3308423972157,3308423972158,3308423972158,3308423972158,3308423972317,3308423972474,3308423972474,1,0,157,316
