item,buf_idx,queue_depth,ts_slot_wait_us,ts_slot_acquire_us,ts_dma_submit_us,ts_dma_done_us,ts_nvme_submit_us,ts_nvme_done_us,ts_slot_release_us,slot_wait_us,dma_us,nvme_us,total_e2e_us
0,0,1,3307910578074,3307910578075,3307910578075,3307910578076,3307910578239,3307910578396,3307910578396,1,1,157,321
0,2,1,3307910581104,3307910581104,3307910581104,3307910581105,3307910581264,3307910581420,3307910581421,0,1,156,316
0,0,1,3307910594806,3307910594807,3307910594807,3307910594815,3307910594975,3307910595132,3307910595132,1,8,157,325
0,2,1,3307910782243,3307910782243,3307910782243,3307910782387,3307910782561,3307910782879,3307910782880,0,144,318,636
0,0,1,3307911504478,3307911504478,3307911504478,3307911504611,3307911504784,3307911505098,3307911505098,0,133,314,620
0,2,1,3307911506599,3307911506599,3307911506599,3307911506740,3307911506907,3307911507220,3307911507220,0,141,313,621
0,0,1,3307911510967,3307911510967,3307911510967,3307911511102,3307911511270,3307911511586,3307911511586,0,135,316,619
0,2,1,3307911516176,3307911516176,3307911516176,3307911516307,3307911516476,3307911516789,3307911516790,0,131,313,613
0,0,1,3307914418991,3307914418992,3307914418992,3307914419125,3307914419336,3307914419653,3307914419653,1,133,317,661
0,2,1,3307914421079,3307914421079,3307914421079,3307914421216,3307914421384,3307914421697,3307914421697,0,137,313,618
0,0,1,3307914425464,3307914425464,3307914425464,3307914425616,3307914425782,3307914426095,3307914426095,0,152,313,631
0,2,1,3307914430714,3307914430714,3307914430714,3307914430847,3307914431015,3307914431329,3307914431329,0,133,314,615
0,0,1,3307914432871,3307914432871,3307914432871,3307914433018,3307914433184,3307914433496,3307914433496,0,147,312,625
0,2,1,3307914438185,3307914438185,3307914438185,3307914438297,3307914438466,3307914438780,3307914438780,0,112,314,595
0,0,1,3307914443500,3307914443500,3307914443500,3307914443648,3307914443814,3307914444128,3307914444128,0,148,314,628
0,2,1,3307914445657,3307914445657,3307914445657,3307914445802,3307914445968,3307914446281,3307914446281,0,145,313,624
0,0,1,3307914449973,3307914449973,3307914449973,3307914450122,3307914450289,3307914450601,3307914450601,0,149,312,628
0,2,1,3307914455244,3307914455244,3307914455244,3307914455399,3307914455566,3307914455880,3307914455880,0,155,314,636
0,0,1,3307914457300,3307914457300,3307914457300,3307914457445,3307914457612,3307914457925,3307914457925,0,145,313,625
0,2,1,3307914461610,3307914461610,3307914461610,3307914461751,3307914461916,3307914462229,3307914462229,0,141,313,619
0,0,1,3307914466898,3307914466898,3307914466898,3307914467035,3307914467202,3307914467520,3307914467520,0,137,318,622
0,2,1,3307914469056,3307914469056,3307914469056,3307914469197,3307914469363,3307914469676,3307914469676,0,141,313,620
0,0,1,3307914474288,3307914474288,3307914474288,3307914474435,3307914474603,3307914474917,3307914474917,0,147,314,629
0,2,1,3307914479692,3307914479692,3307914479692,3307914479837,3307914480007,3307914480320,3307914480320,0,145,313,628
0,0,1,3307918090431,3307918090431,3307918090431,3307918090567,3307918090745,3307918091061,3307918091061,0,136,316,630
0,2,1,3307918092656,3307918092656,3307918092656,3307918092797,3307918092964,3307918093277,3307918093277,0,141,313,621
0,0,1,3307918097079,3307918097080,3307918097080,3307918097203,3307918097370,3307918097684,3307918097684,1,123,314,604
0,2,1,3307918101467,3307918101467,3307918101467,3307918101619,3307918101787,3307918102101,3307918102101,0,152,314,634
0,0,1,3307918103625,3307918103625,3307918103625,3307918103771,3307918103937,3307918104250,3307918104250,0,146,313,625
0,2,1,3307918108872,3307918108873,3307918108873,3307918109023,3307918109190,3307918109504,3307918109504,1,150,314,631
0,0,1,3307918114122,3307918114122,3307918114122,3307918114267,3307918114434,3307918114747,3307918114747,0,145,313,625
0,2,1,3307918116277,3307918116277,3307918116277,3307918116422,3307918116587,3307918116901,3307918116901,0,145,314,624
0,0,1,3307918121517,3307918121517,3307918121517,3307918121659,3307918121825,3307918122138,3307918122138,0,142,313,621
0,2,1,3307918126886,3307918126886,3307918126886,3307918127034,3307918127200,3307918127515,3307918127515,0,148,315,629
0,0,1,3307918128950,3307918128950,3307918128950,3307918129099,3307918129265,3307918129578,3307918129579,0,149,313,628
0,2,1,3307918133290,3307918133290,3307918133290,3307918133435,3307918133601,3307918133914,3307918133914,0,145,313,624
0,0,1,3307918138530,3307918138530,3307918138530,3307918138665,3307918138832,3307918139145,3307918139145,0,135,313,615
0,2,1,3307918140688,3307918140688,3307918140688,3307918140835,3307918141002,3307918141315,3307918141315,0,147,313,627
0,0,1,3307918145019,3307918145019,3307918145019,3307918145164,3307918145332,3307918145645,3307918145645,0,145,313,626
0,2,1,3307918150272,3307918150273,3307918150273,3307918150417,3307918150584,3307918150899,3307918150899,1,144,315,626
0,0,1,3307918152430,3307918152430,3307918152430,3307918152571,3307918152738,3307918153051,3307918153051,0,141,313,621
0,2,1,3307918157687,3307918157687,3307918157687,3307918157829,3307918157996,3307918158309,3307918158309,0,142,313,622
0,0,1,3307918162994,3307918162994,3307918162994,3307918163145,3307918163300,3307918163615,3307918163615,0,151,315,621
0,2,1,3307918165057,3307918165058,3307918165058,3307918165208,3307918165378,3307918165691,3307918165691,1,150,313,633
0,0,1,3307918169412,3307918169412,3307918169412,3307918169413,3307918169572,3307918169728,3307918169728,0,1,156,316
0,2,1,3307918197469,3307918197469,3307918197469,3307918197494,3307918197657,3307918197814,3307918197814,0,25,157,345
0,0,1,3307918200491,3307918200491,3307918200491,3307918200509,3307918200670,3307918200826,3307918200826,0,18,156,335
0,2,1,3307918214598,3307918214598,3307918214598,3307918214619,3307918214780,3307918214936,3307918214936,0,21,156,338
0,0,1,3307918402090,3307918402090,3307918402090,3307918402193,3307918402361,3307918402675,3307918402675,0,103,314,585
0,2,1,3307919160509,3307919160509,3307919160509,3307919160615,3307919160784,3307919161099,3307919161099,0,106,315,590
0,0,1,3307919162673,3307919162673,3307919162673,3307919162769,3307919162934,3307919163246,3307919163246,0,96,312,573
0,2,1,3307919166878,3307919166878,3307919166878,3307919166969,3307919167134,3307919167449,3307919167449,0,91,315,571
0,0,1,3307919172167,3307919172168,3307919172168,3307919172259,3307919172424,3307919172736,3307919172736,1,91,312,568
0,2,1,3307922221530,3307922221530,3307922221530,3307922221628,3307922221800,3307922222115,3307922222115,0,98,315,585
0,0,1,3307922223655,3307922223655,3307922223655,3307922223758,3307922223923,3307922224238,3307922224238,0,103,315,583
0,2,1,3307922228908,3307922228908,3307922228908,3307922229003,3307922229168,3307922229480,3307922229480,0,95,312,572
0,0,1,3307922234315,3307922234316,3307922234316,3307922234409,3307922234573,3307922234886,3307922234886,1,93,313,570
0,2,1,3307922236482,3307922236483,3307922236483,3307922236575,3307922236739,3307922237052,3307922237052,1,92,313,569
0,0,1,3307922240823,3307922240823,3307922240823,3307922240917,3307922241082,3307922241395,3307922241395,0,94,313,572
0,2,1,3307922246171,3307922246171,3307922246171,3307922246263,3307922246427,3307922246741,3307922246741,0,92,314,570
0,0,1,3307922248237,3307922248237,3307922248237,3307922248327,3307922248492,3307922248804,3307922248805,0,90,312,567
