item,buf_idx,queue_depth,ts_slot_wait_us,ts_slot_acquire_us,ts_dma_submit_us,ts_dma_done_us,ts_nvme_submit_us,ts_nvme_done_us,ts_slot_release_us,slot_wait_us,dma_us,nvme_us,total_e2e_us
0,0,1,3307928651038,3307928651039,3307928651039,3307928651040,3307928651203,3307928651364,3307928651365,1,1,161,325
0,2,1,3307928654055,3307928654055,3307928654055,3307928654056,3307928654216,3307928654372,3307928654372,0,1,156,317
0,0,1,3307928667496,3307928667496,3307928667496,3307928667505,3307928667667,3307928667823,3307928667824,0,9,156,327
0,2,1,3307928852562,3307928852562,3307928852562,3307928852688,3307928852866,3307928853183,3307928853183,0,126,317,621
0,0,1,3307929582191,3307929582192,3307929582192,3307929582336,3307929582511,3307929582825,3307929582825,1,144,314,633
0,2,1,3307929584354,3307929584354,3307929584354,3307929584497,3307929584665,3307929584979,3307929584979,0,143,314,625
0,0,1,3307929588834,3307929588834,3307929588834,3307929588973,3307929589141,3307929589455,3307929589455,0,139,314,621
0,2,1,3307929594073,3307929594073,3307929594073,3307929594204,3307929594372,3307929594685,3307929594685,0,131,313,612
0,0,1,3307932504656,3307932504656,3307932504656,3307932504808,3307932504989,3307932505306,3307932505306,0,152,317,650
0,2,1,3307932506889,3307932506889,3307932506889,3307932507022,3307932507191,3307932507513,3307932507513,0,133,322,624
0,0,1,3307932511270,3307932511270,3307932511270,3307932511403,3307932511572,3307932511886,3307932511886,0,133,314,616
0,2,1,3307932516517,3307932516517,3307932516517,3307932516633,3307932516801,3307932517115,3307932517115,0,116,314,598
0,0,1,3307932518634,3307932518634,3307932518634,3307932518781,3307932518949,3307932519264,3307932519264,0,147,315,630
0,2,1,3307932522965,3307932522965,3307932522965,3307932523114,3307932523282,3307932523595,3307932523595,0,149,313,630
0,0,1,3307932528218,3307932528219,3307932528219,3307932528364,3307932528530,3307932528843,3307932528843,1,145,313,624
0,2,1,3307932530375,3307932530375,3307932530375,3307932530519,3307932530685,3307932530999,3307932530999,0,144,314,624
0,0,1,3307932534543,3307932534543,3307932534543,3307932534687,3307932534855,3307932535168,3307932535168,0,144,313,625
0,2,1,3307932539927,3307932539927,3307932539927,3307932540071,3307932540237,3307932540551,3307932540551,0,144,314,624
0,0,1,3307932542082,3307932542083,3307932542083,3307932542226,3307932542392,3307932542705,3307932542705,1,143,313,622
0,2,1,3307932546402,3307932546402,3307932546402,3307932546544,3307932546711,3307932547024,3307932547024,0,142,313,622
0,0,1,3307932551641,3307932551641,3307932551641,3307932551783,3307932551950,3307932552262,3307932552263,0,142,312,621
0,2,1,3307932553830,3307932553830,3307932553830,3307932553955,3307932554122,3307932554435,3307932554435,0,125,313,605
0,0,1,3307932559139,3307932559139,3307932559139,3307932559295,3307932559464,3307932559777,3307932559777,0,156,313,638
0,2,1,3307932564425,3307932564425,3307932564425,3307932564572,3307932564742,3307932565055,3307932565056,0,147,313,630
0,0,1,3307936177177,3307936177177,3307936177177,3307936177332,3307936177515,3307936177831,3307936177831,0,155,316,654
0,2,1,3307936179313,3307936179314,3307936179314,3307936179455,3307936179623,3307936179937,3307936179937,1,141,314,623
0,0,1,3307936183689,3307936183689,3307936183689,3307936183815,3307936183982,3307936184296,3307936184296,0,126,314,607
0,2,1,3307936188994,3307936188995,3307936188995,3307936189110,3307936189278,3307936189592,3307936189592,1,115,314,597
0,0,1,3307936191101,3307936191101,3307936191101,3307936191251,3307936191420,3307936191733,3307936191733,0,150,313,632
0,2,1,3307936195448,3307936195448,3307936195448,3307936195597,3307936195765,3307936196078,3307936196078,0,149,313,630
0,0,1,3307936200702,3307936200702,3307936200702,3307936200850,3307936201017,3307936201330,3307936201330,0,148,313,628
0,2,1,3307936202856,3307936202857,3307936202857,3307936203003,3307936203168,3307936203484,3307936203484,1,146,316,627
0,0,1,3307936207194,3307936207194,3307936207194,3307936207337,3307936207505,3307936207818,3307936207818,0,143,313,624
0,2,1,3307936212453,3307936212453,3307936212453,3307936212564,3307936212732,3307936213045,3307936213045,0,111,313,592
0,0,1,3307936214613,3307936214613,3307936214613,3307936214756,3307936214922,3307936215200,3307936215200,0,143,278,587
0,2,1,3307936218870,3307936218870,3307936218870,3307936219016,3307936219182,3307936219497,3307936219498,0,146,315,627
0,0,1,3307936224192,3307936224192,3307936224192,3307936224337,3307936224503,3307936224816,3307936224816,0,145,313,624
0,2,1,3307936226347,3307936226347,3307936226347,3307936226494,3307936226660,3307936226973,3307936226973,0,147,313,626
0,0,1,3307936230670,3307936230670,3307936230670,3307936230814,3307936230981,3307936231297,3307936231298,0,144,316,627
0,2,1,3307936235928,3307936235928,3307936235928,3307936236076,3307936236242,3307936236557,3307936236557,0,148,315,629
0,0,1,3307936238083,3307936238083,3307936238083,3307936238231,3307936238397,3307936238710,3307936238710,0,148,313,627
0,2,1,3307936242333,3307936242334,3307936242334,3307936242478,3307936242644,3307936242958,3307936242958,1,144,314,624
0,0,1,3307936247657,3307936247657,3307936247657,3307936247803,3307936247970,3307936248285,3307936248286,0,146,315,628
0,2,1,3307936249811,3307936249811,3307936249811,3307936249960,3307936250129,3307936250443,3307936250443,0,149,314,632
0,0,1,3307936255066,3307936255066,3307936255066,3307936255067,3307936255200,3307936255356,3307936255356,0,1,156,290
0,2,1,3307936284141,3307936284142,3307936284142,3307936284603,3307936284617,3307936284776,3307936284776,1,461,159,634
0,0,1,3307936287146,3307936287146,3307936287146,3307936287349,3307936287360,3307936287519,3307936287519,0,203,159,373
0,2,1,3307936301270,3307936301270,3307936301270,3307936301467,3307936301475,3307936301633,3307936301633,0,197,158,363
0,0,1,3307936488791,3307936488792,3307936488792,3307936488993,3307936489008,3307936489324,3307936489324,1,201,316,532
0,2,1,3307937248356,3307937248356,3307937248356,3307937248575,3307937248590,3307937248905,3307937248906,0,219,315,549
0,0,1,3307937250463,3307937250463,3307937250463,3307937250657,3307937250669,3307937250984,3307937250984,0,194,315,521
0,2,1,3307937254742,3307937254742,3307937254742,3307937254935,3307937254947,3307937255262,3307937255262,0,193,315,520
0,0,1,3307937260077,3307937260077,3307937260077,3307937260269,3307937260281,3307937260596,3307937260596,0,192,315,519
0,2,1,3307940310935,3307940310935,3307940310935,3307940311185,3307940311205,3307940311523,3307940311523,0,250,318,588
0,0,1,3307940313073,3307940313073,3307940313073,3307940313269,3307940313282,3307940313596,3307940313596,0,196,314,523
0,2,1,3307940317402,3307940317402,3307940317402,3307940317595,3307940317607,3307940317921,3307940317921,0,193,314,519
0,0,1,3307940322735,3307940322735,3307940322735,3307940322928,3307940322940,3307940323256,3307940323256,0,193,316,521
0,2,1,3307940324906,3307940324906,3307940324906,3307940325100,3307940325115,3307940325429,3307940325429,0,194,314,523
0,0,1,3307940329216,3307940329217,3307940329217,3307940329408,3307940329421,3307940329735,3307940329736,1,191,314,518
0,2,1,3307940334425,3307940334425,3307940334425,3307940334618,3307940334629,3307940334943,3307940334943,0,193,314,518
0,0,1,3307940336579,3307940336579,3307940336579,3307940336770,3307940336783,3307940337096,3307940337097,0,191,313,517
0,2,1,3307940340875,3307940340875,3307940340875,3307940341066,3307940341078,3307940341392,3307940341392,0,191,314,517
0,0,1,3307940345319,3307940345319,3307940345319,3307940345513,3307940345525,3307940345840,3307940345840,0,194,315,521
0,2,1,3307940347488,3307940347488,3307940347488,3307940347682,3307940347694,3307940348009,3307940348009,0,194,315,521
0,0,1,3307940351808,3307940351808,3307940351808,3307940352000,3307940352011,3307940352327,3307940352327,0,192,316,519
0,2,1,3307940357026,3307940357026,3307940357026,3307940357236,3307940357248,3307940357563,3307940357563,0,210,315,537
0,0,1,3307940359281,3307940359281,3307940359281,3307940359476,3307940359488,3307940359803,3307940359803,0,195,315,522
