TaskIdx: 0 | Name: model/backbone.embedding.word_embedding.embedding_table | Size: 4194304
TaskIdx: 1 | Name: model/backbone.embedding.word_embedding.embedding_table | Size: 4194304
TaskIdx: 2 | Name: model/backbone.embedding.word_embedding.embedding_table | Size: 4194304
TaskIdx: 3 | Name: model/backbone.embedding.word_embedding.embedding_table | Size: 4194304
TaskIdx: 4 | Name: model/backbone.embedding.word_embedding.embedding_table | Size: 4194304
TaskIdx: 5 | Name: model/backbone.embedding.word_embedding.embedding_table | Size: 4194304
TaskIdx: 6 | Name: model/backbone.embedding.word_embedding.embedding_table | Size: 4194304
TaskIdx: 7 | Name: model/backbone.embedding.word_embedding.embedding_table | Size: 4194304
TaskIdx: 8 | Name: model/backbone.embedding.word_embedding.embedding_table | Size: 4194304
TaskIdx: 9 | Name: model/backbone.embedding.word_embedding.embedding_table | Size: 4194304
TaskIdx: 10 | Name: model/backbone.embedding.word_embedding.embedding_table | Size: 4194304
TaskIdx: 11 | Name: model/backbone.embedding.word_embedding.embedding_table | Size: 4194304
TaskIdx: 12 | Name: model/backbone.embedding.word_embedding.embedding_table | Size: 4194304
TaskIdx: 13 | Name: model/backbone.embedding.word_embedding.embedding_table | Size: 4194304
TaskIdx: 14 | Name: model/backbone.embedding.word_embedding.embedding_table | Size: 4194304
TaskIdx: 15 | Name: model/backbone.embedding.word_embedding.embedding_table | Size: 4194304
TaskIdx: 16 | Name: model/backbone.embedding.word_embedding.embedding_table | Size: 4194304
TaskIdx: 17 | Name: model/backbone.embedding.word_embedding.embedding_table | Size: 4194304
TaskIdx: 18 | Name: model/backbone.embedding.word_embedding.embedding_table | Size: 4194304
TaskIdx: 19 | Name: model/backbone.embedding.word_embedding.embedding_table | Size: 4194304
TaskIdx: 20 | Name: model/backbone.embedding.word_embedding.embedding_table | Size: 4194304
TaskIdx: 21 | Name: model/backbone.embedding.word_embedding.embedding_table | Size: 4194304
TaskIdx: 22 | Name: model/backbone.embedding.word_embedding.embedding_table | Size: 4194304
TaskIdx: 23 | Name: model/backbone.embedding.word_embedding.embedding_table | Size: 4194304
TaskIdx: 24 | Name: model/backbone.embedding.word_embedding.embedding_table | Size: 4194304
TaskIdx: 25 | Name: model/backbone.embedding.word_embedding.embedding_table | Size: 4194304
TaskIdx: 26 | Name: model/backbone.embedding.word_embedding.embedding_table | Size: 4194304
TaskIdx: 27 | Name: model/backbone.embedding.word_embedding.embedding_table | Size: 4194304
TaskIdx: 28 | Name: model/backbone.embedding.word_embedding.embedding_table | Size: 4194304
