item,buf_idx,queue_depth,ts_slot_wait_us,ts_slot_acquire_us,ts_dma_submit_us,ts_dma_done_us,ts_nvme_submit_us,ts_nvme_done_us,ts_slot_release_us,slot_wait_us,dma_us,nvme_us,total_e2e_us
0,0,1,3322545580185,3322545580186,3322545580186,3322545581073,3322545587882,3322545588471,3322545588471,1,887,589,8285
1,1,1,3322545580475,3322545580475,3322545580475,3322545581085,3322545594800,3322545595389,3322545595389,0,610,589,14914
2,2,1,3322545580540,3322545580540,3322545580540,3322545581088,3322545601704,3322545602299,3322545602299,0,548,595,21759
3,3,1,3322545580559,3322545580559,3322545580559,3322545581092,3322545608638,3322545609238,3322545609238,0,533,600,28679
4,4,1,3322545580853,3322545580853,3322545580853,3322545581581,3322545615461,3322545616047,3322545616047,0,728,586,35194
5,5,1,3322545580869,3322545580869,3322545580869,3322545581587,3322545622411,3322545622996,3322545622996,0,718,585,42127
6,6,1,3322545580879,3322545580879,3322545580879,3322545581590,3322545629308,3322545629892,3322545629893,0,711,584,49013
7,7,1,3322545580896,3322545580896,3322545580896,3322545582058,3322545636160,3322545636474,3322545636474,0,1162,314,55578
8,0,1,3322545636633,3322545636633,3322545636633,3322545637094,3322545643788,3322545644109,3322545644109,0,461,321,7476
9,1,1,3322545636678,3322545636678,3322545636678,3322545637102,3322545643951,3322545644109,3322545644109,0,424,158,7431
