item,buf_idx,ts_read_submit_us,ts_nvme_done_us,ts_h2d_submit_us,ts_h2d_done_us,ts_slot_release_us
0,2,3322585941916,3322585943469,3322585971317,3322585972271,3322585972284
1,3,3322585942092,3322585944830,3322585999852,3322586000566,3322586000575
2,4,3322585942267,3322585945282,3322586028088,3322586028808,3322586028817
3,5,3322585942442,3322585946181,3322586056311,3322586057009,3322586057018
4,6,3322585942615,3322585948401,3322586084582,3322586085452,3322586085462
5,7,3322585942788,3322585947957,3322586112910,3322586113634,3322586113642
6,8,3322585942963,3322585947957,3322586141175,3322586141896,3322586141905
7,9,3322585943137,3322585950175,3322586169415,3322586170118,3322586170127
8,10,3322585943312,3322585949739,3322586197701,3322586198405,3322586198415
9,11,3322585943765,3322585949739,3322586225982,3322586226686,3322586226695
10,12,3322585944209,3322585951499,3322586254283,3322586254991,3322586255000
11,13,3322585944669,3322585951939,3322586282478,3322586283170,3322586283178
12,14,3322585945124,3322585952836,3322586310705,3322586311252,3322586311260
13,15,3322585945575,3322585953728,3322586338768,3322586339318,3322586339326
14,16,3322585946020,3322585953728,3322586366921,3322586367471,3322586367479
15,17,3322585946466,3322585953286,3322586395019,3322586395567,3322586395575
16,18,3322585946912,3322585955483,3322586423181,3322586423718,3322586423727
17,19,3322585947357,3322585955483,3322586451301,3322586451849,3322586451857
18,20,3322585947799,3322585955040,3322586479419,3322586479973,3322586479981
19,21,3322585948243,3322585956812,3322586507577,3322586508125,3322586508134
20,22,3322585948692,3322585957240,3322586535610,3322586536155,3322586536163
21,23,3322585949139,3322585956811,3322586563746,3322586564293,3322586564301
22,24,3322585949581,3322585958537,3322586591963,3322586592518,3322586592527
23,25,3322585950017,3322585958968,3322586620036,3322586620747,3322586620756
24,26,3322585950457,3322585960701,3322586648240,3322586648954,3322586648961
25,27,3322585950894,3322585960263,3322586676739,3322586677456,3322586677465
26,28,3322585951339,3322585960700,3322586705150,3322586705857,3322586705866
27,29,3322585951780,3322585960700,3322586733254,3322586733965,3322586733974
28,31,3322585952676,3322585961996,3322586761477,3322586762026,3322586762034
29,0,3322585953128,3322585961995,3322586789541,3322586790090,3322586790098
30,1,3322585953571,3322585961996,3322586817671,3322586818220,3322586818229
31,30,3322585954002,3322585962426,3322586845653,3322586846190,3322586846198
32,2,3322586846382,3322586847641,3322586875132,3322586875688,3322586875696
33,3,3322586846541,3322586847014,3322586875705,3322586876064,3322586876069
