item,buf_idx,ts_read_submit_us,ts_nvme_done_us,ts_h2d_submit_us,ts_h2d_done_us,ts_slot_release_us
0,2,3322751472045,3322751476162,0,0,3322751626647
1,3,3322751472268,3322751479670,0,0,3322751776841
2,4,3322751472490,3322751481437,0,0,3322751927001
3,5,3322751472661,3322751483192,0,0,3322752077818
4,6,3322751475372,3322751487106,0,0,3322752228110
5,7,3322751478641,3322751488876,0,0,3322752378186
6,1,3322751481280,3322751490577,0,0,3322752528288
7,0,3322751483479,3322751492300,0,0,3322752678796
8,2,3322752679021,3322752682116,0,0,3322752832565
9,3,3322752679180,3322752681191,0,0,3322752832725
