item,buf_idx,queue_depth,ts_slot_wait_us,ts_slot_acquire_us,ts_dma_submit_us,ts_dma_done_us,ts_nvme_submit_us,ts_nvme_done_us,ts_slot_release_us,slot_wait_us,dma_us,nvme_us,total_e2e_us
0,0,1,3322749840475,3322749840476,3322749840476,3322749882320,3322749991832,3322749995352,3322749995352,1,41844,3520,154876
1,1,1,3322749840476,3322749840476,3322749840476,3322750034008,3322750143535,3322750147028,3322750147029,0,193532,3493,306552
2,2,1,3322749840476,3322749840476,3322749840476,3322750185635,3322750294885,3322750298403,3322750298404,0,345159,3518,457927
3,3,1,3322749840476,3322749840476,3322749840476,3322750337003,3322750446100,3322750449588,3322750449589,0,496527,3488,609112
4,4,1,3322749840650,3322749840650,3322749840650,3322750488129,3322750596929,3322750600422,3322750600422,0,647479,3493,759772
5,5,1,3322749840650,3322749840650,3322749840650,3322750639148,3322750748576,3322750751942,3322750751943,0,798498,3366,911292
6,6,1,3322749840650,3322749840650,3322749840650,3322750790860,3322750899403,3322750902743,3322750902743,0,950210,3340,1062093
7,7,1,3322749840650,3322749840650,3322749840650,3322750941670,3322751050694,3322751054063,3322751054064,0,1101020,3369,1213413
8,0,1,3322751054175,3322751054175,3322751054175,3322751096308,3322751205178,3322751208603,3322751208604,0,42133,3425,154428
9,1,1,3322751054175,3322751054175,3322751054175,3322751205179,3322751205343,3322751208604,3322751208604,0,151004,3261,154429
