item,buf_idx,ts_read_submit_us,ts_nvme_done_us,ts_h2d_submit_us,ts_h2d_done_us,ts_slot_release_us
0,2,3322256188733,3322256189542,3322256196419,3322256196640,3322256196648
1,3,3322256188898,3322256190003,3322256203496,3322256203681,3322256203687
2,4,3322256189061,3322256190004,3322256210457,3322256210643,3322256210649
3,5,3322256189223,3322256190438,3322256217507,3322256217690,3322256217696
4,6,3322256189385,3322256190438,3322256224429,3322256224608,3322256224614
5,7,3322256189845,3322256190438,3322256231394,3322256231575,3322256231580
6,8,3322256190280,3322256191308,3322256238357,3322256238535,3322256238541
7,9,3322256190718,3322256192175,3322256245170,3322256245346,3322256245352
8,10,3322256191152,3322256192610,3322256252137,3322256252315,3322256252320
9,11,3322256191583,3322256192610,3322256259093,3322256259270,3322256259276
10,12,3322256192017,3322256192610,3322256266040,3322256266226,3322256266232
11,13,3322256192451,3322256193042,3322256273046,3322256273223,3322256273229
12,14,3322256192886,3322256193476,3322256280000,3322256280178,3322256280184
13,15,3322256193318,3322256193948,3322256286852,3322256287030,3322256287036
14,16,3322256193779,3322256194817,3322256293784,3322256293963,3322256293969
15,17,3322256194224,3322256194817,3322256300719,3322256300875,3322256300881
16,18,3322256194658,3322256195247,3322256307677,3322256307856,3322256307862
17,19,3322256195090,3322256196113,3322256314609,3322256314788,3322256314794
18,20,3322256195521,3322256196634,3322256321471,3322256321649,3322256321655
19,21,3322256195955,3322256196634,3322256328402,3322256328582,3322256328588
20,22,3322256196471,3322256197089,3322256335315,3322256335496,3322256335503
21,23,3322256196930,3322256197982,3322256342269,3322256342448,3322256342454
22,24,3322256197377,3322256197982,3322256349161,3322256349340,3322256349377
23,25,3322256197822,3322256198424,3322256356185,3322256356365,3322256356371
24,26,3322256198267,3322256198863,3322256363099,3322256363277,3322256363282
25,27,3322256198704,3322256199298,3322256370033,3322256370211,3322256370217
26,28,3322256199141,3322256199732,3322256377016,3322256377193,3322256377199
27,29,3322256199575,3322256200597,3322256383968,3322256384147,3322256384153
28,30,3322256200007,3322256200597,3322256390881,3322256391060,3322256391065
29,31,3322256200440,3322256201031,3322256397848,3322256398026,3322256398032
30,32,3322256200874,3322256201469,3322256404753,3322256404932,3322256404938
31,33,3322256201311,3322256201909,3322256411673,3322256411852,3322256411857
32,34,3322256201749,3322256202776,3322256418620,3322256418796,3322256418802
33,35,3322256202186,3322256203215,3322256425573,3322256425757,3322256425763
34,36,3322256202618,3322256203216,3322256432489,3322256432721,3322256432726
35,37,3322256203058,3322256203679,3322256439416,3322256439596,3322256439601
36,38,3322256203518,3322256204120,3322256446399,3322256446603,3322256446609
37,39,3322256203959,3322256204551,3322256453348,3322256453525,3322256453530
38,40,3322256204394,3322256204988,3322256460328,3322256460505,3322256460511
39,41,3322256204832,3322256205861,3322256467293,3322256467470,3322256467476
40,42,3322256205264,3322256205861,3322256474264,3322256474439,3322256474446
41,43,3322256205698,3322256206300,3322256481195,3322256481377,3322256481383
42,44,3322256206141,3322256206737,3322256488212,3322256488396,3322256488402
43,45,3322256206579,3322256207172,3322256495103,3322256495281,3322256495287
44,46,3322256207015,3322256207608,3322256502022,3322256502199,3322256502205
45,47,3322256207452,3322256208048,3322256508966,3322256509144,3322256509149
46,48,3322256207889,3322256208478,3322256515905,3322256516082,3322256516088
47,49,3322256208321,3322256208910,3322256522869,3322256523047,3322256523053
48,50,3322256208753,3322256209344,3322256529730,3322256529913,3322256529919
49,51,3322256209187,3322256209741,3322256536604,3322256536781,3322256536813
50,52,3322256209622,3322256210174,3322256543425,3322256543603,3322256543609
51,53,3322256210016,3322256211088,3322256550316,3322256550492,3322256550497
52,54,3322256210480,3322256211088,3322256557116,3322256557293,3322256557298
53,55,3322256210930,3322256211525,3322256564003,3322256564179,3322256564184
54,56,3322256211365,3322256212833,3322256570814,3322256570990,3322256570996
55,57,3322256211802,3322256213706,3322256577687,3322256577865,3322256577871
56,58,3322256212238,3322256212833,3322256584545,3322256584722,3322256584727
57,59,3322256212676,3322256213268,3322256591406,3322256591583,3322256591589
58,60,3322256213112,3322256213707,3322256598277,3322256598456,3322256598462
59,61,3322256213548,3322256214179,3322256605053,3322256605229,3322256605235
60,62,3322256214019,3322256214614,3322256611931,3322256612110,3322256612116
61,63,3322256214457,3322256215056,3322256618707,3322256618885,3322256618891
62,0,3322256214898,3322256215492,3322256625629,3322256625805,3322256625811
63,1,3322256215334,3322256215921,3322256632511,3322256632713,3322256632719
64,2,3322256632887,3322256633490,3322256640207,3322256640387,3322256640392
65,3,3322256633045,3322256633490,3322256640400,3322256640546,3322256640550
