item,buf_idx,queue_depth,ts_slot_wait_us,ts_slot_acquire_us,ts_dma_submit_us,ts_dma_done_us,ts_nvme_submit_us,ts_nvme_done_us,ts_slot_release_us,slot_wait_us,dma_us,nvme_us,total_e2e_us
0,0,1,3322245498881,3322245498882,3322245498882,3322245499387,3322245506248,3322245506836,3322245506836,1,505,588,7954
1,1,1,3322245499118,3322245499118,3322245499118,3322245499396,3322245513118,3322245513707,3322245513707,0,278,589,14589
2,2,1,3322245499139,3322245499139,3322245499139,3322245499399,3322245520035,3322245520629,3322245520629,0,260,594,21490
3,3,1,3322245499203,3322245499203,3322245499203,3322245499404,3322245526967,3322245527562,3322245527562,0,201,595,28359
4,4,1,3322245499685,3322245499685,3322245499685,3322245499892,3322245533912,3322245534500,3322245534500,0,207,588,34815
5,5,1,3322245499700,3322245499701,3322245499701,3322245499901,3322245540841,3322245541430,3322245541430,1,200,589,41729
6,6,1,3322245499711,3322245499711,3322245499711,3322245499908,3322245547732,3322245548274,3322245548274,0,197,542,48563
7,7,1,3322245499721,3322245499721,3322245499721,3322245500346,3322245554564,3322245554878,3322245554878,0,625,314,55157
8,0,1,3322245555034,3322245555035,3322245555035,3322245555270,3322245561967,3322245562285,3322245562285,1,235,318,7250
9,1,1,3322245555087,3322245555088,3322245555088,3322245555278,3322245562129,3322245562285,3322245562285,1,190,156,7197
