item,buf_idx,queue_depth,ts_slot_wait_us,ts_slot_acquire_us,ts_dma_submit_us,ts_dma_done_us,ts_nvme_submit_us,ts_nvme_done_us,ts_slot_release_us,slot_wait_us,dma_us,nvme_us,total_e2e_us
0,0,1,3322425127039,3322425127040,3322425127040,3322425168791,3322425277941,3322425281429,3322425281429,1,41751,3488,154389
1,1,1,3322425127040,3322425127040,3322425127040,3322425319629,3322425428788,3322425432250,3322425432250,0,192589,3462,305210
2,2,1,3322425127040,3322425127040,3322425127040,3322425470507,3322425579303,3322425582734,3322425582735,0,343467,3431,455694
3,3,1,3322425127040,3322425127041,3322425127041,3322425620798,3322425730206,3322425733669,3322425733670,1,493757,3463,606628
4,4,1,3322425127214,3322425127215,3322425127215,3322425771643,3322425880204,3322425883654,3322425883654,1,644428,3450,756439
5,5,1,3322425127215,3322425127215,3322425127215,3322425921827,3322426030956,3322426034450,3322426034450,0,794612,3494,907235
6,6,1,3322425127215,3322425127215,3322425127215,3322426072484,3322426181495,3322426184806,3322426184807,0,945269,3311,1057591
7,7,1,3322425127215,3322425127215,3322425127215,3322426223289,3322426332416,3322426335828,3322426335829,0,1096074,3412,1208613
8,8,1,3322425127386,3322425127386,3322425127386,3322426373874,3322426482487,3322426485745,3322426485746,0,1246488,3258,1358359
9,9,1,3322425127386,3322425127386,3322425127386,3322426523963,3322426632959,3322426636413,3322426636414,0,1396577,3454,1509027
10,10,1,3322425127386,3322425127387,3322425127387,3322426674445,3322426783375,3322426786754,3322426786755,1,1547058,3379,1659367
11,11,1,3322425127387,3322425127387,3322425127387,3322426825855,3322426934889,3322426938245,3322426938245,0,1698468,3356,1810858
12,12,1,3322425127559,3322425127560,3322425127560,3322426977321,3322427086089,3322427089443,3322427089444,1,1849761,3354,1961883
13,13,1,3322425127560,3322425127560,3322425127560,3322427128538,3322427237338,3322427240669,3322427240670,0,2000978,3331,2113109
14,14,1,3322425127560,3322425127560,3322425127560,3322427279725,3322427388514,3322427391874,3322427391874,0,2152165,3360,2264314
15,15,1,3322425127560,3322425127560,3322425127560,3322427430996,3322427539623,3322427542956,3322427542957,0,2303436,3333,2415396
16,16,1,3322425127727,3322425127727,3322425127727,3322427582051,3322427691040,3322427694386,3322427694386,0,2454324,3346,2566659
17,17,1,3322425127727,3322425127727,3322425127727,3322427733541,3322427841963,3322427845329,3322427845329,0,2605814,3366,2717602
18,18,1,3322425127727,3322425127727,3322425127727,3322427884398,3322427993292,3322427996658,3322427996659,0,2756671,3366,2868931
19,19,1,3322425127728,3322425127728,3322425127728,3322428035800,3322428144108,3322428147438,3322428147439,0,2908072,3330,3019710
20,20,1,3322425127893,3322425127893,3322425127893,3322428186522,3322428295491,3322428298841,3322428298841,0,3058629,3350,3170948
21,21,1,3322425127894,3322425127894,3322425127894,3322428338015,3322428446876,3322428450357,3322428450358,0,3210121,3481,3322463
22,22,1,3322425127894,3322425127894,3322425127894,3322428489256,3322428597553,3322428600892,3322428600892,0,3361362,3339,3472998
23,23,1,3322425127894,3322425127894,3322425127894,3322428640060,3322428749095,3322428752440,3322428752441,0,3512166,3345,3624546
24,24,1,3322425128060,3322425128060,3322425128060,3322428791575,3322428900436,3322428903793,3322428903793,0,3663515,3357,3775733
25,25,1,3322425128060,3322425128060,3322425128060,3322428942924,3322429051806,3322429055272,3322429055272,0,3814864,3466,3927212
26,26,1,3322425128060,3322425128060,3322425128060,3322429095934,3322429220333,3322429223680,3322429223680,0,3967874,3347,4095620
27,27,1,3322425128060,3322425128060,3322425128060,3322429264658,3322429387591,3322429390907,3322429390907,0,4136598,3316,4262847
28,28,1,3322425128226,3322425128226,3322425128226,3322429431825,3322429554468,3322429557807,3322429557807,0,4303599,3339,4429581
29,29,1,3322425128227,3322425128227,3322425128227,3322429598782,3322429721436,3322429724885,3322429724885,0,4470555,3449,4596658
30,30,1,3322425128227,3322425128227,3322425128227,3322429765791,3322429888336,3322429891675,3322429891675,0,4637564,3339,4763448
31,31,1,3322425128227,3322425128227,3322425128227,3322429932748,3322430055481,3322430058832,3322430058833,0,4804521,3351,4930605
32,0,1,3322430058990,3322430058990,3322430058990,3322430100738,3322430209734,3322430213091,3322430213091,0,41748,3357,154101
33,1,1,3322430058990,3322430058991,3322430058991,3322430209735,3322430209902,3322430213091,3322430213091,1,150744,3189,154100
