item,buf_idx,ts_read_submit_us,ts_nvme_done_us,ts_h2d_submit_us,ts_h2d_done_us,ts_slot_release_us
0,2,3322391801402,3322391802734,0,0,3322391841104
1,3,3322391801576,3322391804080,0,0,3322391878428
2,4,3322391801748,3322391804523,0,0,3322391915656
3,5,3322391801920,3322391805417,0,0,3322391952960
4,6,3322391802092,3322391805861,0,0,3322391990355
5,7,3322391802264,3322391806304,0,0,3322392027470
6,8,3322391802406,3322391807185,0,0,3322392064856
7,9,3322391802576,3322391808065,0,0,3322392101963
8,10,3322391803035,3322391809825,0,0,3322392139139
9,11,3322391803484,3322391809388,0,0,3322392176466
10,12,3322391803926,3322391809826,0,0,3322392213807
11,13,3322391804367,3322391811582,0,0,3322392251185
12,14,3322391804809,3322391811145,0,0,3322392288565
13,15,3322391805261,3322391811582,0,0,3322392325916
14,16,3322391805705,3322391813336,0,0,3322392363249
15,17,3322391806147,3322391812895,0,0,3322392400766
16,18,3322391806590,3322391813336,0,0,3322392438169
17,19,3322391807030,3322391815103,0,0,3322392475330
18,20,3322391807473,3322391814660,0,0,3322392512580
19,21,3322391807910,3322391817293,0,0,3322392549855
20,22,3322391808348,3322391816857,0,0,3322392587200
21,23,3322391808787,3322391816419,0,0,3322392624635
22,24,3322391809230,3322391818171,0,0,3322392662311
23,25,3322391809670,3322391819043,0,0,3322392699709
24,26,3322391810111,3322391818171,0,0,3322392736838
25,27,3322391810551,3322391819044,0,0,3322392774177
26,28,3322391810990,3322391820799,0,0,3322392811312
27,29,3322391811428,3322391820363,0,0,3322392848527
28,30,3322391811859,3322391820800,0,0,3322392885752
29,31,3322391812295,3322391822559,0,0,3322392923138
30,32,3322391812739,3322391822123,0,0,3322392960425
31,33,3322391813178,3322391822996,0,0,3322392997511
32,35,3322391814060,3322391824316,0,0,3322393034562
33,36,3322391814504,3322391823874,0,0,3322393071640
34,37,3322391814947,3322391825193,0,0,3322393108878
35,39,3322391815820,3322391826086,0,0,3322393145888
36,41,3322391816702,3322391826085,0,0,3322393182909
37,42,3322391817136,3322391826957,0,0,3322393220029
38,43,3322391817575,3322391827839,0,0,3322393257251
39,45,3322391818456,3322391827839,0,0,3322393294170
40,46,3322391818887,3322391829611,0,0,3322393331325
41,48,3322391819759,3322391829610,0,0,3322393368444
42,49,3322391820207,3322391829610,0,0,3322393405584
43,50,3322391820645,3322391831795,0,0,3322393442893
44,52,3322391821521,3322391832465,0,0,3322393479973
45,53,3322391821967,3322391831794,0,0,3322393517254
46,54,3322391822404,3322391833620,0,0,3322393554364
47,56,3322391823277,3322391834114,0,0,3322393591599
48,57,3322391823715,3322391833457,0,0,3322393628594
49,58,3322391824161,3322391835915,0,0,3322393665809
50,60,3322391825038,3322391834786,0,0,3322393703402
51,61,3322391825485,3322391835271,0,0,3322393740386
52,63,3322391826367,3322391837695,0,0,3322393777608
53,0,3322391826803,3322391836559,0,0,3322393814990
54,34,3322391827684,3322391837209,0,0,3322393852061
55,38,3322391828116,3322391839474,0,0,3322393889098
56,44,3322391828993,3322391838342,0,0,3322393926112
57,47,3322391829453,3322391838827,0,0,3322393963154
58,51,3322391829895,3322391840772,0,0,3322394000134
59,59,3322391830790,3322391840772,0,0,3322394037388
60,62,3322391830970,3322391840283,0,0,3322394074471
61,40,3322391831805,3322391840935,0,0,3322394111596
62,55,3322391832311,3322391841538,0,0,3322394148714
63,1,3322391832647,3322391840935,0,0,3322394186094
64,2,3322394186277,3322394187667,0,0,3322394224861
65,3,3322394186436,3322394186897,0,0,3322394225021
