item,buf_idx,queue_depth,ts_slot_wait_us,ts_slot_acquire_us,ts_dma_submit_us,ts_dma_done_us,ts_nvme_submit_us,ts_nvme_done_us,ts_slot_release_us,slot_wait_us,dma_us,nvme_us,total_e2e_us
0,0,1,3300469879307,3300469879308,3300469879308,3300469879692,3300469979762,3300469979929,3300469979929,1,384,167,100621
0,1,2,3300469980335,3300469980336,3300469980336,3300469980531,3300470080599,3300470080766,3300470080766,1,195,167,100430
0,0,3,3300470080986,3300470080986,3300470080986,3300470081179,3300470181242,3300470181407,3300470181407,0,193,165,100421
0,1,4,3300470181619,3300470181619,3300470181619,3300470181811,3300470281875,3300470282039,3300470282039,0,192,164,100420
0,0,5,3300470282248,3300470282248,3300470282248,3300470282439,3300470382501,3300470382663,3300470382663,0,191,162,100415
0,1,6,3300470382841,3300470382841,3300470382841,3300470383035,3300470483101,3300470483265,3300470483265,0,194,164,100424
0,0,7,3300470483475,3300470483476,3300470483476,3300470483667,3300470583728,3300470583892,3300470583892,1,191,164,100416
0,1,8,3300470584105,3300470584105,3300470584105,3300470584320,3300470684387,3300470684552,3300470684552,0,215,165,100447
0,0,9,3300470684763,3300470684763,3300470684763,3300470684954,3300470785017,3300470785151,3300470785151,0,191,134,100388
0,1,10,3300470785368,3300470785369,3300470785369,3300470785563,3300470885627,3300470885792,3300470885792,1,194,165,100423
0,0,11,3300470886004,3300470886004,3300470886004,3300470886196,3300470986261,3300470986432,3300470986432,0,192,171,100428
0,1,12,3300470986653,3300470986653,3300470986653,3300470986847,3300471086916,3300471087102,3300471087103,0,194,186,100449
0,0,13,3300471087367,3300471087367,3300471087367,3300471087593,3300471187666,3300471187843,3300471187843,0,226,177,100476
0,1,14,3300471188149,3300471188150,3300471188150,3300471188358,3300471288430,3300471288587,3300471288588,1,208,157,100437
0,0,15,3300471288834,3300471288835,3300471288835,3300471289041,3300471389106,3300471389276,3300471389276,1,206,170,100441
0,1,15,3300471389495,3300471389496,3300471389496,3300471389692,3300471489756,3300471489925,3300471489925,1,196,169,100429
0,0,16,3300471490151,3300471490152,3300471490152,3300471490344,3300471590406,3300471590572,3300471590572,1,192,166,100420
