item,buf_idx,queue_depth,ts_slot_wait_us,ts_slot_acquire_us,ts_dma_submit_us,ts_dma_done_us,ts_nvme_submit_us,ts_nvme_done_us,ts_slot_release_us,slot_wait_us,dma_us,nvme_us,total_e2e_us
0,0,1,3300484996803,3300484996805,3300484996805,3300484996806,3300484996968,3300484997125,3300484997125,2,1,157,320
0,0,1,3300485117359,3300485117360,3300485117360,3300485117361,3300485117522,3300485117679,3300485117680,1,1,157,319
0,0,1,3300485236433,3300485236433,3300485236433,3300485236434,3300485236595,3300485236752,3300485236752,0,1,157,319
0,0,1,3300485357625,3300485357625,3300485357625,3300485357626,3300485357787,3300485357944,3300485357944,0,1,157,319
0,0,1,3300485478119,3300485478120,3300485478120,3300485478120,3300485478280,3300485478438,3300485478438,1,0,158,318
0,0,1,3300485601678,3300485601678,3300485601678,3300485601679,3300485601839,3300485601996,3300485601996,0,1,157,318
0,0,1,3300485724735,3300485724735,3300485724735,3300485724736,3300485724896,3300485725053,3300485725053,0,1,157,318
0,0,1,3300485845059,3300485845059,3300485845059,3300485845060,3300485845221,3300485845378,3300485845378,0,1,157,319
0,0,1,3300485964832,3300485964833,3300485964833,3300485964834,3300485964995,3300485965152,3300485965152,1,1,157,319
0,0,1,3300486084823,3300486084823,3300486084823,3300486084824,3300486084985,3300486085142,3300486085143,0,1,157,319
0,0,1,3300486204424,3300486204424,3300486204424,3300486204425,3300486204586,3300486204743,3300486204743,0,1,157,319
0,0,1,3300486887812,3300486887812,3300486887812,3300486887813,3300486887974,3300486888133,3300486888134,0,1,159,321
0,0,1,3300487011632,3300487011633,3300487011633,3300487011633,3300487011794,3300487011953,3300487011953,1,0,159,320
0,0,1,3300487131524,3300487131524,3300487131524,3300487131525,3300487131685,3300487131842,3300487131843,0,1,157,318
0,0,1,3300487251829,3300487251829,3300487251829,3300487251830,3300487251990,3300487252152,3300487252153,0,1,162,323
0,0,1,3300487370859,3300487370860,3300487370860,3300487370861,3300487371021,3300487371178,3300487371178,1,1,157,318
0,0,1,3300487490932,3300487490932,3300487490932,3300487490933,3300487491092,3300487491249,3300487491250,0,1,157,317
0,0,1,3300487614431,3300487614431,3300487614431,3300487614432,3300487614593,3300487614749,3300487614750,0,1,156,318
0,0,1,3300487738183,3300487738183,3300487738183,3300487738184,3300487738347,3300487738504,3300487738505,0,1,157,321
0,0,1,3300487860038,3300487860039,3300487860039,3300487860039,3300487860202,3300487860359,3300487860360,1,0,157,320
0,0,1,3300487983064,3300487983064,3300487983064,3300487983065,3300487983225,3300487983382,3300487983382,0,1,157,318
0,0,1,3300488104263,3300488104263,3300488104263,3300488104264,3300488104424,3300488104581,3300488104581,0,1,157,318
0,0,1,3300488224908,3300488224908,3300488224908,3300488224909,3300488225070,3300488225227,3300488225227,0,1,157,319
0,0,1,3300488346480,3300488346480,3300488346480,3300488346481,3300488346641,3300488346798,3300488346799,0,1,157,318
0,0,1,3300488471517,3300488471518,3300488471518,3300488471518,3300488471678,3300488471835,3300488471835,1,0,157,317
0,0,1,3300488594892,3300488594893,3300488594893,3300488594893,3300488595053,3300488595210,3300488595211,1,0,157,317
0,0,1,3300488714683,3300488714683,3300488714683,3300488714684,3300488714844,3300488715001,3300488715001,0,1,157,318
0,0,1,3300489394798,3300489394798,3300489394798,3300489394799,3300489394958,3300489395115,3300489395115,0,1,157,317
0,0,1,3300489515401,3300489515401,3300489515401,3300489515402,3300489515562,3300489515719,3300489515719,0,1,157,318
0,0,1,3300489637167,3300489637167,3300489637167,3300489637168,3300489637329,3300489637486,3300489637486,0,1,157,319
0,0,1,3300489760160,3300489760160,3300489760160,3300489760161,3300489760321,3300489760478,3300489760478,0,1,157,318
0,0,1,3300489883860,3300489883860,3300489883860,3300489883861,3300489884021,3300489884186,3300489884187,0,1,165,326
0,0,1,3300490004559,3300490004559,3300490004559,3300490004560,3300490004719,3300490004876,3300490004876,0,1,157,317
0,0,1,3300490125759,3300490125760,3300490125760,3300490125760,3300490125921,3300490126078,3300490126078,1,0,157,318
