item,buf_idx,queue_depth,ts_slot_wait_us,ts_slot_acquire_us,ts_dma_submit_us,ts_dma_done_us,ts_nvme_submit_us,ts_nvme_done_us,ts_slot_release_us,slot_wait_us,dma_us,nvme_us,total_e2e_us
0,0,1,3227422955887,3227422955888,3227422955888,3227422955890,3227422956057,3227422956217,3227422956217,1,2,160,329
0,2,1,3227422958931,3227422958931,3227422958931,3227422958933,3227422959093,3227422959250,3227422959250,0,2,157,319
0,0,1,3227422972359,3227422972359,3227422972359,3227422972369,3227422972530,3227422972687,3227422972687,0,10,157,328
0,2,1,3227423152919,3227423152920,3227423152920,3227423153059,3227423153232,3227423153547,3227423153547,1,139,315,627
0,0,1,3227423864483,3227423864484,3227423864484,3227423865047,3227423865238,3227423866177,3227423866178,1,563,939,1693
0,2,1,3227426844238,3227426844239,3227426844239,3227426844798,3227426844998,3227426845940,3227426845941,1,559,942,1701
0,0,1,3227426850635,3227426850636,3227426850636,3227426851164,3227426851357,3227426852289,3227426852289,1,528,932,1653
0,2,1,3227426856931,3227426856932,3227426856932,3227426857430,3227426857621,3227426858512,3227426858513,1,498,891,1580
0,0,1,3227426863276,3227426863276,3227426863276,3227426863774,3227426863972,3227426864882,3227426864882,0,498,910,1606
0,2,1,3227430540972,3227430540973,3227430540973,3227430541526,3227430541730,3227430542673,3227430542674,1,553,943,1700
0,0,1,3227430547418,3227430547418,3227430547418,3227430547958,3227430548151,3227430549091,3227430549091,0,540,940,1673
0,2,1,3227430553722,3227430553723,3227430553723,3227430554216,3227430554405,3227430555346,3227430555346,1,493,941,1623
0,0,1,3227430560054,3227430560055,3227430560055,3227430560558,3227430560747,3227430561667,3227430561668,1,503,920,1612
0,2,1,3227430566412,3227430566413,3227430566413,3227430566901,3227430567092,3227430568025,3227430568025,1,488,933,1612
0,0,1,3227430572748,3227430572748,3227430572748,3227430572750,3227430572910,3227430573067,3227430573067,0,2,157,319
0,2,1,3227430601781,3227430601782,3227430601782,3227430601806,3227430601971,3227430602128,3227430602128,1,24,157,346
0,0,1,3227430604853,3227430604854,3227430604854,3227430604873,3227430605034,3227430605192,3227430605192,1,19,158,338
0,2,1,3227430618675,3227430618676,3227430618676,3227430618697,3227430618859,3227430619016,3227430619016,1,21,157,340
0,0,1,3227430808759,3227430808759,3227430808759,3227430808861,3227430809031,3227430809347,3227430809347,0,102,316,588
0,2,1,3227431555654,3227431555655,3227431555655,3227431555952,3227431556138,3227431557079,3227431557080,1,297,941,1424
0,0,1,3227434613701,3227434613702,3227434613702,3227434613983,3227434614170,3227434615113,3227434615114,1,281,943,1411
0,2,1,3227434619295,3227434619295,3227434619295,3227434619575,3227434619754,3227434620692,3227434620693,0,280,938,1397
0,0,1,3227434625608,3227434625609,3227434625609,3227434625877,3227434626054,3227434626990,3227434626990,1,268,936,1381
0,2,1,3227434632105,3227434632105,3227434632105,3227434632371,3227434632549,3227434633482,3227434633483,0,266,933,1377
0,0,1,3227438479970,3227438479972,3227438479972,3227438480242,3227438480431,3227438481371,3227438481372,2,270,940,1399
0,2,1,3227438486437,3227438486437,3227438486437,3227438486715,3227438486894,3227438487830,3227438487830,0,278,936,1393
0,0,1,3227438492776,3227438492776,3227438492776,3227438493043,3227438493221,3227438494158,3227438494158,0,267,937,1382
0,2,1,3227438499217,3227438499218,3227438499218,3227438499488,3227438499665,3227438500606,3227438500606,1,270,941,1388
0,0,1,3227438505507,3227438505507,3227438505507,3227438505773,3227438505951,3227438506887,3227438506887,0,266,936,1380
0,2,1,3227438511912,3227438511912,3227438511912,3227438511943,3227438512107,3227438512264,3227438512264,0,31,157,352
