item,buf_idx,queue_depth,ts_slot_wait_us,ts_slot_acquire_us,ts_dma_submit_us,ts_dma_done_us,ts_nvme_submit_us,ts_nvme_done_us,ts_slot_release_us,slot_wait_us,dma_us,nvme_us,total_e2e_us
0,0,1,3301963260827,3301963260829,3301963260829,3301963261207,3301963361276,3301963361443,3301963361443,2,378,167,100614
0,1,2,3301963361832,3301963361833,3301963361833,3301963362029,3301963462092,3301963462259,3301963462260,1,196,167,100426
0,0,3,3301963462476,3301963462476,3301963462476,3301963462669,3301963562732,3301963562897,3301963562897,0,193,165,100421
0,1,4,3301963563104,3301963563105,3301963563105,3301963563296,3301963663358,3301963663522,3301963663522,1,191,164,100417
0,0,5,3301963663725,3301963663725,3301963663725,3301963663915,3301963763977,3301963764143,3301963764143,0,190,166,100418
0,1,6,3301963764350,3301963764351,3301963764351,3301963764543,3301963864605,3301963864771,3301963864771,1,192,166,100420
0,0,7,3301963864978,3301963864978,3301963864978,3301963865170,3301963965232,3301963965386,3301963965386,0,192,154,100408
0,1,8,3301963965597,3301963965598,3301963965598,3301963965792,3301964065855,3301964066024,3301964066024,1,194,169,100426
0,0,9,3301964066234,3301964066234,3301964066234,3301964066430,3301964166497,3301964166664,3301964166664,0,196,167,100430
0,1,10,3301964166872,3301964166872,3301964166872,3301964167064,3301964267126,3301964267293,3301964267293,0,192,167,100421
0,0,11,3301964267501,3301964267501,3301964267501,3301964267645,3301964367683,3301964367853,3301964367853,0,144,170,100352
0,1,12,3301964368065,3301964368065,3301964368065,3301964368259,3301964468322,3301964468486,3301964468487,0,194,164,100421
0,0,13,3301964468693,3301964468693,3301964468693,3301964468884,3301964568948,3301964569113,3301964569113,0,191,165,100420
0,1,14,3301964569338,3301964569339,3301964569339,3301964569529,3301964669593,3301964669758,3301964669758,1,190,165,100419
0,0,15,3301964669966,3301964669966,3301964669966,3301964670158,3301964770219,3301964770383,3301964770383,0,192,164,100417
0,1,16,3301964770595,3301964770595,3301964770595,3301964770784,3301964870847,3301964871014,3301964871014,0,189,167,100419
