item,buf_idx,queue_depth,ts_slot_wait_us,ts_slot_acquire_us,ts_dma_submit_us,ts_dma_done_us,ts_nvme_submit_us,ts_nvme_done_us,ts_slot_release_us,slot_wait_us,dma_us,nvme_us,total_e2e_us
0,0,1,3301978388363,3301978388365,3301978388365,3301978388366,3301978388527,3301978388684,3301978388685,2,1,157,319
0,0,1,3301978509358,3301978509359,3301978509359,3301978509359,3301978509520,3301978509677,3301978509677,1,0,157,318
0,0,1,3301979192131,3301979192132,3301979192132,3301979192132,3301979192292,3301979192449,3301979192450,1,0,157,317
0,0,1,3301979315787,3301979315788,3301979315788,3301979315789,3301979315949,3301979316106,3301979316106,1,1,157,318
0,0,1,3301979436435,3301979436436,3301979436436,3301979436436,3301979436597,3301979436754,3301979436754,1,0,157,318
0,0,1,3301979555899,3301979555899,3301979555899,3301979555900,3301979556060,3301979556217,3301979556217,0,1,157,318
0,0,1,3301979675323,3301979675323,3301979675323,3301979675324,3301979675484,3301979675641,3301979675641,0,1,157,318
0,0,1,3301979794844,3301979794845,3301979794845,3301979794846,3301979795007,3301979795164,3301979795164,1,1,157,319
0,0,1,3301979916989,3301979916990,3301979916990,3301979916990,3301979917151,3301979917308,3301979917308,1,0,157,318
0,0,1,3301980040609,3301980040609,3301980040609,3301980040610,3301980040771,3301980040928,3301980040929,0,1,157,319
0,0,1,3301980161804,3301980161804,3301980161804,3301980161805,3301980161967,3301980162124,3301980162124,0,1,157,320
0,0,1,3301980282028,3301980282029,3301980282029,3301980282029,3301980282189,3301980282349,3301980282349,1,0,160,320
0,0,1,3301980402322,3301980402322,3301980402322,3301980402323,3301980402482,3301980402639,3301980402639,0,1,157,317
0,0,1,3301980522586,3301980522586,3301980522586,3301980522587,3301980522746,3301980522903,3301980522903,0,1,157,317
0,0,1,3301980642749,3301980642750,3301980642750,3301980642750,3301980642910,3301980643067,3301980643067,1,0,157,317
0,0,1,3301980766033,3301980766034,3301980766034,3301980766035,3301980766194,3301980766354,3301980766354,1,1,160,320
0,0,1,3301980889261,3301980889261,3301980889261,3301980889262,3301980889421,3301980889578,3301980889578,0,1,157,317
0,0,1,3301981010061,3301981010062,3301981010062,3301981010062,3301981010223,3301981010383,3301981010383,1,0,160,321
0,0,1,3301981690272,3301981690272,3301981690272,3301981690273,3301981690434,3301981690591,3301981690591,0,1,157,319
0,0,1,3301981811124,3301981811125,3301981811125,3301981811126,3301981811286,3301981811443,3301981811443,1,1,157,318
0,0,1,3301981931680,3301981931680,3301981931680,3301981931681,3301981931841,3301981931997,3301981931998,0,1,156,317
0,0,1,3301982055521,3301982055522,3301982055522,3301982055522,3301982055682,3301982055839,3301982055839,1,0,157,317
0,0,1,3301982179127,3301982179127,3301982179127,3301982179128,3301982179287,3301982179444,3301982179444,0,1,157,317
0,0,1,3301982300611,3301982300612,3301982300612,3301982300613,3301982300772,3301982300929,3301982300929,1,1,157,317
0,0,1,3301982421587,3301982421588,3301982421588,3301982421588,3301982421748,3301982421905,3301982421905,1,0,157,317
0,0,1,3301982543034,3301982543035,3301982543035,3301982543035,3301982543196,3301982543353,3301982543353,1,0,157,318
0,0,1,3301982664569,3301982664569,3301982664569,3301982664570,3301982664730,3301982664886,3301982664887,0,1,156,317
0,0,1,3301982786187,3301982786188,3301982786188,3301982786188,3301982786352,3301982786509,3301982786509,1,0,157,321
0,0,1,3301982909912,3301982909913,3301982909913,3301982909913,3301982910074,3301982910230,3301982910231,1,0,156,317
0,0,1,3301983032898,3301983032899,3301983032899,3301983032900,3301983033059,3301983033216,3301983033216,1,1,157,317
0,0,1,3301983154670,3301983154670,3301983154670,3301983154671,3301983154831,3301983154988,3301983154988,0,1,157,318
0,0,1,3301983276142,3301983276142,3301983276142,3301983276143,3301983276303,3301983276460,3301983276460,0,1,157,318
0,0,1,3301983397633,3301983397633,3301983397633,3301983397634,3301983397793,3301983397950,3301983397950,0,1,157,317
0,0,1,3301983519465,3301983519466,3301983519466,3301983519467,3301983519627,3301983519783,3301983519784,1,1,156,317
