Device_id,OP Type,Core Type,Count,Total Time(us),Min Time(us),Avg Time(us),Max Time(us),Ratio(%)
6,Cast,AI_VECTOR_CORE,141540,1393569.399,1.02,9.846,460.43,18.087
6,MatMulV2,AI_CORE,18720,1187045.533,37.241,63.411,126.642,15.407
6,MatMulV2,MIX_AIC,7230,1117793.154,127.562,154.605,1207.964,14.508
6,AdamApplyOneWithDecay,AI_VECTOR_CORE,17280,744041.221,1.6,43.058,212.964,9.657
6,BatchMatMulV2,AI_CORE,8640,415387.866,37.92,48.077,99.622,5.391
6,DSAGenBitMask,DSA_SQE,4350,339517.686,13.88,78.05,208.104,4.407
6,Transpose,AI_VECTOR_CORE,11520,329972.512,19.28,28.643,41.981,4.283
6,Assign,AI_VECTOR_CORE,51840,312959.922,3.32,6.037,16.14,4.062
6,SoftmaxV2,AI_VECTOR_CORE,1440,278122.977,191.284,193.141,195.044,3.61
6,SoftmaxGrad,AI_VECTOR_CORE,1440,245161.323,168.383,170.251,176.924,3.182
6,DropOutDoMask,AI_VECTOR_CORE,8700,183419.513,9.28,21.083,54.541,2.381
6,Add,AI_VECTOR_CORE,13020,173925.51,1.42,13.358,47.661,2.257
6,LayerNormXBackpropV3,AI_VECTOR_CORE,2910,165287.673,52.081,56.8,65.901,2.145
6,ReduceSum,MIX_AIV,8790,161558.478,1.28,18.38,220.225,2.097
6,LayerNormV3,AI_VECTOR_CORE,2910,90039.105,29.061,30.941,35.061,1.169
6,AddN,AI_VECTOR_CORE,4350,86784.889,11.72,19.951,926.718,1.126
6,AdamApplyOneWithDecayAssign,AI_VECTOR_CORE,5880,73874.569,1.78,12.564,2004.42,0.959
6,MatMulV3,MIX_AIC,60,67456.628,948.939,1124.277,1292.506,0.876
6,LayerNormBetaGammaBackpropV2,AI_VECTOR_CORE,2910,59304.22,18.56,20.379,25.581,0.77
6,RealDiv,AI_VECTOR_CORE,5820,47851.527,1.24,8.222,15.98,0.621
6,FastGeluGrad,AI_VECTOR_CORE,1440,43991.661,27.961,30.55,35.181,0.571
6,Sub,AI_VECTOR_CORE,4530,42593.067,1.38,9.402,561.391,0.553
6,MemSet,AI_VECTOR_CORE,2910,37225.145,10.7,12.792,21.64,0.483
6,FastGelu,AI_VECTOR_CORE,1440,27182.745,18.421,18.877,21.921,0.353
6,Mul,AI_VECTOR_CORE,210,24933.477,1.54,118.731,536.131,0.324
6,Exp,AI_VECTOR_CORE,60,21915.678,319.226,365.261,411.448,0.284
6,Neg,AI_VECTOR_CORE,30,9123.122,303.186,304.104,305.066,0.118
6,CheckNumerics,AI_CPU,60,8054.6,101.702,134.243,183.204,0.105
6,UnsortedSegmentSum,MIX_AIV,60,6138.723,13.32,102.312,192.564,0.08
6,ReduceMax,MIX_AIV,30,5145.404,169.763,171.513,174.504,0.067
6,OneHot,AI_VECTOR_CORE,30,2729.294,89.022,90.976,97.542,0.035
6,GatherV2,AI_VECTOR_CORE,60,1449.229,15.02,24.154,35.561,0.019
6,StridedSlice,AI_VECTOR_CORE,120,942.821,5.1,7.857,13.76,0.012
6,NotEqual,AI_VECTOR_CORE,30,68.863,2.14,2.295,2.7,0.001
6,Tile,AI_VECTOR_CORE,30,46.641,1.42,1.555,1.78,0.001
6,AssignAdd,AI_VECTOR_CORE,30,42.341,1.28,1.411,1.52,0.001
6,Log,AI_VECTOR_CORE,30,41.741,1.26,1.391,1.54,0.001
