Device_id,OP Type,Core Type,Count,Total Time(us),Min Time(us),Avg Time(us),Max Time(us),Ratio(%)
6,Cast,AI_VECTOR_CORE,141540,1395680.268,1.02,9.861,462.409,18.141
6,MatMulV2,AI_CORE,18720,1187170.466,37.281,63.417,126.502,15.431
6,MatMulV2,MIX_AIC,7230,1119059.327,127.343,154.78,1211.464,14.545
6,AdamApplyOneWithDecay,AI_VECTOR_CORE,17280,742453.471,1.58,42.966,210.044,9.65
6,BatchMatMulV2,AI_CORE,8640,415483.782,37.921,48.088,97.782,5.4
6,DSAGenBitMask,DSA_SQE,4350,339509.53,13.88,78.048,208.044,4.413
6,Transpose,AI_VECTOR_CORE,11520,334150.651,18.52,29.006,41.181,4.343
6,Assign,AI_VECTOR_CORE,51840,313575.341,3.28,6.049,16.741,4.076
6,SoftmaxV2,AI_VECTOR_CORE,1440,276723.899,190.184,192.169,194.344,3.597
6,SoftmaxGrad,AI_VECTOR_CORE,1440,243940.807,167.184,169.403,177.603,3.171
6,DropOutDoMask,AI_VECTOR_CORE,8700,182505.046,9.06,20.978,54.881,2.372
6,Add,AI_VECTOR_CORE,13020,173806.33,1.42,13.349,47.961,2.259
6,LayerNormXBackpropV3,AI_VECTOR_CORE,2910,165415.359,52.421,56.844,64.921,2.15
6,ReduceSum,MIX_AIV,8790,146102.832,1.4,16.621,222.785,1.899
6,LayerNormV3,AI_VECTOR_CORE,2910,93544.647,30.401,32.146,38.781,1.216
6,AddN,AI_VECTOR_CORE,4350,84774.49,11.06,19.488,927.399,1.102
6,AdamApplyOneWithDecayAssign,AI_VECTOR_CORE,5880,73899.709,1.74,12.568,2003.96,0.961
6,MatMulV3,MIX_AIC,60,67234.103,941.859,1120.568,1296.846,0.874
6,LayerNormBetaGammaBackpropV2,AI_VECTOR_CORE,2910,60593.978,18.88,20.823,25.761,0.788
6,RealDiv,AI_VECTOR_CORE,5820,46455.269,1.24,7.982,13.96,0.604
6,FastGeluGrad,AI_VECTOR_CORE,1440,44835.537,28.381,31.136,34.861,0.583
6,Sub,AI_VECTOR_CORE,4530,42692.577,1.38,9.424,562.311,0.555
6,MemSet,AI_VECTOR_CORE,2910,37255.908,10.78,12.803,22.901,0.484
6,FastGelu,AI_VECTOR_CORE,1440,26466.481,17.881,18.38,21.44,0.344
6,Mul,AI_VECTOR_CORE,210,24960.458,1.54,118.859,536.75,0.324
6,Exp,AI_VECTOR_CORE,60,22029.922,322.307,367.165,413.168,0.286
6,Neg,AI_VECTOR_CORE,30,9111.522,302.826,303.717,304.946,0.118
6,CheckNumerics,AI_CPU,60,7560.172,101.262,126.003,177.584,0.098
6,UnsortedSegmentSum,MIX_AIV,60,6142.141,13.26,102.369,193.244,0.08
6,ReduceMax,MIX_AIV,30,5183.765,169.543,172.792,177.863,0.067
6,OneHot,AI_VECTOR_CORE,30,2668.253,87.662,88.942,90.842,0.035
6,GatherV2,AI_VECTOR_CORE,60,1420.909,15.28,23.682,34.641,0.018
6,StridedSlice,AI_VECTOR_CORE,120,1053.682,5.02,8.781,17.3,0.014
6,NotEqual,AI_VECTOR_CORE,30,69.301,2.12,2.31,2.74,0.001
6,Tile,AI_VECTOR_CORE,30,46.361,1.38,1.545,1.74,0.001
6,AssignAdd,AI_VECTOR_CORE,30,41.821,1.24,1.394,1.66,0.001
6,Log,AI_VECTOR_CORE,30,41.141,1.26,1.371,1.54,0.001
