Device_id,OP Type,Core Type,Count,Total Time(us),Min Time(us),Avg Time(us),Max Time(us),Ratio(%)
6,Cast,AI_VECTOR_CORE,141540,1395998.896,1.0,9.863,461.969,18.063
6,MatMulV2,AI_CORE,18720,1187517.292,37.281,63.436,126.743,15.365
6,MatMulV2,MIX_AIC,7230,1117343.61,127.142,154.543,1212.704,14.457
6,AdamApplyOneWithDecay,AI_VECTOR_CORE,17280,740963.127,1.58,42.88,209.584,9.587
6,BatchMatMulV2,AI_CORE,8640,415569.359,37.981,48.098,98.022,5.377
6,DSAGenBitMask,DSA_SQE,4350,339503.597,13.88,78.047,208.024,4.393
6,Transpose,AI_VECTOR_CORE,11520,333491.779,18.86,28.949,41.621,4.315
6,Assign,AI_VECTOR_CORE,51840,312509.215,3.4,6.028,15.36,4.044
6,SoftmaxV2,AI_VECTOR_CORE,1440,276601.385,189.984,192.084,194.584,3.579
6,SoftmaxGrad,AI_VECTOR_CORE,1440,244406.274,167.543,169.727,178.643,3.162
6,LayerNormXBackpropV3,AI_VECTOR_CORE,2910,183278.035,58.181,62.982,72.061,2.371
6,DropOutDoMask,AI_VECTOR_CORE,8700,179386.018,8.8,20.619,53.241,2.321
6,Add,AI_VECTOR_CORE,13020,173805.692,1.42,13.349,47.121,2.249
6,ReduceSum,MIX_AIV,8790,155405.613,1.32,17.68,223.144,2.011
6,LayerNormV3,AI_VECTOR_CORE,2910,93573.994,30.36,32.156,39.221,1.211
6,AddN,AI_VECTOR_CORE,4350,90039.656,12.14,20.699,925.259,1.165
6,AdamApplyOneWithDecayAssign,AI_VECTOR_CORE,5880,73894.996,1.78,12.567,2002.52,0.956
6,LayerNormBetaGammaBackpropV2,AI_VECTOR_CORE,2910,67685.496,20.92,23.26,27.8,0.876
6,MatMulV3,MIX_AIC,60,67136.881,940.639,1118.948,1292.406,0.869
6,RealDiv,AI_VECTOR_CORE,5820,47682.335,1.26,8.193,15.841,0.617
6,FastGeluGrad,AI_VECTOR_CORE,1440,43277.782,27.101,30.054,34.181,0.56
6,Sub,AI_VECTOR_CORE,4530,42777.734,1.38,9.443,561.831,0.554
6,MemSet,AI_VECTOR_CORE,2910,40020.744,11.68,13.753,22.02,0.518
6,FastGelu,AI_VECTOR_CORE,1440,26353.946,17.9,18.301,20.88,0.341
6,Mul,AI_VECTOR_CORE,210,24941.538,1.56,118.769,535.931,0.323
6,Exp,AI_VECTOR_CORE,60,21998.0,321.947,366.633,412.168,0.285
6,Neg,AI_VECTOR_CORE,30,9067.26,301.106,302.242,303.806,0.117
6,CheckNumerics,AI_CPU,60,7592.372,98.882,126.54,167.124,0.098
6,UnsortedSegmentSum,MIX_AIV,60,6131.422,12.82,102.19,193.544,0.079
6,ReduceMax,MIX_AIV,30,5230.264,170.944,174.342,177.844,0.068
6,OneHot,AI_VECTOR_CORE,30,2672.354,87.782,89.078,96.342,0.035
6,GatherV2,AI_VECTOR_CORE,60,1441.748,14.82,24.029,36.441,0.019
6,StridedSlice,AI_VECTOR_CORE,120,1055.681,5.06,8.797,16.7,0.014
6,NotEqual,AI_VECTOR_CORE,30,68.381,2.14,2.279,2.44,0.001
6,Tile,AI_VECTOR_CORE,30,47.481,1.42,1.583,1.96,0.001
6,Log,AI_VECTOR_CORE,30,42.04,1.28,1.401,1.64,0.001
6,AssignAdd,AI_VECTOR_CORE,30,41.781,1.26,1.393,1.58,0.001
