Device_id,OP Type,Core Type,Count,Total Time(us),Min Time(us),Avg Time(us),Max Time(us),Ratio(%)
6,Cast,AI_VECTOR_CORE,141540,1393617.86,1.02,9.846,460.229,18.112
6,MatMulV2,AI_CORE,18720,1186609.535,37.241,63.387,126.623,15.422
6,MatMulV2,MIX_AIC,7230,1123571.776,128.403,155.404,1204.864,14.602
6,AdamApplyOneWithDecay,AI_VECTOR_CORE,17280,744714.222,1.58,43.097,212.884,9.679
6,BatchMatMulV2,AI_CORE,8640,415033.818,37.901,48.036,99.102,5.394
6,DSAGenBitMask,DSA_SQE,4350,339504.148,13.88,78.047,208.144,4.412
6,Transpose,AI_VECTOR_CORE,11520,329736.86,19.36,28.623,41.621,4.285
6,Assign,AI_VECTOR_CORE,51840,313013.669,3.42,6.038,16.04,4.068
6,SoftmaxV2,AI_VECTOR_CORE,1440,278148.793,191.204,193.159,195.764,3.615
6,SoftmaxGrad,AI_VECTOR_CORE,1440,244756.413,167.603,169.97,177.064,3.181
6,Add,AI_VECTOR_CORE,13020,173995.823,1.42,13.364,48.341,2.261
6,DropOutDoMask,AI_VECTOR_CORE,8700,172152.742,7.96,19.788,51.601,2.237
6,LayerNormXBackpropV3,AI_VECTOR_CORE,2910,165469.803,52.021,56.862,66.281,2.15
6,ReduceSum,MIX_AIV,8790,159561.332,1.4,18.153,220.044,2.074
6,LayerNormV3,AI_VECTOR_CORE,2910,90078.684,28.98,30.955,35.001,1.171
6,AddN,AI_VECTOR_CORE,4350,85872.413,11.22,19.741,924.979,1.116
6,AdamApplyOneWithDecayAssign,AI_VECTOR_CORE,5880,73825.75,1.74,12.555,2007.68,0.959
6,MatMulV3,MIX_AIC,60,67296.705,942.879,1121.612,1288.306,0.875
6,LayerNormBetaGammaBackpropV2,AI_VECTOR_CORE,2910,59316.884,18.7,20.384,26.441,0.771
6,RealDiv,AI_VECTOR_CORE,5820,49031.02,1.26,8.425,16.82,0.637
6,FastGeluGrad,AI_VECTOR_CORE,1440,44083.423,27.68,30.613,35.7,0.573
6,Sub,AI_VECTOR_CORE,4530,42695.37,1.38,9.425,563.291,0.555
6,MemSet,AI_VECTOR_CORE,2910,37233.643,10.72,12.795,21.721,0.484
6,FastGelu,AI_VECTOR_CORE,1440,25139.518,17.08,17.458,19.84,0.327
6,Mul,AI_VECTOR_CORE,210,24937.56,1.54,118.75,535.63,0.324
6,Exp,AI_VECTOR_CORE,60,21915.237,318.906,365.254,411.448,0.285
6,Neg,AI_VECTOR_CORE,30,9085.582,301.786,302.853,304.046,0.118
6,CheckNumerics,AI_CPU,60,7582.733,101.102,126.379,171.763,0.099
6,UnsortedSegmentSum,MIX_AIV,60,6128.104,13.22,102.135,193.424,0.08
6,ReduceMax,MIX_AIV,30,5130.702,168.304,171.023,173.383,0.067
6,OneHot,AI_VECTOR_CORE,30,2698.094,87.942,89.936,96.062,0.035
6,GatherV2,AI_VECTOR_CORE,60,1405.908,14.88,23.432,34.74,0.018
6,StridedSlice,AI_VECTOR_CORE,120,948.46,5.1,7.904,13.601,0.012
6,NotEqual,AI_VECTOR_CORE,30,69.121,2.12,2.304,2.66,0.001
6,Tile,AI_VECTOR_CORE,30,47.422,1.4,1.581,1.74,0.001
6,AssignAdd,AI_VECTOR_CORE,30,42.242,1.26,1.408,1.58,0.001
6,Log,AI_VECTOR_CORE,30,41.7,1.3,1.39,1.52,0.001
