Device_id,OP Type,Core Type,Count,Total Time(us),Min Time(us),Avg Time(us),Max Time(us),Ratio(%)
6,Cast,AI_VECTOR_CORE,141540,1395754.915,1.0,9.861,462.329,18.082
6,MatMulV2,AI_CORE,18720,1188684.448,37.301,63.498,126.983,15.4
6,MatMulV2,MIX_AIC,7230,1115235.838,125.403,154.251,1213.184,14.448
6,AdamApplyOneWithDecay,AI_VECTOR_CORE,17280,746443.215,1.58,43.197,213.264,9.67
6,BatchMatMulV2,AI_CORE,8640,415600.978,38.041,48.102,98.302,5.384
6,DSAGenBitMask,DSA_SQE,4350,339529.293,13.88,78.053,208.125,4.399
6,Transpose,AI_VECTOR_CORE,11520,318902.346,16.56,27.682,41.001,4.131
6,Assign,AI_VECTOR_CORE,51840,313530.673,3.32,6.048,16.18,4.062
6,SoftmaxV2,AI_VECTOR_CORE,1440,276700.998,190.304,192.153,195.104,3.585
6,SoftmaxGrad,AI_VECTOR_CORE,1440,244252.622,167.383,169.62,177.564,3.164
6,DropOutDoMask,AI_VECTOR_CORE,8700,188775.243,9.68,21.698,53.441,2.446
6,LayerNormXBackpropV3,AI_VECTOR_CORE,2910,186973.038,59.501,64.252,71.921,2.422
6,Add,AI_VECTOR_CORE,13020,173848.602,1.4,13.352,48.041,2.252
6,ReduceSum,MIX_AIV,8790,145196.46,1.32,16.518,221.544,1.881
6,LayerNormV3,AI_VECTOR_CORE,2910,93576.955,30.46,32.157,38.001,1.212
6,AddN,AI_VECTOR_CORE,4350,90860.317,11.1,20.887,926.198,1.177
6,AdamApplyOneWithDecayAssign,AI_VECTOR_CORE,5880,73993.656,1.72,12.584,2004.4,0.959
6,MatMulV3,MIX_AIC,60,67256.045,940.379,1120.934,1295.526,0.871
6,LayerNormBetaGammaBackpropV2,AI_VECTOR_CORE,2910,65549.832,20.84,22.526,27.28,0.849
6,RealDiv,AI_VECTOR_CORE,5820,46829.267,1.26,8.046,14.32,0.607
6,Sub,AI_VECTOR_CORE,4530,42682.895,1.36,9.422,561.871,0.553
6,FastGeluGrad,AI_VECTOR_CORE,1440,42656.131,26.68,29.622,34.861,0.553
6,MemSet,AI_VECTOR_CORE,2910,38036.029,11.58,13.071,21.0,0.493
6,FastGelu,AI_VECTOR_CORE,1440,27658.965,18.601,19.208,22.56,0.358
6,Mul,AI_VECTOR_CORE,210,24946.757,1.54,118.794,535.931,0.323
6,Exp,AI_VECTOR_CORE,60,22039.12,322.386,367.319,412.388,0.286
6,Neg,AI_VECTOR_CORE,30,9088.842,301.766,302.961,303.886,0.118
6,CheckNumerics,AI_CPU,60,7517.251,101.002,125.288,160.103,0.097
6,UnsortedSegmentSum,MIX_AIV,60,6114.88,12.761,101.915,193.484,0.079
6,ReduceMax,MIX_AIV,30,5229.084,171.443,174.303,177.163,0.068
6,OneHot,AI_VECTOR_CORE,30,2688.894,88.382,89.63,97.982,0.035
6,GatherV2,AI_VECTOR_CORE,60,1422.069,15.06,23.701,34.341,0.018
6,StridedSlice,AI_VECTOR_CORE,120,1052.359,5.04,8.77,17.86,0.014
6,NotEqual,AI_VECTOR_CORE,30,68.781,2.08,2.293,2.48,0.001
6,Tile,AI_VECTOR_CORE,30,47.58,1.44,1.586,1.84,0.001
6,Log,AI_VECTOR_CORE,30,42.56,1.3,1.419,1.62,0.001
6,AssignAdd,AI_VECTOR_CORE,30,41.261,1.28,1.375,1.62,0.001
