Device_id,OP Type,Core Type,Count,Total Time(us),Min Time(us),Avg Time(us),Max Time(us),Ratio(%)
6,Cast,AI_VECTOR_CORE,141540,1399823.844,1.02,9.89,460.489,18.082
6,MatMulV2,AI_CORE,18720,1187765.087,37.201,63.449,127.022,15.343
6,MatMulV2,MIX_AIC,7230,1121039.377,126.203,155.054,1206.124,14.481
6,AdamApplyOneWithDecay,AI_VECTOR_CORE,17280,741970.798,1.58,42.938,215.644,9.584
6,BatchMatMulV2,AI_CORE,8640,415234.862,37.761,48.06,99.122,5.364
6,DSAGenBitMask,DSA_SQE,4350,339510.36,13.88,78.048,208.044,4.386
6,Transpose,AI_VECTOR_CORE,11520,327437.051,19.38,28.423,42.201,4.23
6,Assign,AI_VECTOR_CORE,51840,312997.843,3.42,6.038,16.12,4.043
6,SoftmaxV2,AI_VECTOR_CORE,1440,277228.075,190.684,192.519,195.144,3.581
6,SoftmaxGrad,AI_VECTOR_CORE,1440,244157.411,167.283,169.554,177.643,3.154
6,DropOutDoMask,AI_VECTOR_CORE,8700,184455.179,9.28,21.202,54.141,2.383
6,LayerNormXBackpropV3,AI_VECTOR_CORE,2910,183526.33,58.561,63.067,73.401,2.371
6,Add,AI_VECTOR_CORE,13020,174037.925,1.44,13.367,48.421,2.248
6,ReduceSum,MIX_AIV,8790,156846.402,1.3,17.844,220.065,2.026
6,LayerNormV3,AI_VECTOR_CORE,2910,95629.163,30.34,32.862,38.701,1.235
6,AddN,AI_VECTOR_CORE,4350,90226.178,11.02,20.742,925.198,1.165
6,AdamApplyOneWithDecayAssign,AI_VECTOR_CORE,5880,73985.652,1.72,12.583,2003.86,0.956
6,MatMulV3,MIX_AIC,60,67465.027,944.899,1124.417,1289.926,0.871
6,LayerNormBetaGammaBackpropV2,AI_VECTOR_CORE,2910,65437.196,20.3,22.487,27.821,0.845
6,RealDiv,AI_VECTOR_CORE,5820,50131.231,1.26,8.614,17.36,0.648
6,Sub,AI_VECTOR_CORE,4530,42762.549,1.36,9.44,562.531,0.552
6,FastGeluGrad,AI_VECTOR_CORE,1440,42602.167,26.14,29.585,33.781,0.55
6,MemSet,AI_VECTOR_CORE,2910,39614.082,11.62,13.613,21.32,0.512
6,FastGelu,AI_VECTOR_CORE,1440,27185.216,18.221,18.879,22.0,0.351
6,Mul,AI_VECTOR_CORE,210,24877.876,1.52,118.466,535.411,0.321
6,Exp,AI_VECTOR_CORE,60,21867.198,318.807,364.453,410.608,0.282
6,Neg,AI_VECTOR_CORE,30,9062.5,300.886,302.083,303.126,0.117
6,CheckNumerics,AI_CPU,60,7945.258,102.302,132.421,185.864,0.103
6,UnsortedSegmentSum,MIX_AIV,60,6162.844,13.26,102.714,194.124,0.08
6,ReduceMax,MIX_AIV,30,5174.922,170.583,172.497,174.844,0.067
6,OneHot,AI_VECTOR_CORE,30,2719.253,88.302,90.642,96.802,0.035
6,GatherV2,AI_VECTOR_CORE,60,1410.247,14.74,23.504,33.981,0.018
6,StridedSlice,AI_VECTOR_CORE,120,971.121,5.0,8.093,14.78,0.013
6,NotEqual,AI_VECTOR_CORE,30,68.561,2.14,2.285,2.66,0.001
6,Tile,AI_VECTOR_CORE,30,46.7,1.42,1.557,1.8,0.001
6,AssignAdd,AI_VECTOR_CORE,30,42.781,1.26,1.426,1.7,0.001
6,Log,AI_VECTOR_CORE,30,41.281,1.28,1.376,1.48,0.001
