% time     seconds  usecs/call     calls    errors syscall
------ ----------- ----------- --------- --------- ----------------
 33.43    0.066462        2076        32           pwrite64
 24.06    0.047837         771        62           munmap
 17.75    0.035284        1102        32           pread64
 13.82    0.027472       13736         2           fdatasync
  8.58    0.017052        8526         2           unlinkat
  0.91    0.001803           2       770        41 newfstatat
  0.31    0.000609           2       217        81 openat
  0.25    0.000490           2       167           read
  0.18    0.000366           2       129           mmap
  0.11    0.000222           1       150           close
  0.11    0.000211           1       145         4 lseek
  0.09    0.000185           1       132           fstat
  0.09    0.000171           5        32           getdents64
  0.07    0.000148           1        96        92 ioctl
  0.06    0.000117           2        54           mprotect
  0.04    0.000087          43         2           fallocate
  0.04    0.000071          23         3         2 mkdirat
  0.04    0.000070          11         6           write
  0.03    0.000068           2        26           brk
  0.01    0.000025           3         7         5 readlinkat
  0.01    0.000013          13         1           epoll_create1
  0.01    0.000010           3         3           fcntl
  0.00    0.000005           0        14           getcwd
  0.00    0.000005           5         1           gettid
  0.00    0.000000           0         3           dup
  0.00    0.000000           0         2           dup3
  0.00    0.000000           0         2         2 faccessat
  0.00    0.000000           0         2           pipe2
  0.00    0.000000           0         2           set_tid_address
  0.00    0.000000           0        19           futex
  0.00    0.000000           0         3           set_robust_list
  0.00    0.000000           0        70           rt_sigaction
  0.00    0.000000           0         2           rt_sigprocmask
  0.00    0.000000           0         2           uname
  0.00    0.000000           0         1           getuid
  0.00    0.000000           0         1           geteuid
  0.00    0.000000           0         1           getgid
  0.00    0.000000           0         1           getegid
  0.00    0.000000           0         1           sysinfo
  0.00    0.000000           0         1           clone
  0.00    0.000000           0        12        10 execve
  0.00    0.000000           0         1           wait4
  0.00    0.000000           0         2           prlimit64
  0.00    0.000000           0         3           getrandom
  0.00    0.000000           0         2           rseq
------ ----------- ----------- --------- --------- ----------------
100.00    0.198783          89      2218       237 total
