TaskIdx: 0 | Name: backbone.embedding.word_embedding.embedding_table | Size: 4194304
TaskIdx: 1 | Name: backbone.embedding.word_embedding.embedding_table | Size: 4194304
TaskIdx: 2 | Name: backbone.embedding.word_embedding.embedding_table | Size: 4194304
TaskIdx: 3 | Name: backbone.embedding.word_embedding.embedding_table | Size: 4194304
TaskIdx: 4 | Name: backbone.embedding.word_embedding.embedding_table | Size: 4194304
TaskIdx: 5 | Name: backbone.embedding.word_embedding.embedding_table | Size: 4194304
TaskIdx: 6 | Name: backbone.embedding.word_embedding.embedding_table | Size: 4194304
TaskIdx: 7 | Name: backbone.embedding.word_embedding.embedding_table | Size: 4194304
TaskIdx: 8 | Name: backbone.embedding.word_embedding.embedding_table | Size: 4194304
TaskIdx: 9 | Name: backbone.embedding.word_embedding.embedding_table | Size: 4194304
TaskIdx: 10 | Name: backbone.embedding.word_embedding.embedding_table | Size: 4194304
TaskIdx: 11 | Name: backbone.embedding.word_embedding.embedding_table | Size: 4194304
TaskIdx: 12 | Name: backbone.embedding.word_embedding.embedding_table | Size: 4194304
TaskIdx: 13 | Name: backbone.embedding.word_embedding.embedding_table | Size: 4194304
TaskIdx: 14 | Name: backbone.embedding.word_embedding.embedding_table | Size: 4194304
TaskIdx: 15 | Name: backbone.embedding.word_embedding.embedding_table | Size: 4194304
TaskIdx: 16 | Name: backbone.embedding.word_embedding.embedding_table | Size: 4194304
TaskIdx: 17 | Name: backbone.embedding.word_embedding.embedding_table | Size: 4194304
TaskIdx: 18 | Name: backbone.embedding.word_embedding.embedding_table | Size: 4194304
TaskIdx: 19 | Name: backbone.embedding.word_embedding.embedding_table | Size: 4194304
TaskIdx: 20 | Name: backbone.embedding.word_embedding.embedding_table | Size: 4194304
TaskIdx: 21 | Name: backbone.embedding.word_embedding.embedding_table | Size: 4194304
TaskIdx: 22 | Name: backbone.embedding.word_embedding.embedding_table | Size: 4194304
TaskIdx: 23 | Name: backbone.embedding.word_embedding.embedding_table | Size: 4194304
TaskIdx: 24 | Name: backbone.embedding.word_embedding.embedding_table | Size: 4194304
TaskIdx: 25 | Name: backbone.embedding.word_embedding.embedding_table | Size: 4194304
TaskIdx: 26 | Name: backbone.embedding.word_embedding.embedding_table | Size: 4194304
TaskIdx: 27 | Name: backbone.embedding.word_embedding.embedding_table | Size: 4194304
TaskIdx: 28 | Name: backbone.embedding.word_embedding.embedding_table | Size: 4194304
TaskIdx: 29 | Name: backbone.embedding.word_embedding.embedding_table | Size: 4194304
TaskIdx: 30 | Name: backbone.embedding.word_embedding.embedding_table | Size: 4194304
TaskIdx: 31 | Name: backbone.embedding.word_embedding.embedding_table | Size: 4194304
TaskIdx: 32 | Name: backbone.embedding.word_embedding.embedding_table | Size: 4194304
TaskIdx: 33 | Name: backbone.embedding.word_embedding.embedding_table | Size: 4194304
TaskIdx: 34 | Name: backbone.embedding.word_embedding.embedding_table | Size: 4194304
TaskIdx: 35 | Name: backbone.embedding.word_embedding.embedding_table | Size: 4194304
TaskIdx: 36 | Name: backbone.embedding.word_embedding.embedding_table | Size: 4194304
TaskIdx: 37 | Name: backbone.embedding.word_embedding.embedding_table | Size: 4194304
TaskIdx: 38 | Name: backbone.embedding.word_embedding.embedding_table | Size: 4194304
TaskIdx: 39 | Name: backbone.embedding.word_embedding.embedding_table | Size: 4194304
TaskIdx: 40 | Name: backbone.embedding.word_embedding.embedding_table | Size: 4194304
TaskIdx: 41 | Name: backbone.embedding.word_embedding.embedding_table | Size: 4194304
TaskIdx: 42 | Name: backbone.embedding.word_embedding.embedding_table | Size: 4194304
TaskIdx: 43 | Name: backbone.embedding.word_embedding.embedding_table | Size: 4194304
TaskIdx: 44 | Name: backbone.embedding.word_embedding.embedding_table | Size: 4194304
TaskIdx: 45 | Name: backbone.embedding.word_embedding.embedding_table | Size: 4194304
TaskIdx: 46 | Name: backbone.embedding.word_embedding.embedding_table | Size: 4194304
TaskIdx: 47 | Name: backbone.embedding.word_embedding.embedding_table | Size: 4194304
TaskIdx: 48 | Name: backbone.embedding.word_embedding.embedding_table | Size: 4194304
TaskIdx: 49 | Name: backbone.embedding.word_embedding.embedding_table | Size: 4194304
TaskIdx: 50 | Name: backbone.embedding.word_embedding.embedding_table | Size: 4194304
TaskIdx: 51 | Name: backbone.embedding.word_embedding.embedding_table | Size: 4194304
TaskIdx: 52 | Name: backbone.embedding.word_embedding.embedding_table | Size: 4194304
TaskIdx: 53 | Name: backbone.embedding.word_embedding.embedding_table | Size: 4194304
TaskIdx: 54 | Name: backbone.embedding.word_embedding.embedding_table | Size: 4194304
TaskIdx: 55 | Name: backbone.embedding.word_embedding.embedding_table | Size: 4194304
TaskIdx: 56 | Name: backbone.embedding.word_embedding.embedding_table | Size: 4194304
TaskIdx: 57 | Name: backbone.embedding.word_embedding.embedding_table | Size: 4194304
TaskIdx: 58 | Name: backbone.embedding.word_embedding.embedding_table | Size: 4194304
TaskIdx: 59 | Name: backbone.embedding.word_embedding.embedding_table | Size: 4194304
TaskIdx: 60 | Name: backbone.embedding.word_embedding.embedding_table | Size: 4194304
TaskIdx: 61 | Name: backbone.embedding.word_embedding.embedding_table | Size: 4194304
TaskIdx: 62 | Name: backbone.embedding.word_embedding.embedding_table | Size: 4194304
TaskIdx: 63 | Name: backbone.embedding.word_embedding.embedding_table | Size: 4194304
TaskIdx: 64 | Name: backbone.embedding.word_embedding.embedding_table | Size: 4194304
TaskIdx: 65 | Name: backbone.embedding.word_embedding.embedding_table | Size: 4194304
TaskIdx: 66 | Name: backbone.embedding.word_embedding.embedding_table | Size: 4194304
TaskIdx: 67 | Name: backbone.embedding.word_embedding.embedding_table | Size: 4194304
TaskIdx: 68 | Name: backbone.embedding.word_embedding.embedding_table | Size: 4194304
TaskIdx: 69 | Name: backbone.embedding.word_embedding.embedding_table | Size: 4194304
TaskIdx: 70 | Name: backbone.embedding.word_embedding.embedding_table | Size: 4194304
TaskIdx: 71 | Name: backbone.embedding.word_embedding.embedding_table | Size: 4194304
TaskIdx: 72 | Name: backbone.embedding.word_embedding.embedding_table | Size: 4194304
TaskIdx: 73 | Name: backbone.embedding.word_embedding.embedding_table | Size: 4194304
TaskIdx: 74 | Name: backbone.embedding.word_embedding.embedding_table | Size: 4194304
TaskIdx: 75 | Name: backbone.embedding.word_embedding.embedding_table | Size: 4194304
TaskIdx: 76 | Name: backbone.embedding.word_embedding.embedding_table | Size: 2877696
TaskIdx: 77 | Name: backbone.embedding.position_embedding.embedding_table | Size: 4194304
TaskIdx: 78 | Name: backbone.embedding.position_embedding.embedding_table | Size: 2365696
TaskIdx: 79 | Name: backbone.layernorm.gamma | Size: 6400
TaskIdx: 80 | Name: backbone.layernorm.beta | Size: 6400
TaskIdx: 81 | Name: backbone.blocks.0.layernorm1.gamma | Size: 6400
TaskIdx: 82 | Name: backbone.blocks.0.layernorm1.beta | Size: 6400
TaskIdx: 83 | Name: backbone.blocks.0.layernorm2.gamma | Size: 6400
TaskIdx: 84 | Name: backbone.blocks.0.layernorm2.beta | Size: 6400
TaskIdx: 85 | Name: backbone.blocks.0.attention.projection.weight | Size: 4194304
TaskIdx: 86 | Name: backbone.blocks.0.attention.projection.weight | Size: 925696
TaskIdx: 87 | Name: backbone.blocks.0.attention.projection.bias | Size: 3200
TaskIdx: 88 | Name: backbone.blocks.0.attention.dense1.weight | Size: 4194304
TaskIdx: 89 | Name: backbone.blocks.0.attention.dense1.weight | Size: 925696
TaskIdx: 90 | Name: backbone.blocks.0.attention.dense1.bias | Size: 3200
TaskIdx: 91 | Name: backbone.blocks.0.attention.dense2.weight | Size: 4194304
TaskIdx: 92 | Name: backbone.blocks.0.attention.dense2.weight | Size: 925696
TaskIdx: 93 | Name: backbone.blocks.0.attention.dense2.bias | Size: 3200
TaskIdx: 94 | Name: backbone.blocks.0.attention.dense3.weight | Size: 4194304
TaskIdx: 95 | Name: backbone.blocks.0.attention.dense3.weight | Size: 925696
TaskIdx: 96 | Name: backbone.blocks.0.attention.dense3.bias | Size: 3200
TaskIdx: 97 | Name: backbone.blocks.0.output.mapping.weight | Size: 4194304
TaskIdx: 98 | Name: backbone.blocks.0.output.mapping.weight | Size: 4194304
TaskIdx: 99 | Name: backbone.blocks.0.output.mapping.weight | Size: 4194304
TaskIdx: 100 | Name: backbone.blocks.0.output.mapping.weight | Size: 4194304
TaskIdx: 101 | Name: backbone.blocks.0.output.mapping.weight | Size: 3702784
TaskIdx: 102 | Name: backbone.blocks.0.output.mapping.bias | Size: 12800
TaskIdx: 103 | Name: backbone.blocks.0.output.projection.weight | Size: 4194304
TaskIdx: 104 | Name: backbone.blocks.0.output.projection.weight | Size: 4194304
TaskIdx: 105 | Name: backbone.blocks.0.output.projection.weight | Size: 4194304
TaskIdx: 106 | Name: backbone.blocks.0.output.projection.weight | Size: 4194304
TaskIdx: 107 | Name: backbone.blocks.0.output.projection.weight | Size: 3702784
TaskIdx: 108 | Name: backbone.blocks.0.output.projection.bias | Size: 3200
TaskIdx: 109 | Name: backbone.blocks.1.layernorm1.gamma | Size: 6400
TaskIdx: 110 | Name: backbone.blocks.1.layernorm1.beta | Size: 6400
TaskIdx: 111 | Name: backbone.blocks.1.layernorm2.gamma | Size: 6400
TaskIdx: 112 | Name: backbone.blocks.1.layernorm2.beta | Size: 6400
TaskIdx: 113 | Name: backbone.blocks.1.attention.projection.weight | Size: 4194304
TaskIdx: 114 | Name: backbone.blocks.1.attention.projection.weight | Size: 925696
TaskIdx: 115 | Name: backbone.blocks.1.attention.projection.bias | Size: 3200
TaskIdx: 116 | Name: backbone.blocks.1.attention.dense1.weight | Size: 4194304
TaskIdx: 117 | Name: backbone.blocks.1.attention.dense1.weight | Size: 925696
TaskIdx: 118 | Name: backbone.blocks.1.attention.dense1.bias | Size: 3200
TaskIdx: 119 | Name: backbone.blocks.1.attention.dense2.weight | Size: 4194304
TaskIdx: 120 | Name: backbone.blocks.1.attention.dense2.weight | Size: 925696
TaskIdx: 121 | Name: backbone.blocks.1.attention.dense2.bias | Size: 3200
TaskIdx: 122 | Name: backbone.blocks.1.attention.dense3.weight | Size: 4194304
TaskIdx: 123 | Name: backbone.blocks.1.attention.dense3.weight | Size: 925696
TaskIdx: 124 | Name: backbone.blocks.1.attention.dense3.bias | Size: 3200
TaskIdx: 125 | Name: backbone.blocks.1.output.mapping.weight | Size: 4194304
TaskIdx: 126 | Name: backbone.blocks.1.output.mapping.weight | Size: 4194304
TaskIdx: 127 | Name: backbone.blocks.1.output.mapping.weight | Size: 4194304
TaskIdx: 128 | Name: backbone.blocks.1.output.mapping.weight | Size: 4194304
TaskIdx: 129 | Name: backbone.blocks.1.output.mapping.weight | Size: 3702784
TaskIdx: 130 | Name: backbone.blocks.1.output.mapping.bias | Size: 12800
TaskIdx: 131 | Name: backbone.blocks.1.output.projection.weight | Size: 4194304
TaskIdx: 132 | Name: backbone.blocks.1.output.projection.weight | Size: 4194304
TaskIdx: 133 | Name: backbone.blocks.1.output.projection.weight | Size: 4194304
TaskIdx: 134 | Name: backbone.blocks.1.output.projection.weight | Size: 4194304
TaskIdx: 135 | Name: backbone.blocks.1.output.projection.weight | Size: 3702784
TaskIdx: 136 | Name: backbone.blocks.1.output.projection.bias | Size: 3200
TaskIdx: 137 | Name: backbone.blocks.2.layernorm1.gamma | Size: 6400
TaskIdx: 138 | Name: backbone.blocks.2.layernorm1.beta | Size: 6400
TaskIdx: 139 | Name: backbone.blocks.2.layernorm2.gamma | Size: 6400
